1;ул. Энтузиастов;Школа №73
1к;ул. Энтузиастов;ЖДВ
2;п. Док;ул. Таллинская
2к;п. Док;ул. Таллинская
3;Центральный рынок;Жилой район Преображенский
4;Центральный рынок;п. ММС
4д;Центральный рынок;ул. Электросетей
5;д. Матмасы;мкр. Южный
6;ЖК Апрель;с/о Степное
7;ул. Энтузиастов;ул. П. Артамонова
8;ул. Таллинская;д. Матмасы
9;Центральный рынок;с/о Лесник
10;а/п Рощино;Автовокзал
11;Рабочий поселок;Дом Обороны
12;ЖДВ;Озеро Круглое
13;ул. Прокопия Артамонова;ЖДВ
14;ул. Депутатская;Районная больница
15;Рабочий поселок;мкр. Южный
16;ул. Созидателей;Тюменский индустриальный университет
17;мкр. Восточный;ул. Метелевская
17к;мкр. Восточный;с/о Ласка
18;улица Газопромысловая;Комбинат хлебопродуктов
20;ЖДВ;ул. Ершова
21;з-д Медоборудования;Андреевская
22;СК Здоровье;ул. Н.Семенова
23;Центральный рынок;д. Тураева
24;з-д Нефтемаш;улица Газопромысловая
25;ЖДВ;ул. Таллинская
27;ул. Полетаева;ЖДВ
28;ЖК Правобережный;ул. Восточная
29;Городская поликлиника №8;мкр. Суходольский
29д;ул. Земляничная;мкр. Суходольский
30;мкр. Восточный;Государственный Аграрный Университет
31;Центральный рынок;д. Матмасы
32;ЖДВ;с/о Приволье
33;ЖДВ;СНТ Ривьера
34;ЖДВ;с/о Березняки
36;Центральный рынок;с/о Лаванда
36к;Центральный рынок;с/о Текстильщик
37;п. ММС;ул. Пролетарская
37д;с/о Русское поле;ул. Пролетарская
38;с/о Звенящие кедры;Дом Обороны
39;СК Здоровье;ул. Созидателей
40;с/о Березняки;ЖК Звездный городок
41;ул. Стартовая;ЖК Юбилейный
42;ул. Таллинская;ЖДВ
43;Областная библиотека;Рабочий поселок
44;ул. Возрождения;кафе Ивушка
45;ЖК Звездный городок;ул. Николая Глебова
46;ЖК Звездный городок;ул. Таллинская
47;ЖК Правобережный;ул.Высотная
47д;ЖК Правобережный;ул. Вологодская
48;п. ММС;ул. Олимпийская
49;Мебельная фабрика;ул. Вербная
50;Очаково;ОБИЛ (Центр нейрохирургии)
51;п. ММС;ул. Энергостроителей
51д;с/о Русское поле;ул. Энергостроителей
52;Сквер Немцова;ЖК Москва
