1;Центральный рынок 2;05:48;06:37;07:26;08:18;08:54;09:31;10:18;11:05;11:54;12:35;13:38;14:34;15:38;16:17;17:00;17:43;18:30;19:34
2;ул. М. Тореза;05:52;06:41;07:30;08:22;08:58;09:35;10:22;11:09;11:58;12:39;13:42;14:38;15:42;16:21;17:04;17:47;18:34;19:38
3;Сквер Железнодорожников;05:55;06:44;07:33;08:25;09:01;09:38;10:25;11:12;12:01;12:42;13:45;14:41;15:45;16:24;17:07;17:50;18:37;19:41
4;Универмаг;05:57;06:46;07:35;08:27;09:03;09:40;10:27;11:14;12:03;12:44;13:47;14:43;15:47;16:26;17:09;17:52;18:39;19:43
5;Университет путей сообщения;05:58;06:47;07:36;08:28;09:04;09:41;10:28;11:15;12:04;12:45;13:48;14:44;15:48;16:27;17:10;17:53;18:40;19:44
6;ул. Паровозная;06:01;06:50;07:39;08:31;09:07;09:44;10:31;11:18;12:07;12:48;13:51;14:47;15:51;16:30;17:13;17:56;18:43;19:47
7;Городская поликлиника №5;06:02;06:51;07:40;08:32;09:08;09:45;10:32;11:19;12:08;12:49;13:52;14:48;15:52;16:31;17:14;17:57;18:44;19:48
8;Администрация Тюменского района;06:04;06:53;07:42;08:34;09:10;09:47;10:34;11:21;12:10;12:51;13:54;14:50;15:54;16:33;17:16;17:59;18:46;19:50
9;Спортцентр Энерго;06:04;06:53;07:42;08:34;09:10;09:47;10:34;11:21;12:10;12:51;13:54;14:50;15:54;16:33;17:16;17:59;18:46;19:50
10;Универсальный рынок;06:05;06:54;07:43;08:35;09:11;09:48;10:35;11:22;12:11;12:52;13:55;14:51;15:55;16:34;17:17;18:00;18:47;19:51
11;ул. Московский тракт;06:06;06:55;07:44;08:36;09:12;09:49;10:36;11:23;12:12;12:53;13:56;14:52;15:56;16:35;17:18;18:01;18:48;19:52
12;развязка Московского тракта;06:08;06:57;07:46;08:38;09:14;09:51;10:38;11:25;12:14;12:55;13:58;14:54;15:58;16:37;17:20;18:03;18:50;19:54
13;д. Дербыши;06:14;07:03;07:52;08:44;09:20;09:57;10:44;11:31;12:20;13:01;14:04;15:00;16:04;16:43;17:26;18:09;18:56;20:00
14;поворот на п. Московский;06:16;07:05;07:54;08:46;09:22;09:59;10:46;11:33;12:22;13:03;14:06;15:02;16:06;16:45;17:28;18:11;18:58;20:02
15;Дачи (с/о Подмосковье);06:17;07:06;07:55;08:47;09:23;10:00;10:47;11:34;12:23;13:04;14:07;15:03;16:07;16:46;17:29;18:12;18:59;20:03
16;с/о Тополя;06:19;07:08;07:57;08:49;09:25;10:02;10:49;11:36;12:25;13:06;14:09;15:05;16:09;16:48;17:31;18:14;19:01;20:05
17;с/о Меридиан;06:20;07:09;07:58;08:50;09:26;10:03;10:50;11:37;12:26;13:07;14:10;15:06;16:10;16:49;17:32;18:15;19:02;20:06
18;с/о Березовая роща;06:21;07:10;07:59;08:51;09:27;10:04;10:51;11:38;12:27;13:08;14:11;15:07;16:11;16:50;17:33;18:16;19:03;20:07
19;с/о Росинка;06:22;07:11;08:00;08:52;09:28;10:05;10:52;11:39;12:28;13:09;14:12;15:08;16:12;16:51;17:34;18:17;19:04;20:08
20;с/о Аккумуляторщик;06:23;07:12;08:01;08:53;09:29;10:06;10:53;11:40;12:29;13:10;14:13;15:09;16:13;16:52;17:35;18:18;19:05;20:09
21;с/о Локомотив;06:25;07:14;08:03;08:55;09:31;10:08;10:55;11:42;12:31;13:12;14:15;15:11;16:15;16:54;17:37;18:20;19:07;20:11
22;с/о Рябинка;06:26;07:15;08:04;08:56;09:32;10:09;10:56;11:43;12:32;13:13;14:16;15:12;16:16;16:55;17:38;18:21;19:08;20:12
23;с/о Топаз 1;06:27;07:16;08:05;08:57;09:33;10:10;10:57;11:44;12:33;13:14;14:17;15:13;16:17;16:56;17:39;18:22;19:09;20:13
24;с/о Топаз 2;06:29;07:18;08:07;08:59;09:35;10:12;10:59;11:46;12:35;13:16;14:19;15:15;16:19;16:58;17:41;18:24;19:11;20:15
25;ул. Кедровая;06:30;07:19;08:08;09:00;09:36;10:13;11:00;11:47;12:36;13:17;14:20;15:16;16:20;16:59;17:42;18:25;19:12;20:16
26;с/о Надежда-3;06:31;07:20;08:09;09:01;09:37;10:14;11:01;11:48;12:37;13:18;14:21;15:17;16:21;17:00;17:43;18:26;19:13;20:17
27;с/о Ручеёк;06:31;07:20;08:09;09:01;09:37;10:14;11:01;11:48;12:37;13:18;14:21;15:17;16:21;17:00;17:43;18:26;19:13;20:17
28;с/о Ручеёк;06:35;07:27;08:22;09:17;10:12;11:02;11:43;12:28;13:05;13:43;14:46;15:56;16:52;17:35;18:09;18:43;19:26;20:21
