1;з-д Медоборудования;07:24;09:20;12:55;16:05;18:13
2;ул. Пермякова;07:29;09:25;13:00;16:10;18:18
3;мкр. Тюменский;07:34;09:30;13:05;16:15;18:23
4;Театр Ангажемент;07:39;09:35;13:10;16:20;18:28
5;Моторостроителей;
6;ТЭЦ №2;
7;Птицефабрика (по требованию);
8;Дачи 1;
9;Дачи 2 (СНТ Рассвет);08:02;09:58;13:33;16:43;18:51
10;Дачи 3 (СНТ Рассвет 2);08:03;09:59;13:34;16:44;18:52
11;с/о Рассвет 1;08:05;10:01;13:36;16:46;18:54
12;с/о Рассвет;08:06;10:02;13:37;16:47;18:55
13;с/о Промстроевец;06:37;08:11;10:20;14:10;17:15;19:05
