1;СК Здоровье;07:40;10:43;14:45;17:30;19:21
2;II Заречный микрорайон;07:41;10:44;14:46;17:31;19:22
3;Автоколонна №1228;07:43;10:46;14:48;17:33;19:24
4;Школа №9;07:45;10:48;14:50;17:35;19:26
5;ул. Велижанская;07:48;10:51;14:53;17:38;19:29
6;МПАТП № 2;07:48;10:51;14:53;17:38;19:29
7;ул. Буровиков;07:50;10:53;14:55;17:40;19:31
8;сквер Мелиораторов;07:51;10:54;14:56;17:41;19:32
9;ул. 70 лет Октября;07:51;10:54;14:56;17:41;19:32
10;с/о Малинка;07:53;10:56;14:58;17:43;19:34
11;с/о Чайка;07:55;10:58;15:00;17:45;19:35
12;с/о Домостроитель (для м-тов 129,149 по требованию);07:59;11:02;15:04;17:49;19:40
13;с/о Электрон (для м-та 129 по требованию);08:00;11:03;15:05;17:50;19:41
14;с/о Березка;08:01;11:04;15:06;17:51;19:42
15;с/о Светлячок;08:03;11:06;15:08;17:53;19:43
16;с/о Сирень;08:05;11:08;15:10;17:55;19:46
17;с/о Облепиховое;08:08;11:11;15:13;17:58;19:49
18;СНТ Зеленый дол;08:10;11:13;15:15;18:00;19:50
19;СНТ Зеленый дол - 2;08:11;11:14;15:16;18:01;19:51
20;с/о "Зеленый дол-3";08:11;11:14;15:16;18:01;19:51
21;СНТ Облепиховое;08:13;11:16;15:18;18:03;19:53
22;Дачи-15км (с/о Зеленый дол);08:16;11:19;15:21;18:06;19:56
23;с/о Фиалка;08:17;11:20;15:22;18:07;19:57
24;Разбахта;08:20;11:23;15:25;18:10;20:00
25;с/о Водник;08:22;11:25;15:27;18:12;20:01
26;Липовая;08:23;11:26;15:28;18:13;20:03
27;16-я улица;08:24;11:27;15:29;18:14;20:03
28;с/о Лесная сказка;08:25;11:28;15:30;18:15;20:04
29;Озерная;08:25;11:28;15:30;18:15;20:05
30;Березовая;08:26;11:29;15:31;18:16;20:05
31;с/о Самоцветы;08:27;11:30;15:32;18:17;20:06
32;с/о Ромашка;06:20;08:42;11:43;15:40;18:22
