1;Центральный рынок 2;07:30;08:34;09:30;10:48;12:06;13:44;16:28;18:25;19:35;21:25
2;площадь Центральная;07:36;08:40;09:36;10:54;12:12;13:50;16:34;18:31;19:41;21:30
3;ул. Первомайская;07:39;08:43;09:39;10:57;12:15;13:53;16:37;18:34;19:44;21:33
4;ул. Дзержинского;07:42;08:46;09:41;10:59;12:17;13:55;16:40;18:37;19:47;21:35
5;ул. 2-я Луговая;07:44;08:48;09:43;11:01;12:19;13:57;16:42;18:39;19:49;21:37
6;ул. Мысовская;07:46;08:50;09:45;11:03;12:21;13:59;16:44;18:41;19:51;21:39
7;ул. Астраханская;07:46;08:50;09:45;11:03;12:21;13:59;16:44;18:41;19:51;21:39
8;I Заречный микрорайон;07:48;08:52;09:47;11:05;12:23;14:01;16:46;18:43;19:53;21:41
9;II Заречный микрорайон;07:50;08:54;09:49;11:07;12:25;14:03;16:48;18:45;19:55;21:43
10;Автоколонна №1228;07:53;08:57;09:51;11:09;12:27;14:05;16:51;18:48;19:58;21:46
11;ул. Тимуровцев;07:55;08:59;09:53;11:11;12:29;14:07;16:53;18:50;20:00;21:47
12;ул. Павлова;07:55;08:59;09:53;11:11;12:29;14:07;16:53;18:50;20:00;21:48
13;ул. Магистральная;07:57;09:01;09:55;11:13;12:31;14:09;16:55;18:52;20:02;21:49
14;Биофак;07:59;09:03;09:57;11:15;12:33;14:11;16:57;18:54;20:04;21:51
15;Детский сад №127;08:00;09:04;09:58;11:16;12:34;14:12;16:58;18:55;20:05;21:52
16;Парк Пограничников;08:02;09:06;10:00;11:18;12:36;14:14;17:00;18:57;20:07;21:54
17;ул.Клубничная;08:03;09:07;10:01;11:19;12:37;14:15;17:01;18:58;20:08;21:55
18;с/о Вишенка;08:06;09:10;10:04;11:22;12:40;14:18;17:04;19:01;20:11;21:58
19;с/о Дружба;08:07;09:11;10:05;11:23;12:41;14:19;17:05;19:02;20:12;21:59
20;с/о Сосенка 81;08:09;09:13;10:07;11:25;12:43;14:21;17:07;19:04;20:14;22:01
21;с/о Парус;08:11;09:15;10:09;11:27;12:45;14:23;17:09;19:06;20:16;22:03
22;мкр. Верхний Бор;08:13;09:17;10:11;11:29;12:47;14:25;17:11;19:08;20:18;22:05
23;ОРЦ Родник;08:15;09:19;10:13;11:31;12:49;14:27;17:13;19:10;20:20;22:07
24;Пионерские лагеря;08:16;09:20;10:14;11:32;12:50;14:28;17:14;19:11;20:21;22:08
25;д/л Успех;08:18;09:22;10:16;11:34;12:52;14:30;17:16;19:13;20:23;22:10
26;турбаза Верхний Бор;08:19;09:23;10:17;11:35;12:53;14:31;17:17;19:14;20:24
27;с/о Автоприбор;08:24;09:28;10:22;11:40;12:58;14:36;17:22;19:19;20:29
28;ДНТ Тура;06:32;07:30;08:31;09:40;11:05;12:35;14:00;15:43;17:28;19:22;20:33
