1;ул. Депутатская;06:04;06:28;06:50;07:12;07:32;07:55;08:20;08:46;09:11;09:32;09:56;10:23;10:50;11:24;11:58;12:32;13:06;13:40;14:14;14:48;15:23;15:58;16:30;17:00;17:26;17:51;18:17;18:45;19:06;19:27;19:48;20:10;20:41;21:41;22:51
2;Сквер Победы;06:05;06:29;06:51;07:13;07:33;07:56;08:21;08:47;09:12;09:33;09:57;10:24;10:51;11:25;11:59;12:33;13:07;13:41;14:15;14:49;15:24;15:59;16:31;17:01;17:27;17:52;18:18;18:46;19:07;19:28;19:49;20:11;20:42;21:42;22:52
3;ул. Валерии Гнаровской;06:06;06:30;06:52;07:14;07:34;07:57;08:22;08:48;09:13;09:34;09:58;10:25;10:52;11:26;12:00;12:34;13:08;13:42;14:16;14:50;15:25;16:00;16:32;17:02;17:28;17:53;18:19;18:47;19:08;19:29;19:50;20:12;20:43;21:43;22:53
4;Кардиоцентр;06:11;06:35;06:57;07:19;07:42;08:05;08:30;08:56;09:19;09:40;10:04;10:31;10:58;11:32;12:06;12:40;13:14;13:48;14:22;14:56;15:31;16:06;16:38;17:08;17:36;18:01;18:27;18:55;19:16;19:37;19:58;20:17;20:48;21:48;22:58
5;ул.Рижская;06:13;06:37;06:59;07:21;07:44;08:07;08:32;08:58;09:21;09:42;10:06;10:33;11:00;11:34;12:08;12:42;13:16;13:50;14:24;14:58;15:33;16:08;16:40;17:10;17:38;18:03;18:29;18:57;19:18;19:39;20:00;20:19;20:50;21:50;23:00
6;Тюменский индустриальный университет;06:16;06:40;07:02;07:24;07:47;08:10;08:35;09:01;09:24;09:45;10:09;10:36;11:03;11:37;12:11;12:45;13:19;13:53;14:27;15:01;15:36;16:11;16:43;17:13;17:41;18:06;18:32;19:00;19:21;19:42;20:03;20:22;20:53;21:53;23:03
7;ул. Мельникайте;06:18;06:42;07:04;07:26;07:50;08:13;08:38;09:04;09:27;09:48;10:12;10:39;11:06;11:40;12:14;12:48;13:22;13:56;14:30;15:04;15:39;16:14;16:46;17:15;17:43;18:08;18:34;19:02;19:23;19:44;20:05;20:24;20:55;21:55;23:05
8;Прокуратура Тюменской области;06:21;06:45;07:07;07:29;07:53;08:16;08:41;09:07;09:30;09:51;10:15;10:42;11:09;11:43;12:17;12:51;13:25;13:59;14:33;15:07;15:42;16:17;16:49;17:18;17:46;18:11;18:37;19:05;19:26;19:47;20:08;20:27;20:58;21:58;23:08
9;Бизнес-центр Петр Столыпин;06:23;06:47;07:09;07:31;07:55;08:18;08:43;09:09;09:32;09:53;10:17;10:44;11:11;11:45;12:19;12:53;13:27;14:01;14:35;15:09;15:44;16:19;16:51;17:21;17:49;18:14;18:40;19:08;19:29;19:50;20:10;20:29;21:00;22:00;23:10
10;Дом Печати;06:25;06:49;07:11;07:33;07:57;08:20;08:45;09:11;09:34;09:55;10:19;10:46;11:13;11:47;12:21;12:55;13:29;14:03;14:37;15:11;15:46;16:21;16:53;17:24;17:52;18:17;18:43;19:11;19:32;19:53;20:12;20:31;21:02;22:02;23:12
11;ул. Орджоникидзе;06:27;06:51;07:13;07:35;08:00;08:23;08:48;09:14;09:37;09:58;10:22;10:49;11:16;11:50;12:24;12:58;13:32;14:06;14:40;15:14;15:49;16:24;16:56;17:28;17:56;18:21;18:47;19:15;19:36;19:57;20:14;20:33;21:04;22:04;23:14
12;Дворец культуры Нефтяник;06:30;06:54;07:16;07:38;08:03;08:26;08:51;09:17;09:40;10:01;10:25;10:52;11:19;11:53;12:27;13:01;13:35;14:09;14:43;15:17;15:52;16:27;16:59;17:32;18:00;18:25;18:51;19:19;19:40;20:01;20:17;20:36;21:07;22:07;23:17
13;ул. Советская;06:32;06:56;07:18;07:40;08:05;08:28;08:53;09:19;09:42;10:03;10:27;10:54;11:21;11:55;12:29;13:03;13:37;14:11;14:45;15:19;15:54;16:29;17:01;17:34;18:02;18:27;18:53;19:21;19:42;20:03;20:19;20:38;21:09;22:09;23:19
14;гостиница "Нефтяник";06:34;06:58;07:20;07:43;08:08;08:31;08:56;09:22;09:45;10:06;10:30;10:57;11:24;11:58;12:32;13:06;13:40;14:14;14:48;15:22;15:57;16:32;17:04;17:37;18:05;18:30;18:56;19:24;19:45;20:05;20:21;20:40;21:11;22:11;23:21
15;Администрация  г. Тюмени;06:37;07:01;07:23;07:47;08:12;08:35;09:00;09:26;09:49;10:10;10:34;11:01;11:28;12:02;12:36;13:10;13:44;14:18;14:52;15:26;16:01;16:36;17:08;17:41;18:09;18:34;19:00;19:28;19:49;20:08;20:24;20:43;21:14;22:14;23:24
16;ул. Смоленская;06:38;07:02;07:24;07:48;08:13;08:36;09:01;09:27;09:50;10:11;10:35;11:02;11:29;12:03;12:37;13:11;13:45;14:19;14:53;15:27;16:02;16:37;17:09;17:42;18:10;18:35;19:01;19:29;19:50;20:09;20:25;20:44;21:15;22:15;23:25
17;ЖДВ;06:41;07:05;07:27;07:51;08:16;08:39;09:04;09:30;09:53;10:14;10:38;11:05;11:32;12:06;12:40;13:14;13:48;14:22;14:56;15:30;16:05;16:40;17:12;17:45;18:13;18:38;19:04;19:32;19:53;20:12;20:28;20:47;21:18;22:18;23:28
18;ЖДВ;05:58;06:18;06:38;06:59;07:20;07:41;08:08;08:35;09:02;09:29;10:03;10:37;11:11;11:45;12:19;12:53;13:27;14:02;14:37;15:09;15:39;16:03;16:23;16:43;17:03;17:24;17:45;18:06;18:36;19:21;20:25;21:35;22:23
19;сквер Семена Пацко;05:59;06:19;06:39;07:00;07:21;07:42;08:09;08:36;09:03;09:30;10:04;10:38;11:12;11:46;12:20;12:54;13:28;14:03;14:38;15:10;15:40;16:04;16:24;16:44;17:05;17:26;17:47;18:08;18:38;19:23;20:26;21:36;22:24
20;ул. Смоленская;06:01;06:21;06:41;07:02;07:23;07:46;08:13;08:39;09:06;09:33;10:07;10:41;11:15;11:49;12:23;12:57;13:31;14:06;14:41;15:13;15:43;16:07;16:27;16:47;17:09;17:30;17:51;18:12;18:42;19:27;20:29;21:39;22:27
21;ул. Первомайская;
22;Институт наук о Земле;06:06;06:26;06:46;07:07;07:28;07:53;08:20;08:45;09:12;09:39;10:13;10:47;11:21;11:55;12:29;13:03;13:37;14:12;14:47;15:19;15:49;16:13;16:33;16:53;17:18;17:39;18:00;18:21;18:51;19:35;20:35;21:45;22:33
23;ул. Орджоникидзе;06:07;06:27;06:47;07:08;07:29;07:55;08:22;08:47;09:14;09:41;10:15;10:49;11:23;11:57;12:31;13:05;13:39;14:14;14:49;15:21;15:51;16:15;16:35;16:55;17:20;17:41;18:02;18:23;18:53;19:36;20:36;21:46;22:34
24;Областная инфекционная больница;06:08;06:28;06:48;07:09;07:30;07:56;08:23;08:48;09:15;09:42;10:16;10:50;11:24;11:58;12:32;13:06;13:40;14:15;14:50;15:22;15:52;16:16;16:36;16:56;17:21;17:42;18:03;18:24;18:54;19:37;20:37;21:47;22:35
25;Дом Печати;06:11;06:31;06:51;07:12;07:33;07:59;08:26;08:51;09:18;09:45;10:19;10:53;11:27;12:01;12:35;13:09;13:43;14:18;14:53;15:25;15:55;16:19;16:39;16:59;17:25;17:46;18:07;18:28;18:58;19:40;20:40;21:50;22:38
26;ул. Профсоюзная;06:12;06:32;06:52;07:13;07:34;08:00;08:27;08:52;09:19;09:46;10:20;10:54;11:28;12:02;12:36;13:10;13:44;14:19;14:54;15:26;15:56;16:20;16:40;17:00;17:26;17:47;18:08;18:29;18:59;19:41;20:41;21:51;22:39
27;ул. М. Горького;06:15;06:35;06:55;07:16;07:38;08:04;08:31;08:55;09:22;09:49;10:23;10:57;11:31;12:05;12:39;13:13;13:47;14:22;14:57;15:29;15:59;16:23;16:43;17:03;17:31;17:52;18:13;18:34;19:04;19:44;20:44;21:54;22:42
28;Прокуратура Тюменской области;06:19;06:39;06:59;07:20;07:42;08:08;08:35;08:59;09:26;09:53;10:27;11:01;11:35;12:09;12:43;13:17;13:51;14:26;15:01;15:33;16:03;16:27;16:47;17:07;17:35;17:56;18:17;18:38;19:08;19:48;20:48;21:58;22:46
29;Тюменский индустриальный университет;06:22;06:42;07:02;07:23;07:46;08:12;08:38;09:02;09:29;09:56;10:30;11:04;11:38;12:12;12:46;13:20;13:54;14:29;15:04;15:36;16:06;16:30;16:50;17:12;17:40;18:01;18:22;18:43;19:13;19:51;20:51;22:01;22:49
30;ул. Рижская;06:25;06:45;07:05;07:26;07:50;08:16;08:41;09:05;09:32;09:59;10:33;11:07;11:41;12:15;12:49;13:23;13:57;14:32;15:07;15:39;16:09;16:33;16:53;17:17;17:45;18:06;18:27;18:48;19:18;19:54;20:54;22:04;22:52
31;Площадь Памяти;06:28;06:48;07:08;07:29;07:54;08:20;08:45;09:09;09:36;10:03;10:37;11:11;11:45;12:19;12:53;13:27;14:01;14:36;15:11;15:43;16:13;16:37;16:57;17:22;17:50;18:11;18:32;18:53;19:23;19:58;20:58;22:08;22:56
32;м-н Буратино;06:30;06:50;07:10;07:31;07:56;08:22;08:47;09:11;09:38;10:05;10:39;11:13;11:47;12:21;12:55;13:29;14:03;14:38;15:13;15:45;16:15;16:39;16:59;17:24;17:52;18:13;18:34;18:55;19:25;20:00;21:00;22:10;22:58
33;ДК Строитель;06:32;06:52;07:12;07:33;07:59;08:25;08:49;09:13;09:40;10:07;10:41;11:15;11:49;12:23;12:57;13:31;14:05;14:40;15:15;15:47;16:17;16:41;17:01;17:27;17:55;18:16;18:37;18:58;19:28;20:02;21:02;22:12;23:00
34;ул. Пермякова;06:35;06:55;07:15;07:37;08:03;08:29;08:52;09:16;09:43;10:10;10:44;11:18;11:52;12:26;13:00;13:34;14:08;14:43;15:18;15:50;16:20;16:44;17:05;17:31;17:59;18:20;18:41;19:02;19:32;20:05;21:05;22:15;23:03
35;III микрорайон;
36;мкр. Тюменский;06:39;06:59;07:19;07:42;08:08;08:34;08:57;09:21;09:48;10:15;10:49;11:23;11:57;12:31;13:05;13:39;14:13;14:48;15:23;15:55;16:25;16:49;17:10;17:36;18:04;18:25;18:46;19:07;19:35;20:08;21:08;22:18;23:06
