1;Сквер Немцова;05:45;06:05;07:41;08:01;09:47;10:36;12:28;14:26;14:26;16:31;17:08;18:24;19:06;20:45
2;м-н Океан;05:47;06:07;07:43;08:03;09:49;10:38;12:30;14:28;16:33;17:10;18:26;19:08;20:47
3;Площадь Борцов Революции;05:50;06:10;07:46;08:06;09:52;10:41;12:33;14:31;16:36;17:13;18:29;19:11;20:50
4;Набережная;05:51;06:11;07:47;08:07;09:53;10:42;12:34;14:32;16:37;17:14;18:30;19:12;20:51
5;Строительный институт ТИУ;05:54;06:14;07:50;08:10;09:56;10:45;12:37;14:35;16:40;17:17;18:33;19:15;20:54
6;Детский сад №55;05:55;06:15;07:51;08:11;09:57;10:46;12:38;14:36;16:41;17:18;18:34;19:16;20:55
7;ул. Полевая;05:57;06:17;07:53;08:13;09:59;10:48;12:40;14:38;16:43;17:20;18:36;19:18;20:57
8;ул. Болотникова;05:59;06:19;07:55;08:15;10:01;10:50;12:42;14:40;16:45;17:22;18:38;19:20;20:59
9;Дом Обороны;06:02;06:22;07:58;08:18;10:04;10:53;12:45;14:43;16:48;17:25;18:41;19:23;21:02
10;Мальвинка;06:03;06:23;07:59;08:19;10:05;10:54;12:46;14:44;16:49;17:26;18:42;19:24;21:03
11;ул. Аккумуляторная;06:03;06:23;07:59;08:19;10:05;10:54;12:46;14:44;16:49;17:26;18:42;19:24;21:03
12;з-д Нефтемаш;06:05;06:25;08:01;08:21;10:07;10:56;12:48;14:46;16:51;17:28;18:44;19:26;21:05
13;Медицинский город;06:07;06:27;08:03;08:23;10:09;10:58;12:50;14:48;16:53;17:30;18:46;19:28;21:07
14;ул. Барнаульская;06:08;06:28;08:04;08:24;10:10;10:59;12:51;14:49;16:54;17:31;18:47;19:29;21:08
15;Экопарк Затюменский;06:09;06:29;08:05;08:25;10:11;11:00;12:52;14:50;16:55;17:32;18:48;19:30;21:09
16;озеро Цимлянское;06:11;06:31;08:07;08:27;10:13;11:02;12:54;14:52;16:57;17:34;18:50;19:32;21:11
17;ул.Гостевая;06:11;06:31;08:07;08:27;10:13;11:02;12:54;14:52;16:57;17:34;18:50;19:32;21:11
18;Рощинское кольцо;06:13;06:33;08:09;08:29;10:15;11:04;12:56;14:54;16:59;17:36;18:52;19:34;21:13
19;Гостиница;06:23;06:43;08:19;08:39;10:25;11:14;13:06;15:04;17:09;17:46;19:02;19:44;21:23
20;аэропорт Рощино (на высадку);06:23;06:43;08:19;08:39;10:25;11:14;13:06;15:04;17:09;17:46;19:02;19:44;21:23
21;Гостиница;06:24;06:44;08:20;08:40;10:26;11:15;13:07;15:05;17:10;17:47;19:03;19:45;21:24
22;КХ Плодовое;06:26;06:46;08:22;08:42;10:28;11:17;13:09;15:07;17:12;17:49;19:05;19:47;21:26
23;"Астра";06:29;06:49;08:25;08:45;10:31;11:20;13:12;15:10;17:15;17:52;19:08;19:50;21:29
24;ул. 60 лет Октября;06:32;06:52;08:28;08:48;10:34;11:23;13:15;15:13;17:18;17:55;19:11;19:53;21:32
25;с. Луговое;06:40;06:58;08:34;08:59;11:08;11:28;13:22;15:18;17:23;18:00;19:45;20:04;21:39
