1;з-д Медоборудования;08:00;09:07;10:48;13:13;15:09;17:15;18:25;20:05
2;Автовокзал;08:02;09:09;10:50;13:15;15:11;17:17;18:27;20:07
3;Пермякова;08:05;09:12;10:53;13:18;15:14;17:20;18:30;20:10
4;Севастопольская;08:07;09:14;10:55;13:20;15:16;17:22;18:32;20:12
5;Детская поликлиника №2;08:10;09:17;10:58;13:23;15:19;17:25;18:35;20:15
6;ул. Мельникайте;08:11;09:18;10:59;13:24;15:20;17:26;18:36;20:16
7;Прокуратура Тюменской области;08:14;09:21;11:02;13:27;15:23;17:29;18:39;20:19
8;Бизнес-центр Петр Столыпин;08:16;09:23;11:04;13:29;15:25;17:31;18:41;20:21
9;ул. Циолковского;08:18;09:25;11:06;13:31;15:27;17:33;18:43;20:23
10;Алебашевский базар;08:20;09:27;11:08;13:33;15:29;17:35;18:45;20:25
11;озеро Алебашево;08:21;09:28;11:09;13:34;15:30;17:36;18:46;20:26
12;ул. Ватутина;05:57;08:23;09:30;11:11;13:36;15:32;17:38;18:48;20:28
13;Сад Дружбы;05:59;08:25;09:32;11:13;13:38;15:34;17:40;18:50;20:30
14;парк им. Гагарина;06:02;08:29;09:36;11:17;13:42;15:38;17:44;18:54;20:34
15;Западно-сибирский медицинский центр;06:04;08:32;09:39;11:20;13:45;15:41;17:47;18:57;20:37
16;"Школа №48 им. генерала Карбышева";06:06;08:34;09:41;11:22;13:47;15:43;17:49;18:59;20:39
17;ул. Судоремонтная;06:06;08:34;09:41;11:22;13:47;15:43;17:49;18:59;20:39
18;ул. Мусоргского;06:07;08:35;09:42;11:23;13:48;15:44;17:50;19:00;20:40
19;Тюмень Сити Молл;06:08;08:36;09:43;11:24;13:49;15:45;17:51;19:01;20:41
20;ул. Дальняя;06:09;08:38;09:45;11:26;13:51;15:47;17:53;19:03;20:43
21;Тобольский тракт;06:10;08:39;09:46;11:27;13:52;15:48;17:54;19:04;20:44
22;Источник 1;06:13;08:42;09:49;11:30;13:55;15:51;17:57;19:07;20:47
23;Яр 1;06:14;08:44;09:51;11:32;13:57;15:53;17:59;19:09;20:49
24;Дачи;06:16;08:46;09:53;11:34;13:59;15:55;18:01;19:11;20:51
25;з-д Сибнефтемаш;06:17;08:48;09:55;11:36;14:01;15:57;18:03;19:13;20:53
26;з-д Сибнефтемаш;06:27;08:59;10:06;11:47;14:12;16:08;18:14;19:24;21:04
27;Дачи;06:29;09:01;10:08;11:49;14:14;16:10;18:16;19:26;21:06
28;Агросад (Тюмень);06:32;09:06;10:13;11:54;14:19;16:15;18:21;19:31;21:11
29;Агросад;06:33;09:06;10:13;11:54;14:19;16:15;18:21;19:31;21:11
30;Агросад 2;06:33;09:06;10:13;11:54;14:19;16:15;18:21;19:31;21:11
31;с/о Русь;06:34;09:07;10:14;11:55;14:20;16:16;18:22;19:32;21:12
32;ул. Луговая;06:35;09:08;10:15;11:56;14:21;16:17;18:23;19:33;21:13
33;ул. Флотская;06:35;09:09;10:16;11:57;14:22;16:18;18:24;19:34;21:14
34;ул. Грушевая;06:36;09:10;10:17;11:58;14:23;16:19;18:25;19:35;21:15
35;ул. Васильковая;06:37;09:10;10:17;11:58;14:23;16:19;18:25;19:35;21:15
36;с/о Яровское;06:40;07:27;09:17;10:42;12:06;14:32;16:36;18:34;19:41;21:19
