1;СК Здоровье;07:10;08:45;10:46;14:05;16:09;17:40;19:16
2;II Заречный микрорайон;07:13;08:48;10:49;14:08;16:12;17:43;19:19
3;Автоколонна №1228;07:15;08:50;10:51;14:10;16:14;17:45;19:21
4;ул. Тимуровцев;07:17;08:52;10:53;14:12;16:16;17:47;19:23
5;ул. Павлова;07:17;08:52;10:53;14:12;16:16;17:47;19:23
6;Биофак;07:19;08:54;10:55;14:14;16:18;17:49;19:25
7;Детский сад №127;07:19;08:54;10:55;14:14;16:18;17:49;19:25
8;Парк Пограничников;07:21;08:56;10:57;14:16;16:20;17:51;19:27
9;ул.Клубничная;07:22;08:57;10:58;14:17;16:21;17:52;19:28
10;с/о Вишенка;07:24;08:59;11:00;14:19;16:23;17:54;19:30
11;с/о Дружба;07:25;09:00;11:01;14:20;16:24;17:55;19:31
12;с/о Сосенка 81;07:26;09:01;11:02;14:21;16:25;17:56;19:32
13;с/о Парус;07:28;09:03;11:04;14:23;16:27;17:58;19:34
14;мкр. Верхний Бор;07:29;09:04;11:05;14:24;16:28;17:59;19:35
15;ОРЦ Родник;07:31;09:06;11:07;14:26;16:30;18:01;19:37
16;Пионерские лагеря;07:32;09:07;11:08;14:27;16:31;18:02;19:38
17;д/л Успех;07:33;09:08;11:09;14:28;16:32;18:03;19:39
18;турбаза Верхний Бор;07:34;09:09;11:10;14:29;16:33;18:04;19:40
19;Сады Иволга;07:37;09:12;11:13;14:32;16:36;18:07;19:43
20;д. Решетникова;07:38;09:13;11:14;14:33;16:37;18:08;19:44
21;д. Решетникова-2;07:39;09:14;11:15;14:34;16:38;18:09;19:45
22;с/о Светлое (поворот на с/о Виктория);07:41;09:16;11:17;14:36;16:40;18:11;19:47
23;ул. Береговая (д. Решетникова);07:42;09:17;11:18;14:37;16:41;18:12;19:48
24;СНТ Хрустальный;07:45;09:20;11:21;14:40;16:44;18:15;19:51
25;с/о Поляна;07:47;09:22;11:23;14:42;16:46;18:17;19:53
26;с/о Меркурий;07:48;09:23;11:24;14:43;16:47;18:18;19:54
27;с/о Самотлор  (м-т №145);06:23;08:00;09:32;11:36;15:03;16:59;18:35;20:00
