1;з-д Медоборудования;08:32;14:22;18:13
2;Пермякова;08:37;14:27;18:18
3;Севастопольская;08:39;14:29;18:20
4;ул. Мельникайте;08:44;14:34;18:25
5;Бизнес-центр Петр Столыпин;08:48;14:38;18:29
6;Дом Печати;08:50;14:40;18:31
7;Дворец культуры Нефтяник;08:53;14:43;18:34
8;II Заречный микрорайон;09:02;14:52;18:43
9;Автоколонна №1228;09:04;14:54;18:45
10;ул. Тимуровцев;09:06;14:56;18:47
11;ул. Павлова;09:06;14:56;18:47
12;Биофак;09:08;14:58;18:49
13;Детский сад №127;09:08;14:58;18:49
14;Парк Пограничников;09:10;15:00;18:51
15;ул.Клубничная;09:11;15:01;18:52
16;с/о Вишенка;09:13;15:03;18:54
17;с/о Дружба;09:13;15:03;18:54
18;с/о Сосенка 81;09:15;15:05;18:56
19;с/о Парус;09:16;15:06;18:57
20;мкр. Верхний Бор;09:17;15:07;18:58
21;ОРЦ Родник;09:19;15:09;19:00
22;Пионерские лагеря;09:20;15:10;19:01
23;д/л Успех;09:21;15:11;19:02
24;турбаза Верхний Бор;09:22;15:12;19:03
25;Сады Иволга;09:24;15:15;19:05
26;д. Решетникова;09:25;15:15;19:06
27;д. Решетникова-2;09:26;15:16;19:07
28;с/о Светлое (поворот на с/о Виктория);09:27;15:18;19:08
29;ул. Береговая (д. Решетникова);09:28;15:19;19:09
30;с/о Ермак;09:29;15:20;19:10
31;ул. Сосновая (д. Решетникова);09:31;15:23;19:12
32;Дачи-17км;09:38;15:25;19:19
33;Лесничество;09:41;15:28;19:22
34;Лесничество-2;09:42;15:29;19:23
35;Дачи (ст. Лесное 1);09:43;15:30;19:24
36;с/о Сосенка;09:45;15:32;19:26
37;с/о Сосновая Поляна;06:27;09:52;15:40;19:33
38;с/о Сосновая Поляна 2;06:31;09:58;15:50
