1;ул. Депутатская;06:06;06:25;06:44;07:02;07:24;07:45;08:08;08:30;08:52;09:14;09:39;10:06;10:40;11:05;11:30;12:00;12:25;12:54;13:23;13:52;14:21;14:50;15:19;15:34;15:49;16:13;16:37;16:52;17:07;17:30;17:55;18:19;18:54;19:29;20:04;20:39;21:20;22:01
2;Сквер Победы;06:07;06:26;06:45;07:03;07:25;07:46;08:09;08:31;08:53;09:15;09:40;10:07;10:41;11:06;11:31;12:01;12:26;12:55;13:24;13:53;14:22;14:51;15:20;15:35;15:50;16:14;16:38;16:53;17:08;17:31;17:56;18:20;18:55;19:30;20:05;20:40;21:21;22:02
3;ул. Валерии Гнаровской;06:08;06:27;06:46;07:04;07:26;07:48;08:11;08:33;08:54;09:16;09:41;10:08;10:42;11:07;11:32;12:02;12:27;12:56;13:25;13:54;14:23;14:52;15:21;15:36;15:51;16:15;16:39;16:54;17:09;17:32;17:58;18:22;18:57;19:32;20:06;20:41;21:22;22:03
4;Рыбокомбинат;06:11;06:30;06:49;07:07;07:29;07:51;08:14;08:36;08:57;09:19;09:44;10:11;10:45;11:10;11:35;12:05;12:30;12:59;13:28;13:57;14:26;14:55;15:24;15:39;15:54;16:18;16:42;16:57;17:12;17:35;18:01;18:25;19:00;19:35;20:09;20:44;21:25;22:06
5;Горводоканал;06:13;06:32;06:51;07:09;07:31;07:53;08:16;08:38;08:59;09:21;09:46;10:13;10:47;11:12;11:37;12:07;12:32;13:01;13:30;13:59;14:28;14:57;15:26;15:41;15:56;16:20;16:44;16:59;17:14;17:37;18:03;18:27;19:02;19:37;20:11;20:46;21:27;22:08
6;Озерные аркады;06:16;06:35;06:54;07:12;07:34;07:57;08:20;08:42;09:02;09:24;09:49;10:16;10:50;11:15;11:40;12:10;12:35;13:04;13:33;14:02;14:31;15:00;15:29;15:44;15:59;16:23;16:47;17:02;17:17;17:40;18:07;18:31;19:06;19:41;20:14;20:49;21:30;22:11
7;Березовая роща;06:17;06:36;06:55;07:13;07:35;07:59;08:22;08:44;09:04;09:26;09:51;10:18;10:52;11:17;11:42;12:12;12:37;13:06;13:35;14:04;14:33;15:02;15:31;15:46;16:01;16:25;16:49;17:04;17:19;17:42;18:09;18:33;19:08;19:43;20:15;20:50;21:31;22:12
8;V мкр.;06:20;06:39;06:58;07:16;07:38;08:03;08:26;08:48;09:07;09:29;09:54;10:21;10:55;11:20;11:45;12:15;12:40;13:09;13:38;14:07;14:36;15:05;15:34;15:49;16:04;16:28;16:52;17:07;17:22;17:45;18:13;18:37;19:12;19:47;20:18;20:53;21:34;22:15
9;III микрорайон;06:23;06:42;07:01;07:19;07:41;08:06;08:29;08:51;09:10;09:32;09:57;10:24;10:58;11:23;11:48;12:18;12:43;13:12;13:41;14:10;14:39;15:08;15:37;15:52;16:07;16:31;16:55;17:10;17:25;17:48;18:16;18:40;19:15;19:50;20:21;20:56;21:37;22:18
10;Торговый центр;06:24;06:43;07:02;07:20;07:42;08:08;08:31;08:53;09:11;09:33;09:58;10:25;10:59;11:24;11:49;12:19;12:44;13:13;13:42;14:11;14:40;15:09;15:38;15:53;16:08;16:32;16:56;17:11;17:26;17:49;18:18;18:42;19:17;19:52;20:22;20:57;21:38;22:19
11;ул. Пермякова;06:26;06:45;07:04;07:22;07:44;08:10;08:33;08:55;09:13;09:35;10:00;10:27;11:01;11:26;11:51;12:21;12:46;13:15;13:44;14:13;14:42;15:11;15:40;15:55;16:10;16:34;16:58;17:13;17:28;17:51;18:20;18:44;19:19;19:54;20:24;20:59;21:40;22:21
12;ДК Строитель;06:32;06:51;07:10;07:28;07:50;08:16;08:39;09:01;09:19;09:41;10:06;10:33;11:07;11:32;11:57;12:27;12:52;13:21;13:50;14:19;14:48;15:17;15:46;16:01;16:16;16:40;17:04;17:19;17:34;17:57;18:26;18:50;19:25;19:59;20:29;21:04;21:45;22:26
13;Театральный центр Космос;06:34;06:53;07:12;07:30;07:52;08:18;08:41;09:03;09:21;09:43;10:08;10:35;11:09;11:34;11:59;12:29;12:54;13:23;13:52;14:21;14:50;15:19;15:48;16:03;16:18;16:42;17:06;17:21;17:36;17:59;18:28;18:52;19:27;20:01;20:31;21:06;21:47;22:28
14;Газпром;06:37;06:56;07:15;07:33;07:55;08:21;08:44;09:06;09:24;09:46;10:11;10:38;11:12;11:37;12:02;12:32;12:57;13:26;13:55;14:24;14:53;15:22;15:51;16:06;16:21;16:45;17:09;17:24;17:39;18:02;18:31;18:55;19:30;20:04;20:34;21:09;21:50;22:31
15;ул. Холодильная;06:39;06:58;07:17;07:35;07:57;08:23;08:46;09:08;09:26;09:48;10:13;10:40;11:14;11:39;12:04;12:34;12:59;13:28;13:57;14:26;14:55;15:24;15:53;16:08;16:23;16:47;17:11;17:26;17:41;18:04;18:33;18:57;19:32;20:06;20:36;21:11;21:52;22:33
16;ул. М. Горького;06:41;07:00;07:19;07:38;08:00;08:26;08:49;09:11;09:29;09:51;10:16;10:43;11:17;11:42;12:07;12:37;13:02;13:31;14:00;14:29;14:58;15:27;15:56;16:11;16:26;16:50;17:14;17:29;17:44;18:07;18:36;19:00;19:35;20:08;20:38;21:13;21:54;22:35
17;Сквер Немцова;06:44;07:03;07:22;07:41;08:03;08:29;08:52;09:14;09:32;09:54;10:19;10:46;11:20;11:45;12:10;12:40;13:05;13:34;14:03;14:32;15:01;15:30;15:59;16:14;16:29;16:53;17:17;17:32;17:47;18:10;18:39;19:03;19:38;20:11;20:41;21:16;21:57;22:38
18;м-н Океан;06:46;07:05;07:24;07:44;08:06;08:32;08:55;09:17;09:35;09:57;10:22;10:49;11:23;11:48;12:13;12:43;13:08;13:37;14:06;14:35;15:04;15:33;16:02;16:17;16:32;16:56;17:20;17:35;17:50;18:13;18:42;19:06;19:40;20:13;20:43;21:18;21:59;22:40
19;Площадь Борцов Революции;06:49;07:08;07:27;07:46;08:08;08:34;08:57;09:19;09:37;09:59;10:24;10:51;11:25;11:50;12:15;12:45;13:10;13:39;14:08;14:37;15:06;15:35;16:04;16:19;16:34;16:58;17:22;17:37;17:52;18:15;18:44;19:08;19:42;20:15;20:45;21:20;22:01;22:42
20;Набережная;06:50;07:09;07:28;07:47;08:09;08:35;08:58;09:20;09:38;10:00;10:25;10:52;11:26;11:51;12:16;12:46;13:11;13:40;14:09;14:38;15:07;15:36;16:05;16:20;16:35;16:59;17:23;17:38;17:53;18:16;18:45;19:09;19:43;20:16;20:46;21:21;22:02;22:43
21;Строительный институт ТИУ;06:52;07:11;07:30;07:50;08:12;08:38;09:01;09:23;09:41;10:03;10:28;10:55;11:29;11:54;12:19;12:49;13:14;13:43;14:12;14:41;15:10;15:39;16:08;16:23;16:38;17:02;17:26;17:41;17:56;18:19;18:48;19:12;19:45;20:18;20:48;21:23;22:04;22:45
22;Детский сад №55;06:54;07:13;07:32;07:52;08:14;08:40;09:03;09:25;09:43;10:05;10:30;10:57;11:31;11:56;12:21;12:51;13:16;13:45;14:14;14:43;15:12;15:41;16:10;16:25;16:40;17:04;17:28;17:43;17:58;18:21;18:50;19:14;19:47;20:20;20:50;21:25;22:06;22:47
23;ул. Полевая;06:55;07:14;07:33;07:53;08:15;08:41;09:04;09:26;09:44;10:06;10:31;10:58;11:32;11:57;12:22;12:52;13:17;13:46;14:15;14:44;15:13;15:42;16:11;16:26;16:41;17:05;17:29;17:44;17:59;18:22;18:51;19:15;19:48;20:21;20:51;21:26;22:07;22:48
24;ул. Болотникова;06:57;07:16;07:35;07:55;08:17;08:43;09:06;09:28;09:46;10:08;10:33;11:00;11:34;11:59;12:24;12:54;13:19;13:48;14:17;14:46;15:15;15:44;16:13;16:28;16:43;17:07;17:31;17:46;18:01;18:24;18:53;19:17;19:49;20:22;20:52;21:27;22:08;22:49
25;Дом Обороны;07:00;07:19;07:38;07:58;08:20;08:46;09:09;09:31;09:49;10:11;10:36;11:03;11:37;12:02;12:27;12:57;13:22;13:51;14:20;14:49;15:18;15:47;16:16;16:31;16:46;17:10;17:34;17:49;18:04;18:27;18:56;19:20;19:52;20:25;20:55;21:30;22:11;22:52
26;з-д Сибнефтегазмаш;07:02;07:21;07:40;08:00;08:22;08:48;09:11;09:33;09:51;10:13;10:38;11:05;11:39;12:04;12:29;12:59;13:24;13:53;14:22;14:51;15:20;15:49;16:18;16:33;16:48;17:12;17:36;17:51;18:06;18:29;18:58;19:22;19:54;20:27;20:57;21:32;22:13;22:54
27;з-д Аккумуляторный;07:03;07:22;07:41;08:01;08:23;08:50;09:13;09:35;09:53;10:15;10:40;11:07;11:41;12:06;12:31;13:01;13:26;13:55;14:24;14:53;15:22;15:51;16:20;16:35;16:50;17:14;17:37;17:52;18:07;18:30;18:59;19:23;19:55;20:28;20:58;21:33;22:14;22:55
28;ул. Авторемонтная;07:06;07:25;07:44;08:04;08:26;08:53;09:16;09:38;09:56;10:18;10:43;11:10;11:44;12:09;12:34;13:04;13:29;13:58;14:27;14:56;15:25;15:54;16:23;16:38;16:53;17:17;17:40;17:55;18:10;18:33;19:02;19:26;19:58;20:31;21:01;21:36;22:17;22:58
29;ТЭМЗ;07:07;07:26;07:45;08:05;08:27;08:54;09:17;09:39;09:57;10:19;10:44;11:11;11:45;12:10;12:35;13:05;13:30;13:59;14:28;14:57;15:26;15:55;16:24;16:39;16:54;17:18;17:41;17:56;18:11;18:34;19:03;19:27;19:59;20:32;21:02;21:37;22:18;22:59
