1;з-д Медоборудования;07:00;09:27;11:23;12:57;17:14;19:19
2;ул. Пермякова;07:05;09:32;11:28;13:02;17:19;19:24
3;мкр. Тюменский;07:10;09:37;11:33;13:07;17:24;19:29
4;Сквер Депутатов;07:13;09:40;11:36;13:10;17:27;19:32
5;Театр Ангажемент;07:15;09:42;11:38;13:12;17:29;19:34
6;ул. Моторостроителей;07:17;09:44;11:40;13:14;17:31;19:36
7;Поликлиника;07:18;09:45;11:41;13:15;17:32;19:37
8;сквер Десантников;07:20;09:47;11:43;13:17;17:34;19:39
9;Восточный 3;07:21;09:48;11:44;13:18;17:35;19:40
10;ТЭЦ №2;07:24;09:51;11:47;13:21;17:38;19:43
11;ул. Федюнинского, 83;07:26;09:53;11:49;13:23;17:40;19:44
12;ул. Линейная;07:26;09:53;11:49;13:23;17:40;19:45
13;ул. Варшавская;07:30;09:57;11:53;13:27;17:44;19:48
14;ДНТ Суходольное;07:31;09:58;11:54;13:28;17:45;19:49
15;ДНТ Суходольное 1;07:32;09:59;11:55;13:29;17:46;19:49
16;ДНТ Суходольное 2;07:32;09:59;11:55;13:29;17:46;19:49
17;с/о Лесная поляна;06:08;07:38;10:18;12:01;13:40;18:18;20:19
