1;СК Здоровье;07:52;10:55;15:09;18:30
2;II Заречный микрорайон;07:55;10:58;15:12;18:33
3;Автоколонна №1228;07:57;11:00;15:14;18:35
4;ул. Тимуровцев;07:58;11:01;15:15;18:36
5;ул. Павлова;07:59;11:02;15:16;18:37
6;Биофак;08:01;11:04;15:18;18:39
7;Детский сад №127;08:02;11:05;15:19;18:40
8;Парк Пограничников;08:03;11:06;15:20;18:41
9;ул.Клубничная;08:04;11:07;15:21;18:42
10;с/о Дружба;08:06;11:09;15:23;18:44
11;с/о Парус;08:09;11:12;15:26;18:47
12;мкр. Верхний Бор;08:11;11:14;15:28;18:49
13;ОРЦ Родник;08:12;11:15;15:29;18:50
14;Пионерские лагеря;08:13;11:16;15:30;18:51
15;д/л Успех;08:14;11:17;15:31;18:52
16;турбаза Верхний Бор;08:15;11:18;15:32;18:53
17;Сады Иволга;08:19;11:22;15:36;18:57
18;д. Решетникова;08:20;11:23;15:37;18:58
19;д. Решетникова-2;08:22;11:25;15:39;19:00
20;поворот на с/о Виктория;08:26;11:29;15:43;19:04
21;с/о Виктория;08:31;11:34;15:48;19:09
22;с/о Надежда;08:38;11:41;15:55;19:16
23;с/о Светлое-1;08:45;11:48;16:02;19:23
24;с/о Светлое-2;08:47;11:50;16:04;19:25
25;Крестьянское хозяйство;08:48;11:51;16:05;19:26
26;с/о Союз;08:50;11:53;16:07;19:28
27;с/о Синие туманы;08:52;11:55;16:09;19:30
28;с/о Стройтранссервис;08:53;11:56;16:10;19:31
29;с/о Облепиховое;08:54;11:57;16:11;19:32
30;с/о Моторостроитель;08:56;11:59;16:13;19:34
31;с/о Строитель  (м-т №155);06:24;09:09;12:05;16:20;19:38
