1;с/о Строитель  (м-т №155);06:24;09:09;12:05;16:20;19:38
2;с/о Моторостроитель;06:26;09:11;12:07;16:22;19:40
3;с/о Облепиховое;06:27;09:12;12:08;16:23;19:41
4;с/о Стройтранссервис;06:28;09:13;12:09;16:24;19:42
5;с/о Синие туманы;06:29;09:14;12:10;16:25;19:43
6;с/о Союз;06:31;09:16;12:12;16:27;19:45
7;Крестьянское хозяйство;06:33;09:18;12:14;16:29;19:47
8;с/о Светлое-2;06:34;09:19;12:15;16:30;19:48
9;с/о Светлое-1;06:36;09:21;12:17;16:32;19:50
10;с/о Надежда;06:43;09:28;12:24;16:39;19:57
11;с/о Виктория (м-т №155);06:51;09:36;12:32;16:47;20:05
12;поворот на с/о Виктория;06:55;09:40;12:36;16:51;20:09
13;с/о Светлое (поворот на с/о Виктория);06:58;09:43;12:39;16:54;20:12
14;д. Решетникова-2;07:00;09:45;12:41;16:56;20:14
15;д. Решетникова;07:02;09:47;12:43;16:58;20:16
16;Сады Иволга;07:03;09:48;12:44;16:59;20:17
17;турбаза Верхний Бор;07:09;09:54;12:50;17:05;20:23
18;д/л Успех;07:09;09:54;12:50;17:05;20:23
19;Пионерские лагеря;07:10;09:55;12:51;17:06;20:24
20;ОРЦ Родник;07:11;09:56;12:52;17:07;20:25
21;мкр. Верхний Бор;07:12;09:57;12:53;17:08;20:26
22;с/о Парус;07:13;09:58;12:54;17:09;20:27
23;с/о Сосенка 81;07:15;10:00;12:56;17:11;20:29
24;с/о Дружба;07:16;10:01;12:57;17:12;20:30
25;с/о Вишенка;07:17;10:02;12:58;17:13;20:31
26;ул. Клубничная;07:19;10:04;13:00;17:15;20:33
27;Парк Пограничников;07:19;10:04;13:00;17:15;20:33
28;Детский сад №127;07:21;10:06;13:02;17:17;20:35
29;Биофак;07:21;10:06;13:02;17:17;20:35
30;ул. Магистральная;07:22;10:07;13:03;17:18;20:36
31;ул. Павлова;07:23;10:08;13:04;17:19;20:37
32;ул. Тимуровцев;07:23;10:08;13:04;17:19;20:37
33;Автоколонна №1228;07:24;10:09;13:05;17:20
34;ул.Сеченова;07:26;10:11;13:07;17:22
35;II Заречный микрорайон;07:28;10:13;13:09;17:24
36;СК Здоровье;07:30;10:15;13:11;17:26
37;СК Здоровье;07:52;10:55;15:09;18:30
