1;з-д Медоборудования;08:00;17:00
2;Автовокзал;08:02;17:02
3;Севастопольская;08:07;17:07
4;Детская поликлиника №2;08:10;17:10
5;ул. Мельникайте;08:12;17:12
6;ул. Циолковского;08:19;17:19
7;Алебашевский базар;08:22;17:22
8;озеро Алебашево;08:23;17:23
9;ул. Ватутина;08:25;17:25
10;парк им. Гагарина;08:30;17:30
11;ул. Судоремонтная;08:34;17:34
12;ул. Мусоргского;08:34;17:34
13;Тюмень Сити Молл;08:35;17:35
14;Тобольский тракт;08:36;17:36
15;Яр 1;08:40;17:40
16;Дачи;08:41;17:41
17;с. Ембаево;08:46;17:46
18;Каскара (ул. Ленина);08:57;17:57
19;с/о Автомобилист - 2;09:20;18:15
