1;з-д Медоборудования;07:45;10:40;13:20;17:14
2;ул. Пермякова;07:50;10:45;13:25;17:19
3;мкр. Тюменский;07:55;10:50;13:30;17:24
4;Театр Ангажемент;08:00;10:55;13:35;17:29
5;ЖК Юбилейный;08:02;10:57;13:37;17:31
6;мкр. Суходольский;08:03;10:58;13:38;17:32
7;Птицефабрика (по требованию);08:14;11:09;13:49;17:43
8;Дачи 1;08:17;11:12;13:52;17:46
9;Дачи 2 (СНТ Рассвет);08:20;11:15;13:55;17:49
10;Дачи 3 (СНТ Рассвет 2);08:21;11:16;13:56;17:50
11;с/о Целинное;08:23;11:18;13:58;17:52
12;с/о "Берёзка - 4";08:36;11:31;14:11;18:05
13;с/о "Силикатчик";08:36;11:31;14:11;18:05
14;с/о Искатель;09:05;11:40;14:15;18:30
