1;ул. Созидателей;06:50;07:09;07:30;07:51;08:12;08:32;08:52;09:30;10:08;10:46;11:25;12:04;12:43;13:22;14:01;14:36;15:11;15:46;16:17;16:42;17:09;17:36;18:03;18:35;19:13;19:50;20:13;20:36
2;ул. Обдорская;06:51;07:10;07:31;07:52;08:13;08:33;08:53;09:31;10:09;10:47;11:26;12:05;12:44;13:23;14:02;14:37;15:12;15:47;16:18;16:43;17:10;17:37;18:04;18:36;19:14;19:51;20:14;20:37
3;проезд Ямбургский;06:53;07:12;07:33;07:54;08:15;08:35;08:55;09:33;10:11;10:49;11:28;12:07;12:46;13:25;14:04;14:39;15:14;15:49;16:20;16:45;17:12;17:39;18:06;18:38;19:16;19:53;20:16;20:39
4;ул. Андрея Бушуева;06:53;07:12;07:33;07:54;08:15;08:35;08:55;09:33;10:11;10:49;11:28;12:07;12:46;13:25;14:04;14:39;15:14;15:49;16:20;16:45;17:12;17:39;18:06;18:38;19:16;19:53;20:16;20:39
5;мкр. Ямальский 2;06:56;07:15;07:36;07:57;08:18;08:38;08:58;09:36;10:14;10:52;11:31;12:10;12:49;13:28;14:07;14:42;15:17;15:52;16:23;16:48;17:15;17:42;18:09;18:41;19:19;19:56;20:19;20:42
6;улица Вадима Бованенко;07:01;07:21;07:42;08:03;08:24;08:44;09:04;09:42;10:20;10:58;11:37;12:16;12:55;13:34;14:13;14:48;15:23;15:58;16:29;16:54;17:21;17:48;18:15;18:47;19:25;20:01;20:24;20:47
7;ул. Губернская;07:01;07:21;07:42;08:03;08:24;08:44;09:04;09:42;10:20;10:58;11:37;12:16;12:55;13:34;14:13;14:48;15:23;15:58;16:29;16:54;17:21;17:48;18:15;18:47;19:25;20:01;20:24;20:47
8;ул. А. Протозанова;07:02;07:22;07:43;08:04;08:25;08:45;09:05;09:43;10:21;10:59;11:38;12:17;12:56;13:35;14:14;14:49;15:24;15:59;16:30;16:55;17:22;17:49;18:16;18:48;19:26;20:02;20:25;20:48
9;мкр. Южный;07:06;07:27;07:48;08:09;08:30;08:50;09:10;09:48;10:26;11:04;11:43;12:22;13:01;13:40;14:19;14:54;15:29;16:04;16:35;17:00;17:27;17:54;18:21;18:53;19:31;20:06;20:29;20:52
10;ул. Бахарева;07:07;07:28;07:49;08:10;08:31;08:51;09:11;09:49;10:27;11:05;11:44;12:23;13:02;13:41;14:20;14:55;15:30;16:05;16:36;17:01;17:28;17:55;18:22;18:54;19:31;20:06;20:29;20:52
11;ул. Федюнинского;07:07;07:28;07:49;08:10;08:31;08:51;09:11;09:49;10:27;11:05;11:44;12:23;13:02;13:41;14:20;14:55;15:30;16:05;16:36;17:01;17:28;17:55;18:22;18:54;19:32;20:07;20:30;20:53
12;ул. Революции;07:11;07:32;07:53;08:14;08:35;08:55;09:15;09:53;10:31;11:09;11:48;12:27;13:06;13:45;14:24;14:59;15:34;16:09;16:40;17:05;17:32;17:59;18:26;18:58;19:35;20:10;20:33;20:56
13;ул. Д.Менделеева;07:13;07:34;07:55;08:16;08:37;08:57;09:17;09:55;10:33;11:11;11:50;12:29;13:08;13:47;14:26;15:01;15:36;16:11;16:42;17:08;17:35;18:02;18:29;19:01;19:37;20:12;20:35;20:58
14;Сквер Льва Ровнина;07:16;07:37;07:58;08:19;08:40;09:00;09:20;09:58;10:36;11:14;11:53;12:32;13:11;13:50;14:29;15:04;15:39;16:14;16:45;17:11;17:38;18:05;18:32;19:04;19:40;20:15;20:38;21:01
15;Школа №92;07:18;07:39;08:00;08:21;08:42;09:02;09:22;10:00;10:38;11:16;11:55;12:34;13:13;13:52;14:31;15:06;15:41;16:16;16:47;17:14;17:41;18:08;18:35;19:07;19:42;20:17;20:40;21:03
16;ул. Е. Богдановича;07:22;07:43;08:04;08:25;08:46;09:06;09:26;10:04;10:42;11:20;11:59;12:38;13:17;13:56;14:35;15:10;15:45;16:20;16:51;17:18;17:45;18:12;18:39;19:11;19:45;20:20;20:43;21:06
17;III микрорайон;07:24;07:45;08:06;08:27;08:48;09:08;09:28;10:06;10:44;11:22;12:01;12:40;13:19;13:58;14:37;15:12;15:47;16:22;16:53;17:20;17:47;18:14;18:41;19:13;19:47;20:22;20:45;21:08
18;Торговый центр;07:25;07:46;08:07;08:28;08:49;09:09;09:29;10:07;10:45;11:23;12:02;12:41;13:20;13:59;14:38;15:13;15:48;16:23;16:54;17:21;17:48;18:15;18:42;19:14;19:47;20:22;20:45;21:08
19;ул. Пермякова;07:26;07:47;08:08;08:29;08:50;09:10;09:30;10:08;10:46;11:24;12:03;12:42;13:21;14:00;14:39;15:14;15:49;16:24;16:55;17:22;17:49;18:16;18:43;19:15;19:48;20:23;20:46;21:09
20;Автовокзал;07:31;07:52;08:13;08:34;08:55;09:15;09:35;10:13;10:51;11:29;12:08;12:47;13:26;14:05;14:44;15:19;15:54;16:29;17:00;17:27;17:54;18:21;18:48;19:20;19:53;20:28;20:51;21:14
21;Пермякова;07:33;07:54;08:15;08:36;08:57;09:17;09:37;10:15;10:53;11:31;12:10;12:49;13:28;14:07;14:46;15:21;15:56;16:31;17:02;17:29;17:56;18:23;18:50;19:22;19:55;20:30;20:53;21:16
22;Севастопольская;07:37;07:58;08:19;08:40;09:01;09:21;09:41;10:19;10:57;11:35;12:14;12:53;13:32;14:11;14:50;15:25;16:00;16:35;17:06;17:33;18:00;18:27;18:54;19:26;19:58;20:33;20:56;21:19
23;Детская поликлиника №2;07:40;08:01;08:22;08:43;09:04;09:24;09:44;10:22;11:00;11:38;12:17;12:56;13:35;14:14;14:53;15:28;16:03;16:38;17:08;17:35;18:02;18:29;18:56;19:28;20:00;20:35;20:58;21:21
24;Тюменский индустриальный университет;06:48;07:06;07:25;07:44;08:05;08:26;08:47;09:08;09:28;09:48;10:26;11:04;11:42;12:21;13:00;13:39;14:18;14:57;15:32;16:07;16:42;17:12;17:39;18:06;18:33;19:00;19:32;20:04;20:39
