1;ул. Энтузиастов;06:10;06:37;06:58;07:30;07:57;08:39;09:13;10:06;10:59;11:43;12:18;12:52;14:09;14:50;15:13;15:40;16:06;16:36;17:03;17:41;18:09;18:46;19:18;20:02;20:41;21:20;22:15
2;Детский сад №62;06:13;06:40;07:01;07:33;08:00;08:42;09:16;10:09;11:02;11:46;12:21;12:55;14:12;14:53;15:16;15:43;16:09;16:39;17:06;17:44;18:12;18:49;19:21;20:05;20:44;21:23;22:18
3;Центр русской культуры;06:16;06:43;07:04;07:36;08:03;08:45;09:19;10:12;11:05;11:49;12:24;12:58;14:15;14:56;15:19;15:46;16:12;16:42;17:09;17:47;18:15;18:52;19:24;20:08;20:47;21:26;22:21
4;ул. Домостроителей;06:17;06:44;07:05;07:37;08:04;08:46;09:20;10:13;11:06;11:50;12:25;12:59;14:16;14:57;15:20;15:47;16:13;16:43;17:10;17:48;18:16;18:53;19:25;20:09;20:48;21:27;22:22
5;ул. Губкина;06:19;06:46;07:07;07:40;08:07;08:48;09:22;10:15;11:08;11:52;12:27;13:01;14:18;14:59;15:22;15:49;16:15;16:45;17:14;17:52;18:20;18:55;19:27;20:11;20:50;21:29;22:24
6;ул. Элеваторная;06:21;06:48;07:09;07:42;08:09;08:50;09:24;10:17;11:10;11:54;12:29;13:03;14:20;15:01;15:24;15:51;16:17;16:47;17:16;17:54;18:22;18:57;19:29;20:13;20:52;21:31;22:26
7;ул. Гилевская;06:23;06:50;07:11;07:44;08:11;08:52;09:26;10:19;11:12;11:56;12:31;13:05;14:22;15:03;15:26;15:53;16:19;16:49;17:19;17:57;18:25;18:59;19:31;20:15;20:54;21:33;22:28
8;Барабинская;06:25;06:52;07:13;07:46;08:13;08:54;09:28;10:21;11:14;11:58;12:33;13:07;14:24;15:05;15:28;15:55;16:21;16:51;17:22;18:00;18:28;19:01;19:33;20:17;20:56;21:35;22:30
9;Областная ГИБДД;06:28;06:55;07:16;07:50;08:17;08:57;09:31;10:24;11:17;12:01;12:36;13:10;14:27;15:08;15:31;15:58;16:24;16:54;17:27;18:05;18:33;19:04;19:36;20:20;20:59;21:38;22:33
10;ул. Одесская;06:30;06:57;07:18;07:52;08:19;08:59;09:33;10:26;11:19;12:03;12:38;13:12;14:29;15:10;15:33;16:00;16:26;16:56;17:29;18:07;18:35;19:06;19:38;20:22;21:01;21:40;22:35
11;Травматология;06:32;06:59;07:20;07:54;08:21;09:01;09:35;10:28;11:21;12:05;12:40;13:14;14:31;15:12;15:35;16:02;16:28;16:58;17:32;18:10;18:38;19:08;19:40;20:24;21:03;21:42;22:37
12;сквер Гимназистов;06:35;07:02;07:24;07:58;08:25;09:04;09:38;10:31;11:24;12:08;12:43;13:17;14:34;15:15;15:38;16:05;16:31;17:01;17:37;18:14;18:42;19:11;19:43;20:27;21:06;21:45;22:40
13;Родильный дом №2;06:37;07:04;07:26;08:00;08:27;09:06;09:40;10:33;11:26;12:10;12:45;13:19;14:36;15:17;15:40;16:07;16:33;17:03;17:39;18:16;18:44;19:13;19:45;20:29;21:08;21:47;22:42
14;Школа №37;06:38;07:05;07:28;08:02;08:29;09:07;09:41;10:34;11:27;12:11;12:46;13:20;14:37;15:18;15:41;16:08;16:34;17:04;17:41;18:17;18:45;19:14;19:46;20:30;21:09;21:48;22:43
15;ул. Фабричная;06:41;07:08;07:32;08:06;08:33;09:10;09:44;10:37;11:30;12:14;12:49;13:23;14:40;15:21;15:44;16:11;16:37;17:07;17:45;18:21;18:49;19:17;19:49;20:33;21:12;21:51;22:46
16;ул. Холодильная;06:42;07:09;07:34;08:08;08:35;09:12;09:46;10:39;11:32;12:16;12:51;13:25;14:42;15:23;15:46;16:13;16:39;17:09;17:47;18:22;18:50;19:18;19:50;20:34;21:13;21:52;22:47
17;ул. М. Горького;06:45;07:12;07:37;08:11;08:38;09:15;09:49;10:42;11:35;12:19;12:54;13:28;14:45;15:26;15:49;16:16;16:42;17:12;17:50;18:25;18:53;19:21;19:53;20:37;21:16;21:55;22:50
18;Сквер Немцова;06:49;07:16;07:42;08:16;08:43;09:20;09:54;10:47;11:40;12:24;12:59;13:33;14:50;15:31;15:54;16:21;16:47;17:17;17:55;18:29;18:57;19:25;19:57;20:41;21:20;21:59;22:54
19;площадь Центральная;06:50;07:17;07:43;08:17;08:44;09:21;09:55;10:48;11:41;12:25;13:00;13:34;14:51;15:32;15:55;16:22;16:48;17:18;17:56;18:30;18:58;19:26;19:58;20:42;21:21;22:00;22:55
20;ул. Первомайская;06:53;07:21;07:47;08:21;08:48;09:25;09:59;10:52;11:45;12:29;13:04;13:38;14:55;15:36;15:59;16:26;16:52;17:22;18:00;18:33;19:01;19:29;20:01;20:45;21:24;22:03;22:58
21;ул. Смоленская;06:55;07:24;07:50;08:24;08:51;09:27;10:01;10:54;11:47;12:31;13:06;13:40;14:57;15:38;16:01;16:28;16:54;17:25;18:03;18:35;19:03;19:31;20:03;20:47;21:26;22:05;23:00
22;сквер Семена Пацко;06:56;07:25;07:51;08:25;08:52;09:28;10:02;10:55;11:48;12:32;13:07;13:41;14:58;15:39;16:02;16:29;16:55;17:26;18:04;18:36;19:04;19:32;20:04;20:48;21:27;22:06;23:01
23;Налоговая инспекция;06:58;07:27;07:53;08:27;08:54;09:30;10:04;10:57;11:50;12:34;13:09;13:43;15:00;15:41;16:04;16:31;16:57;17:28;18:06;18:38;19:06;19:34;20:06;20:50;21:29;22:08;23:03
24;Ипподром;07:00;07:29;07:55;08:29;08:56;09:32;10:06;10:59;11:52;12:36;13:11;13:45;15:02;15:43;16:06;16:33;16:59;17:30;18:08;18:40;19:08;19:36;20:08;20:52;21:31;22:10;23:05
25;Президентское кадетское училище;07:01;07:30;07:56;08:30;08:57;09:33;10:07;11:00;11:53;12:37;13:12;13:46;15:03;15:44;16:07;16:34;17:00;17:31;18:09;18:41;19:09;19:37;20:09;20:53;21:32;22:11;23:06
26;ул. Таврическая;07:02;07:31;07:57;08:31;08:58;09:34;10:08;11:01;11:54;12:38;13:13;13:47;15:04;15:45;16:08;16:35;17:01;17:32;18:10;18:42;19:10;19:38;20:10;20:54;21:33;22:12;23:07
27;Школа №73;06:24;06:47;07:04;07:33;07:59;08:33;09:00;09:36;10:10;11:03;11:56;12:40;13:15;13:49;15:06;15:47;16:10;16:37;17:03;17:34;18:12;18:44;19:12;19:40;20:12;20:56;21:35;22:14
