1;ул. Энтузиастов;07:10;07:20;07:38;08:15;09:41;10:44;11:15;11:30;13:05;13:49;14:35;16:47;17:24;18:27;19:30;19:51
2;Детский сад №62;07:13;07:23;07:41;08:18;09:44;10:47;11:18;11:33;13:08;13:52;14:38;16:50;17:27;18:30;19:33;19:54
3;ул.Западносибирская;07:16;07:26;07:44;08:21;09:46;10:49;11:20;11:35;13:10;13:54;14:40;16:52;17:30;18:33;19:35;19:56
4;мкр. Тура;07:17;07:27;07:45;08:22;09:47;10:50;11:21;11:36;13:11;13:55;14:41;16:53;17:32;18:34;19:36;19:57
5;Школа №67;07:20;07:30;07:48;08:25;09:49;10:52;11:23;11:38;13:13;13:57;14:43;16:55;17:35;18:36;19:38;19:59
6;Озеро Оброчное;07:21;07:31;07:49;08:26;09:51;10:54;11:25;11:40;13:15;13:59;14:45;16:57;17:37;18:38;19:40;20:01
7;ул. Губкина;07:25;07:35;07:53;08:30;09:54;10:57;11:28;11:43;13:18;14:02;14:48;17:00;17:41;18:41;19:43;20:04
8;ул. Элеваторная;07:26;07:36;07:54;08:31;09:55;10:58;11:29;11:44;13:19;14:03;14:49;17:01;17:43;18:42;19:44;20:05
9;ул. Гилевская;07:28;07:38;07:56;08:33;09:57;11:00;11:31;11:46;13:21;14:05;14:51;17:03;17:45;18:44;19:46;20:07
10;Барабинская;07:31;07:41;07:59;08:36;09:59;11:02;11:33;11:48;13:23;14:07;14:53;17:05;17:48;18:46;19:48;20:09
11;Областная ГИБДД;07:35;07:45;08:03;08:40;10:02;11:05;11:36;11:51;13:26;14:10;14:56;17:08;17:53;18:50;19:52;20:13
12;ул. Одесская;07:37;07:47;08:05;08:42;10:04;11:07;11:38;11:53;13:28;14:12;14:58;17:10;17:55;18:52;19:54;20:15
13;Травматология;07:39;07:49;08:07;08:44;10:06;11:09;11:40;11:55;13:30;14:14;15:00;17:12;17:58;18:54;19:56;20:17
14;сквер Гимназистов;07:43;07:53;08:11;08:48;10:09;11:12;11:43;11:58;13:33;14:17;15:03;17:17;18:03;18:58;19:59;20:20
15;Родильный дом №2;07:45;07:55;08:13;08:50;10:11;11:14;11:45;12:00;13:35;14:19;15:05;17:19;18:05;19:00;20:01;20:22
16;Школа №37;07:47;07:57;08:15;08:52;10:12;11:15;11:46;12:01;13:36;14:20;15:06;17:21;18:07;19:01;20:02;20:23
17;ул. Фабричная;07:51;08:01;08:19;08:56;10:15;11:18;11:49;12:04;13:39;14:23;15:09;17:25;18:11;19:05;20:05;20:26
18;ул. Холодильная;07:53;08:03;08:21;08:58;10:17;11:20;11:51;12:06;13:41;14:25;15:11;17:27;18:12;19:06;20:06;20:27
19;ул. М. Горького;07:56;08:06;08:24;09:01;10:20;11:23;11:54;12:09;13:44;14:28;15:14;17:30;18:15;19:09;20:09;20:30
20;Сквер Немцова;08:01;08:11;08:29;09:06;10:25;11:28;11:59;12:14;13:49;14:33;15:19;17:35;18:19;19:13;20:13;20:34
21;площадь Центральная;08:02;08:12;08:30;09:07;10:26;11:29;12:00;12:15;13:50;14:34;15:20;17:36;18:20;19:14;20:14;20:35
22;ул. Первомайская;08:06;08:16;08:34;09:11;10:30;11:33;12:04;12:19;13:54;14:38;15:24;17:40;18:23;19:17;20:17;20:38
23;ул. Смоленская;08:09;08:19;08:37;09:13;10:32;11:35;12:06;12:21;13:56;14:40;15:26;17:43;18:25;19:19;20:19;20:40
24;ЖДВ;08:12;08:22;08:40;09:16;10:35;11:38;12:09;12:24;13:59;14:43;15:29;17:46;18:28;19:22;20:22;20:43
25;ЖДВ;08:31;08:55;09:18;09:31;10:46;11:44;12:24;13:09;14:15;14:57;15:42;17:54;18:44;19:34;20:31;20:55
