1;ЖДВ;07:08;07:49;08:57;09:45;11:05;12:08;13:16;14:34;15:51;17:26;18:40;19:37;20:21;21:59
2;сквер Семена Пацко;07:09;07:50;08:58;09:46;11:06;12:09;13:17;14:35;15:52;17:27;18:41;19:38;20:22;22:00
3;ул. Смоленская;07:11;07:54;09:02;09:48;11:08;12:11;13:19;14:37;15:54;17:31;18:45;19:40;20:24;22:02
4;ул. Первомайская;07:15;07:59;09:07;09:52;11:12;12:15;13:23;14:41;15:58;17:36;18:50;19:44;20:28;22:06
5;ул. Дзержинского;07:18;08:02;09:10;09:55;11:15;12:18;13:26;14:44;16:01;17:40;18:54;19:47;20:31;22:09
6;ул. 2-я Луговая;07:21;08:05;09:13;09:58;11:18;12:21;13:29;14:47;16:04;17:43;18:57;19:49;20:33;22:11
7;ул. Мысовская;07:23;08:07;09:15;10:00;11:20;12:23;13:31;14:49;16:06;17:45;18:59;19:51;20:35;22:13
8;ул. Астраханская;07:24;08:08;09:16;10:01;11:21;12:24;13:32;14:50;16:07;17:46;19:00;19:52;20:36;22:14
9;I Заречный микрорайон;07:26;08:10;09:18;10:03;11:23;12:26;13:34;14:52;16:09;17:48;19:02;19:54;20:38;22:16
10;II Заречный микрорайон;07:28;08:12;09:20;10:05;11:25;12:28;13:36;14:54;16:11;17:50;19:04;19:56;20:40;22:18
11;ул.Сеченова;07:30;08:14;09:22;10:07;11:27;12:30;13:38;14:56;16:13;17:52;19:06;19:58;20:42;22:20
12;ул. Ачинская;07:30;08:14;09:22;10:07;11:27;12:30;13:38;14:56;16:13;17:52;19:06;19:58;20:42;22:20
13;ул. Дружбы;07:32;08:16;09:24;10:09;11:29;12:32;13:40;14:58;16:15;17:54;19:08;20:00;20:44;22:22
14;ул. Ватутина;05:58;06:38;07:36;08:19;09:27;10:12;11:32;12:35;13:43;15:01;16:18;17:58;19:12;20:03;20:47;22:25
15;Геологоразведка;
16;парк им. Гагарина;06:03;06:43;07:43;08:26;09:34;10:19;11:39;12:42;13:50;15:08;16:25;18:05;19:19;20:09;20:53;22:31
17;Западно-сибирский медицинский центр;06:05;06:45;07:46;08:29;09:37;10:22;11:42;12:45;13:53;15:11;16:28;18:08;19:22;20:11;20:55;22:33
18;"Школа №48 им. генерала Карбышева";06:07;06:47;07:48;08:31;09:39;10:24;11:44;12:47;13:55;15:13;16:30;18:10;19:24;20:13;20:57;22:35
19;ул. Судоремонтная;06:08;06:48;07:49;08:32;09:40;10:25;11:45;12:48;13:56;15:14;16:31;18:11;19:25;20:14;20:58;22:36
20;ул. Мусоргского;06:09;06:49;07:50;08:33;09:41;10:26;11:46;12:49;13:57;15:15;16:32;18:12;19:26;20:15;20:59;22:37
21;ул. Ершова (для посадки);06:17;06:58;07:56;08:48;10:14;11:15;12:28;13:43;15:04;16:38;17:41;18:45;19:33;20:21;21:05;22:42
