1;СК Здоровье;06:15;06:42;07:09;07:36;08:08;08:40;09:20;10:05;10:50;11:40;12:30;13:23;14:17;14:57;15:35;16:13;16:47;17:19;17:57;18:39;19:22
2;Городская поликлиника №1;06:16;06:43;07:10;07:37;08:09;08:41;09:21;10:06;10:51;11:41;12:31;13:24;14:18;14:58;15:36;16:14;16:48;17:20;17:58;18:40;19:23
3;ул. Газовиков;06:17;06:44;07:11;07:39;08:11;08:43;09:23;10:08;10:53;11:43;12:33;13:26;14:20;15:00;15:38;16:16;16:50;17:22;18:00;18:42;19:24
4;мкр. Европейский;06:19;06:46;07:13;07:41;08:13;08:45;09:24;10:09;10:54;11:44;12:34;13:27;14:21;15:01;15:39;16:17;16:51;17:24;18:02;18:44;19:26
5;ул. Алебашевская;06:21;06:48;07:15;07:44;08:16;08:48;09:26;10:11;10:56;11:46;12:36;13:29;14:23;15:03;15:41;16:19;16:53;17:27;18:05;18:47;19:28
6;ул. Циолковского;06:26;06:53;07:20;07:50;08:22;08:54;09:32;10:17;11:02;11:52;12:42;13:35;14:29;15:09;15:47;16:25;16:59;17:33;18:11;18:53;19:33
7;ул. Даудельная;06:28;06:55;07:22;07:53;08:25;08:57;09:34;10:19;11:04;11:54;12:44;13:37;14:31;15:11;15:49;16:27;17:01;17:36;18:14;18:56;19:35
8;ул. Володарского;06:32;06:59;07:26;07:58;08:30;09:02;09:38;10:23;11:08;11:58;12:48;13:41;14:35;15:15;15:53;16:31;17:05;17:41;18:19;19:01;19:39
9;ул. Шиллера;06:36;07:03;07:30;08:04;08:36;09:08;09:42;10:27;11:12;12:02;12:52;13:45;14:39;15:19;15:57;16:35;17:09;17:47;18:25;19:07;19:43
10;ул. Малыгина;06:38;07:05;07:32;08:06;08:38;09:10;09:44;10:29;11:14;12:04;12:54;13:47;14:41;15:21;15:59;16:37;17:12;17:50;18:28;19:09;19:45
11;Медицинский колледж;06:41;07:08;07:35;08:10;08:42;09:13;09:47;10:32;11:17;12:07;12:57;13:50;14:44;15:24;16:02;16:40;17:17;17:55;18:33;19:12;19:48
12;Площадь Памяти;06:44;07:11;07:38;08:14;08:46;09:16;09:50;10:35;11:20;12:10;13:00;13:53;14:47;15:27;16:05;16:43;17:21;17:59;18:37;19:15;19:51
13;ул. 30 лет Победы;06:47;07:14;07:41;08:17;08:49;09:19;09:53;10:38;11:23;12:13;13:03;13:56;14:50;15:30;16:08;16:46;17:24;18:02;18:40;19:18;19:54
14;ул. Валерии Гнаровской;06:48;07:15;07:42;08:18;08:50;09:20;09:54;10:39;11:24;12:14;13:04;13:57;14:51;15:31;16:09;16:47;17:25;18:03;18:41;19:19;19:55
15;Сквер Победы;06:49;07:16;07:43;08:19;08:51;09:21;09:55;10:40;11:25;12:15;13:05;13:58;14:52;15:32;16:10;16:48;17:26;18:04;18:42;19:20;19:56
16;ул. Депутатская;06:50;07:17;07:44;08:20;08:52;09:22;09:56;10:41;11:26;12:16;13:06;13:59;14:53;15:33;16:11;16:49;17:27;18:05;18:43;19:21;19:57
17;VI микрорайон;06:52;07:19;07:46;08:22;08:54;09:24;09:58;10:43;11:28;12:18;13:08;14:01;14:55;15:35;16:13;16:51;17:29;18:07;18:45;19:23;19:59
18;проезд 9 Мая;06:53;07:20;07:47;08:23;08:55;09:25;09:59;10:44;11:29;12:19;13:09;14:02;14:56;15:36;16:14;16:52;17:30;18:08;18:46;19:24;20:00
19;V мкр.;06:56;07:23;07:50;08:26;08:58;09:28;10:02;10:47;11:32;12:22;13:12;14:05;14:59;15:39;16:17;16:55;17:33;18:11;18:49;19:27;20:03
20;ул. Е. Богдановича;06:59;07:26;07:53;08:29;09:01;09:31;10:05;10:50;11:35;12:25;13:15;14:08;15:02;15:42;16:20;16:58;17:36;18:14;18:52;19:30;20:06
21;ул. П. Артамонова;07:02;07:29;07:56;08:32;09:04;09:34;10:08;10:53;11:38;12:28;13:18;14:11;15:05;15:45;16:23;17:01;17:39;18:17;18:55;19:33;20:09
22;ул. Н. Семенова;06:43;07:04;07:31;07:58;08:34;09:06;09:36;10:10;10:55;11:40;12:30;13:20;14:13;15:07;15:47;16:25;17:03;17:41;18:19;18:57;19:35;20:11
