1;Центральный рынок 3;07:02;07:34;07:56;08:22;08:57;09:46;10:25;11:10;11:30;11:50;12:10;12:30;12:50;13:14;13:38;14:18;15:07;15:39;16:02;16:25;16:48;17:11;17:34;17:59;19:04;20:00;20:32;22:01
2;ул. Володарского;07:05;07:37;07:59;08:25;09:00;09:49;10:28;11:13;11:33;11:53;12:13;12:33;12:53;13:17;13:41;14:21;15:10;15:42;16:06;16:29;16:52;17:15;17:38;18:03;19:08;20:04;20:35;22:04
3;Детская поликлиника;07:06;07:38;08:00;08:26;09:01;09:50;10:29;11:14;11:34;11:54;12:14;12:34;12:54;13:18;13:42;14:22;15:11;15:43;16:08;16:31;16:54;17:17;17:40;18:05;19:10;20:06;20:36;22:05
4;ул. Даудельная;07:09;07:41;08:03;08:29;09:04;09:53;10:32;11:17;11:37;11:57;12:17;12:37;12:57;13:21;13:45;14:25;15:14;15:46;16:12;16:35;16:58;17:21;17:44;18:09;19:14;20:10;20:39;22:08
5;ул. Циолковского;07:12;07:44;08:06;08:32;09:07;09:57;10:36;11:21;11:41;12:01;12:21;12:41;13:01;13:25;13:49;14:29;15:18;15:50;16:17;16:40;17:03;17:26;17:49;18:14;19:19;20:15;20:42;22:11
6;Алебашевский базар;07:15;07:47;08:09;08:35;09:10;10:00;10:39;11:24;11:44;12:04;12:24;12:44;13:04;13:28;13:52;14:32;15:21;15:53;16:20;16:43;17:06;17:29;17:52;18:17;19:22;20:18;20:45;22:14
7;озеро Алебашево;07:16;07:48;08:10;08:36;09:11;10:01;10:40;11:25;11:45;12:05;12:25;12:45;13:05;13:29;13:53;14:33;15:22;15:54;16:21;16:44;17:07;17:30;17:53;18:18;19:23;20:19;20:46;22:15
8;ул. Ватутина;05:40;06:23;07:18;07:50;08:12;08:38;09:13;10:03;10:42;11:27;11:47;12:07;12:27;12:47;13:07;13:31;13:55;14:35;15:24;15:56;16:23;16:46;17:09;17:32;17:55;18:20;19:25;20:21;20:48;22:17
9;Сад Дружбы;05:42;06:25;07:20;07:52;08:14;08:40;09:15;10:05;10:44;11:29;11:49;12:09;12:29;12:49;13:09;13:33;13:57;14:37;15:26;15:58;16:25;16:48;17:11;17:34;17:57;18:22;19:27;20:23;20:50;22:19
10;парк им. Гагарина;05:45;06:29;07:24;07:56;08:18;08:44;09:19;10:09;10:48;11:33;11:53;12:13;12:33;12:53;13:13;13:37;14:01;14:41;15:30;16:02;16:29;16:52;17:15;17:38;18:01;18:26;19:31;20:27;20:54;22:23
11;Западно-сибирский медицинский центр;05:47;06:31;07:26;07:58;08:20;08:46;09:21;10:11;10:50;11:35;11:55;12:15;12:35;12:55;13:15;13:39;14:03;14:43;15:32;16:04;16:31;16:54;17:17;17:40;18:03;18:28;19:33;20:29;20:56;22:25
12;"Школа №48 им. генерала Карбышева";05:49;06:33;07:28;08:00;08:22;08:48;09:23;10:13;10:52;11:37;11:57;12:17;12:37;12:57;13:17;13:41;14:05;14:45;15:34;16:06;16:33;16:56;17:19;17:42;18:05;18:30;19:35;20:31;20:58;22:27
13;ул. Судоремонтная;05:49;06:34;07:29;08:01;08:23;08:49;09:24;10:14;10:53;11:38;11:58;12:18;12:38;12:58;13:18;13:42;14:06;14:46;15:35;16:07;16:34;16:57;17:20;17:43;18:06;18:31;19:36;20:32;20:59;22:27
14;ул. Мусоргского;05:51;06:35;07:30;08:02;08:24;08:50;09:25;10:15;10:54;11:39;11:59;12:19;12:39;12:59;13:19;13:43;14:07;14:47;15:36;16:08;16:35;16:58;17:21;17:44;18:07;18:32;19:37;20:33;21:00;22:29
15;Тюмень Сити Молл;05:52;06:37;07:32;08:04;08:26;08:52;09:27;10:17;10:56;11:41;12:01;12:21;12:41;13:01;13:21;13:45;14:09;14:49;15:38;16:10;16:37;17:00;17:23;17:46;18:09;18:34;19:39;20:35;21:02;22:30
16;ул. Дальняя;05:55;06:40;07:35;08:07;08:29;08:55;09:30;10:20;10:59;11:44;12:04;12:24;12:44;13:04;13:24;13:48;14:12;14:52;15:41;16:13;16:40;17:03;17:26;17:49;18:12;18:37;19:42;20:38;21:05;22:33
17;Тобольский тракт;05:55;06:40;07:35;08:07;08:29;08:55;09:30;10:20;10:59;11:44;12:04;12:24;12:44;13:04;13:24;13:48;14:12;14:52;15:41;16:13;16:40;17:03;17:26;17:49;18:12;18:37;19:42;20:38;21:05;22:33
