1;Городская поликлиника №8;05:52;06:11;06:23;06:36;07:03;07:16;07:42;08:06;08:21;08:32;09:06;09:20;09:48;10:01;10:14;10:41;10:55;11:26;11:57;12:12;12:42;13:11;13:27;13:59;14:15;14:46;15:01;15:15;15:40;15:50;16:16;16:29;16:53;17:05;17:31;17:46;18:04;18:34;19:00;19:23;19:45;20:06;20:27
2;проезд Юганский;05:52;06:11;06:23;06:36;07:03;07:16;07:42;08:06;08:21;08:32;09:06;09:20;09:48;10:01;10:14;10:41;10:55;11:26;11:57;12:12;12:42;13:11;13:27;13:59;14:15;14:46;15:01;15:15;15:40;15:50;16:16;16:29;16:53;17:05;17:31;17:46;18:04;18:34;19:00;19:23;19:45;20:06;20:27
3;УМВД по г. Тюмени;05:54;06:13;06:25;06:38;07:05;07:18;07:44;08:08;08:23;08:34;09:08;09:22;09:50;10:03;10:16;10:43;10:57;11:28;11:59;12:14;12:44;13:13;13:29;14:01;14:17;14:48;15:03;15:17;15:42;15:52;16:18;16:31;16:55;17:07;17:33;17:48;18:06;18:36;19:02;19:25;19:47;20:08;20:29
4;ул. Ветеранов Труда;05:55;06:14;06:26;06:39;07:06;07:19;07:45;08:09;08:24;08:35;09:09;09:23;09:51;10:04;10:17;10:44;10:58;11:29;12:00;12:15;12:45;13:14;13:30;14:02;14:18;14:49;15:04;15:18;15:43;15:53;16:19;16:32;16:56;17:08;17:34;17:49;18:07;18:37;19:03;19:26;19:48;20:09;20:30
5;кафе Ивушка;05:57;06:16;06:28;06:41;07:08;07:21;07:47;08:11;08:26;08:37;09:11;09:25;09:53;10:06;10:19;10:46;11:00;11:31;12:02;12:17;12:47;13:16;13:32;14:04;14:20;14:51;15:06;15:20;15:45;15:55;16:21;16:34;16:58;17:10;17:36;17:51;18:09;18:39;19:05;19:28;19:50;20:11;20:32
6;Сад Дружбы;05:58;06:17;06:29;06:42;07:09;07:22;07:48;08:12;08:27;08:38;09:12;09:26;09:54;10:07;10:20;10:47;11:01;11:32;12:03;12:18;12:48;13:17;13:33;14:05;14:21;14:52;15:07;15:21;15:46;15:56;16:22;16:35;16:59;17:11;17:37;17:52;18:10;18:40;19:06;19:29;19:51;20:12;20:33
7;Озеро Круглое;06:00;06:19;06:31;06:44;07:11;07:24;07:50;08:14;08:29;08:40;09:14;09:28;09:56;10:09;10:22;10:49;11:03;11:34;12:05;12:20;12:50;13:19;13:35;14:07;14:23;14:54;15:09;15:23;15:48;15:58;16:24;16:37;17:01;17:13;17:39;17:54;18:12;18:42;19:08;19:31;19:53;20:14;20:35
8;ул. Разведчика Кузнецова;06:01;06:20;06:32;06:45;07:12;07:25;07:51;08:15;08:30;08:41;09:15;09:29;09:57;10:10;10:23;10:50;11:04;11:35;12:06;12:21;12:51;13:20;13:36;14:08;14:24;14:55;15:10;15:24;15:49;15:59;16:25;16:38;17:02;17:14;17:40;17:55;18:13;18:43;19:09;19:32;19:54;20:15;20:36
9;Мост Мельникайте;06:02;06:21;06:33;06:46;07:13;07:26;07:52;08:16;08:31;08:42;09:16;09:30;09:58;10:11;10:24;10:51;11:05;11:36;12:07;12:22;12:52;13:21;13:37;14:09;14:25;14:56;15:11;15:25;15:50;16:00;16:26;16:39;17:03;17:15;17:41;17:56;18:14;18:44;19:10;19:33;19:55;20:16;20:37
10;Студенческий городок;06:06;06:25;06:37;06:50;07:17;07:30;07:56;08:20;08:35;08:46;09:20;09:34;10:02;10:15;10:28;10:55;11:09;11:40;12:11;12:26;12:56;13:25;13:41;14:13;14:29;15:00;15:15;15:29;15:54;16:04;16:30;16:43;17:07;17:19;17:45;18:00;18:18;18:48;19:14;19:37;19:59;20:20;20:41
11;Областная больница №2;06:09;06:28;06:40;06:53;07:24;07:37;08:03;08:27;08:42;08:53;09:23;09:37;10:05;10:18;10:31;10:58;11:12;11:43;12:14;12:29;12:59;13:28;13:44;14:16;14:32;15:03;15:18;15:32;15:57;16:11;16:37;16:50;17:14;17:26;17:52;18:07;18:25;18:55;19:17;19:40;20:02;20:23;20:44
12;Тюменский индустриальный университет;06:12;06:31;06:43;06:56;07:28;07:41;08:07;08:31;08:46;08:57;09:26;09:40;10:08;10:21;10:34;11:01;11:15;11:46;12:17;12:32;13:02;13:31;13:47;14:19;14:35;15:06;15:21;15:35;16:00;16:15;16:41;16:54;17:18;17:30;17:56;18:11;18:29;18:59;19:20;19:43;20:05;20:26;20:47
13;ул. Котовского;06:16;06:35;06:47;07:00;07:34;07:47;08:11;08:35;08:50;09:01;09:30;09:44;10:12;10:25;10:38;11:05;11:19;11:50;12:21;12:36;13:06;13:35;13:51;14:23;14:39;15:10;15:25;15:39;16:04;16:19;16:45;16:58;17:22;17:34;18:00;18:15;18:33;19:03;19:24;19:47;20:09;20:30;20:51
14;Медицинский университет;06:18;06:37;06:49;07:02;07:37;07:50;08:13;08:37;08:52;09:03;09:32;09:46;10:14;10:27;10:40;11:07;11:21;11:52;12:23;12:38;13:08;13:37;13:53;14:25;14:41;15:12;15:27;15:41;16:06;16:21;16:47;17:00;17:24;17:36;18:02;18:17;18:35;19:05;19:26;19:49;20:11;20:32;20:53
15;Театральный центр Космос;06:22;06:41;06:53;07:06;07:43;07:56;08:17;08:41;08:56;09:07;09:36;09:50;10:18;10:31;10:44;11:11;11:25;11:56;12:27;12:42;13:12;13:41;13:57;14:29;14:45;15:16;15:31;15:45;16:10;16:25;16:51;17:04;17:28;17:40;18:06;18:21;18:39;19:09;19:30;19:53;20:15;20:36;20:57
16;м-н Буратино;06:22;06:41;06:53;07:06;07:43;07:56;08:17;08:41;08:56;09:07;09:36;09:50;10:18;10:31;10:44;11:11;11:25;11:56;12:27;12:42;13:12;13:41;13:57;14:29;14:45;15:16;15:31;15:45;16:10;16:25;16:51;17:04;17:28;17:40;18:06;18:21;18:39;19:09;19:30;19:53;20:15;20:36;20:57
17;Школа №17;06:23;06:42;06:54;07:07;07:44;07:57;08:18;08:42;08:57;09:08;09:37;09:51;10:19;10:32;10:45;11:12;11:26;11:57;12:28;12:43;13:13;13:42;13:58;14:30;14:46;15:17;15:32;15:46;16:11;16:26;16:52;17:05;17:29;17:41;18:07;18:22;18:40;19:10;19:31;19:54;20:16;20:37;20:58
18;ДК Строитель;06:24;06:43;06:55;07:08;07:45;07:58;08:19;08:43;08:58;09:09;09:38;09:52;10:20;10:33;10:46;11:13;11:27;11:58;12:29;12:44;13:14;13:43;13:59;14:31;14:47;15:18;15:33;15:47;16:12;16:27;16:53;17:06;17:30;17:42;18:08;18:23;18:41;19:11;19:32;19:55;20:17;20:38;20:59
19;Кросно;06:27;06:46;06:58;07:11;07:48;08:01;08:22;08:46;09:01;09:12;09:41;09:55;10:23;10:36;10:49;11:16;11:30;12:01;12:32;12:47;13:17;13:46;14:02;14:34;14:50;15:21;15:36;15:50;16:15;16:30;16:56;17:09;17:33;17:45;18:11;18:26;18:44;19:14;19:35;19:58;20:20;20:41;21:02
20;ул. Воровского;06:30;06:49;07:01;07:14;07:51;08:04;08:25;08:49;09:04;09:15;09:44;09:58;10:26;10:39;10:52;11:19;11:33;12:04;12:35;12:50;13:20;13:49;14:05;14:37;14:53;15:24;15:39;15:53;16:18;16:33;16:59;17:12;17:36;17:48;18:14;18:29;18:47;19:17;19:38;20:01;20:23;20:44;21:05
21;"Подъезд к развязке ул. Монтажников";06:32;06:51;07:03;07:16;07:53;08:06;08:27;08:51;09:06;09:17;09:46;10:00;10:28;10:41;10:54;11:21;11:35;12:06;12:37;12:52;13:22;13:51;14:07;14:39;14:55;15:26;15:41;15:55;16:20;16:35;17:01;17:14;17:38;17:50;18:16;18:31;18:49;19:19;19:40;20:03;20:25;20:46;21:07
22;ул. Олимпийская;06:37;06:56;07:08;07:21;07:58;08:11;08:32;08:56;09:11;09:22;09:51;10:05;10:33;10:46;10:59;11:26;11:40;12:11;12:42;12:57;13:27;13:56;14:12;14:44;15:00;15:31;15:46;16:00;16:25;16:40;17:06;17:19;17:43;17:55;18:21;18:36;18:54;19:24;19:45;20:08;20:30;20:51;21:12
23;Современник;06:39;06:58;07:11;07:24;08:01;08:14;08:35;08:59;09:13;09:24;09:53;10:07;10:35;10:48;11:01;11:28;11:42;12:13;12:44;12:59;13:29;13:58;14:14;14:46;15:02;15:33;15:48;16:02;16:28;16:43;17:09;17:22;17:46;17:58;18:24;18:39;18:57;19:26;19:47;20:10;20:32;20:53;21:14
24;Городская поликлиника №17;06:41;07:00;07:15;07:28;08:05;08:18;08:39;09:03;09:15;09:26;09:55;10:09;10:37;10:50;11:03;11:30;11:44;12:15;12:46;13:01;13:31;14:00;14:16;14:48;15:04;15:35;15:50;16:04;16:32;16:47;17:13;17:26;17:50;18:02;18:28;18:43;19:01;19:28;19:49;20:12;20:34;20:55;21:16
25;ул. Р. Трениной;06:43;07:02;07:17;07:30;08:07;08:20;08:41;09:05;09:17;09:28;09:57;10:11;10:39;10:52;11:05;11:32;11:46;12:17;12:48;13:03;13:33;14:02;14:18;14:50;15:06;15:37;15:52;16:06;16:34;16:49;17:15;17:28;17:52;18:04;18:30;18:45;19:03;19:30;19:51;20:14;20:36;20:57;21:18
26;Школа №65;06:44;07:03;07:19;07:32;08:09;08:22;08:43;09:07;09:18;09:29;09:58;10:12;10:40;10:53;11:06;11:33;11:47;12:18;12:49;13:04;13:34;14:03;14:19;14:51;15:07;15:38;15:53;16:07;16:36;16:51;17:17;17:30;17:54;18:06;18:32;18:47;19:05;19:31;19:52;20:15;20:37;20:58;21:19
27;МЖК;06:46;07:05;07:21;07:34;08:11;08:24;08:45;09:09;09:20;09:31;10:00;10:14;10:42;10:55;11:08;11:35;11:49;12:20;12:51;13:06;13:36;14:05;14:21;14:53;15:09;15:40;15:55;16:09;16:38;16:53;17:19;17:32;17:56;18:08;18:34;18:49;19:07;19:33;19:54;20:17;20:39;21:00;21:21
28;мкр. Суходольский;
