1;п. Док;07:17;08:04;08:22;08:38;11:04;12:04;12:24;12:41;15:30;16:25;16:42;16:58
2;ул. Курчатова;07:18;08:05;08:23;08:39;11:05;12:05;12:25;12:42;15:31;16:26;16:43;16:59
3;ул. Тюменская;07:19;08:06;08:24;08:40;11:06;12:06;12:26;12:43;15:32;16:27;16:44;17:00
4;ул. Коммунистическая;07:20;08:07;08:25;08:41;11:07;12:07;12:27;12:44;15:33;16:28;16:45;17:01
5;ул. Подгорная;07:22;08:09;08:27;08:43;11:08;12:08;12:28;12:45;15:34;16:29;16:46;17:02
6;Сквер Святителя Филофея;07:23;08:10;08:28;08:44;11:09;12:09;12:29;12:46;15:35;16:30;16:47;17:03
7;Детский сад №55;07:25;08:12;08:30;08:46;11:11;12:11;12:31;12:48;15:37;16:32;16:49;17:05
8;ул. Полевая;07:26;08:13;08:31;08:47;11:13;12:13;12:33;12:50;15:39;16:34;16:51;17:07
9;ул. Болотникова;07:28;08:15;08:33;08:49;11:14;12:14;12:34;12:51;15:40;16:35;16:52;17:08
10;Дом Обороны;07:31;08:18;08:36;08:52;11:17;12:17;12:37;12:54;15:43;16:38;16:55;17:11
11;з-д Сибнефтегазмаш;07:33;08:20;08:38;08:54;11:19;12:19;12:39;12:56;15:45;16:40;16:57;17:13
12;з-д Аккумуляторный;07:34;08:21;08:39;08:55;11:20;12:20;12:40;12:57;15:46;16:41;16:58;17:14
13;ул. Авторемонтная;07:36;08:23;08:41;08:57;11:22;12:22;12:42;12:59;15:48;16:43;17:00;17:16
14;ТЭМЗ;07:38;08:25;08:43;08:59;11:24;12:24;12:44;13:01;15:50;16:45;17:02;17:18
15;Школа №51;07:41;08:28;08:46;09:02;11:27;12:27;12:47;13:04;15:53;16:48;17:05;17:21
16;Сельхозтехника;07:42;08:29;08:47;09:03;11:28;12:28;12:48;13:05;15:54;16:49;17:06;17:22
17;д. Плеханова;07:50;08:37;08:55;09:11;11:36;12:36;12:56;13:13;16:02;16:57;17:14;17:30
18;ЖК "Колумб";07:54;08:41;08:59;09:15;11:40;12:40;13:00;13:17;16:06;17:01;17:18;17:34
19;ул. Закалужская;07:56;08:43;09:01;09:17;11:42;12:42;13:02;13:19;16:08;17:03;17:20;17:36
20;ул. Панфиловцев;07:59;08:46;09:04;09:20;11:45;12:45;13:05;13:22;16:11;17:06;17:23;17:39
21;мкр. Южный;08:03;08:50;09:08;09:24;11:48;12:48;13:08;13:25;16:14;17:10;17:27;17:43
22;ул. Бахарева;08:04;08:51;09:09;09:25;11:48;12:48;13:08;13:25;16:14;17:11;17:28;17:44
23;ул. Федюнинского;08:05;08:52;09:10;09:26;11:49;12:49;13:09;13:26;16:15;17:12;17:29;17:45
24;ул. Федюнинского, 43;08:08;08:55;09:13;09:29;11:52;12:52;13:12;13:29;16:18;17:15;17:32;17:48
25;Ожогина;08:11;08:58;09:16;09:32;11:54;12:54;13:14;13:31;16:20;17:18;17:35;17:51
26;ул. Николая Семенова;08:12;08:59;09:17;09:33;11:56;12:56;13:16;13:33;16:22;17:19;17:36;17:52
27;ул. П. Артамонова;08:16;09:03;09:21;09:37;11:58;12:58;13:18;13:35;16:24;17:23;17:40;17:56
28;ул. Е. Богдановича;08:17;09:04;09:22;09:38;12:00;13:00;13:20;13:37;16:26;17:24;17:41;17:57
29;мкр. Тюменский;08:21;09:08;09:26;09:42;12:03;13:03;13:23;13:40;16:29;17:28;17:45;18:01
30;Сквер Депутатов;08:22;09:09;09:27;09:43;12:04;13:04;13:24;13:41;16:30;17:29;17:46;18:02
31;Театр Ангажемент;08:23;09:10;09:28;09:44;12:05;13:05;13:25;13:42;16:31;17:30;17:47;18:03
32;ул. Моторостроителей;08:26;09:13;09:31;09:47;12:08;13:08;13:28;13:45;16:34;17:33;17:50;18:06
33;Поликлиника;08:27;09:14;09:32;09:48;12:09;13:09;13:29;13:46;16:35;17:34;17:51;18:07
34;сквер Десантников;08:29;09:16;09:34;09:50;12:11;13:11;13:31;13:48;16:37;17:36;17:53;18:09
35;Восточный 3;08:30;09:17;09:35;09:51;12:12;13:12;13:32;13:49;16:38;17:37;17:54;18:10
36;ул. Теплотехников;08:32;09:19;09:37;09:53;12:14;13:14;13:34;13:51;16:40;17:39;17:56;18:12
37;ТЭЦ №2;08:33;09:20;09:38;09:54;12:15;13:15;13:35;13:52;16:41;17:40;17:57;18:13
38;ул. Боровская;08:34;09:21;09:39;09:55;12:16;13:16;13:36;13:53;16:42;17:41;17:58;18:14
39;ст. Войновка;08:35;09:22;09:40;09:56;12:17;13:17;13:37;13:54;16:43;17:42;17:59;18:15
40;ул. Таллинская;08:37;09:24;09:42;09:58;12:19;13:19;13:39;13:56;16:45;17:44;18:01;18:17
41;ул. Таллинская;06:28;06:41;06:55;09:06;10:15;10:33;10:51;13:10;14:27;14:49;15:11;17:26
