1;ЖДВ;07:55;09:56;13:35;15:15;18:15;19:51
2;сквер Семена Пацко;07:56;09:57;13:36;15:16;18:16;19:52
3;ул. Смоленская;07:58;09:59;13:38;15:18;18:18;19:54
4;ул. Первомайская;08:02;10:03;13:42;15:22;18:22;19:58
5;ул. Дзержинского;08:05;10:06;13:45;15:25;18:25;20:01
6;ул. 2-я Луговая;08:08;10:09;13:48;15:28;18:28;20:03
7;ул. Мысовская;08:10;10:11;13:50;15:30;18:30;20:05
8;ул. Астраханская;08:11;10:12;13:51;15:31;18:31;20:06
9;I Заречный микрорайон;08:14;10:15;13:54;15:34;18:34;20:08
10;II Заречный микрорайон;08:16;10:17;13:56;15:36;18:36;20:10
11;Автоколонна №1228;08:19;10:20;13:59;15:39;18:39;20:13
12;ул. Тимуровцев;08:20;10:21;14:00;15:40;18:41;20:14
13;ул. Павлова;08:21;10:22;14:01;15:41;18:41;20:15
14;ул. Магистральная;08:22;10:23;14:02;15:42;18:43;20:16
15;Биофак;08:24;10:25;14:04;15:44;18:45;20:18
16;Детский сад №127;08:24;10:25;14:04;15:44;18:45;20:18
17;Парк Пограничников;08:27;10:28;14:07;15:47;18:48;20:21
18;ул.Клубничная;08:28;10:29;14:08;15:48;18:49;20:22
19;с/о Вишенка;08:32;10:33;14:12;15:52;18:53;20:26
20;с/о Сосенка;08:34;10:35;14:14;15:54;18:55;20:28
21;с/о "Веселый";08:35;10:36;14:15;15:55;18:56;20:29
22;с/о Приволье;07:06;08:42;10:43;14:25;16:04;19:03;20:34
