1;ЖДВ;06:46;07:23;07:56;08:30;09:10;09:50;10:39;11:29;12:19;13:09;13:42;14:12;14:52;15:31;16:18;17:05;17:57;18:29;19:16;20:06
2;сквер Семена Пацко;06:47;07:24;07:57;08:31;09:11;09:51;10:40;11:30;12:20;13:10;13:43;14:13;14:53;15:32;16:19;17:06;17:58;18:30;19:17;20:07
3;ул. Смоленская;06:51;07:28;08:01;08:35;09:15;09:55;10:44;11:34;12:24;13:14;13:47;14:17;14:57;15:36;16:23;17:10;18:02;18:34;19:21;20:11
4;ул. Первомайская;06:56;07:33;08:06;08:40;09:20;10:00;10:49;11:39;12:29;13:19;13:52;14:22;15:02;15:41;16:28;17:15;18:07;18:39;19:26;20:16
5;ул. Дзержинского;06:59;07:36;08:09;08:43;09:23;10:03;10:52;11:42;12:32;13:22;13:55;14:25;15:05;15:44;16:31;17:18;18:10;18:42;19:29;20:19
6;ул. 2-я Луговая;07:01;07:38;08:11;08:45;09:25;10:05;10:54;11:44;12:34;13:24;13:57;14:27;15:07;15:46;16:33;17:20;18:12;18:44;19:31;20:21
7;ул. Мысовская;07:02;07:39;08:12;08:46;09:27;10:07;10:56;11:46;12:36;13:26;13:59;14:29;15:09;15:48;16:35;17:22;18:14;18:46;19:32;20:22
8;ул. Астраханская;07:03;07:40;08:13;08:47;09:28;10:08;10:57;11:47;12:37;13:27;14:00;14:30;15:10;15:49;16:36;17:23;18:15;18:47;19:33;20:23
9;I Заречный микрорайон;07:04;07:41;08:14;08:48;09:30;10:10;10:59;11:49;12:39;13:29;14:02;14:32;15:12;15:51;16:38;17:25;18:17;18:49;19:34;20:24
10;II Заречный микрорайон;07:06;07:43;08:16;08:50;09:32;10:12;11:01;11:51;12:41;13:31;14:04;14:34;15:14;15:53;16:40;17:27;18:19;18:51;19:36;20:26
11;Автоколонна №1228;07:07;07:44;08:17;08:51;09:33;10:13;11:02;11:52;12:42;13:32;14:05;14:35;15:15;15:54;16:41;17:28;18:20;18:52;19:37;20:27
12;ул. Тимуровцев;07:09;07:46;08:19;08:53;09:36;10:16;11:05;11:55;12:45;13:35;14:08;14:38;15:18;15:57;16:44;17:31;18:23;18:55;19:39;20:29
13;ул. Павлова;07:09;07:46;08:19;08:53;09:36;10:16;11:05;11:55;12:45;13:35;14:08;14:38;15:18;15:57;16:44;17:31;18:23;18:55;19:39;20:29
14;ул. Магистральная;07:10;07:47;08:20;08:54;09:38;10:18;11:07;11:57;12:47;13:37;14:10;14:40;15:20;15:59;16:46;17:33;18:25;18:57;19:40;20:30
15;Биофак;07:11;07:48;08:21;08:55;09:39;10:19;11:08;11:58;12:48;13:38;14:11;14:41;15:21;16:00;16:47;17:34;18:26;18:58;19:41;20:31
16;Детский сад №127;07:12;07:49;08:22;08:56;09:41;10:21;11:10;12:00;12:50;13:40;14:13;14:43;15:23;16:02;16:49;17:36;18:28;19:00;19:42;20:32
17;Парк Пограничников;07:15;07:52;08:25;08:59;09:44;10:24;11:13;12:03;12:53;13:43;14:16;14:46;15:26;16:05;16:52;17:39;18:31;19:03;19:45;20:35
18;ул.Клубничная;07:15;07:52;08:26;08:59;09:44;10:25;11:13;12:03;12:54;13:43;14:16;14:46;15:26;16:05;16:53;17:39;18:32;19:03;19:45;20:35
19;с/о Вишенка;07:18;07:55;08:28;09:02;09:47;10:27;11:16;12:06;12:56;13:46;14:19;14:49;15:29;16:08;16:55;17:42;18:34;19:06;19:48;20:38
20;ул. Георгия Жукова;07:23;08:00;09:07;09:52;11:21;12:11;13:51;14:24;14:54;15:34;16:13;17:47;19:11;19:53;20:43
21;ул. Семена Шахлина;07:24;08:01;09:08;09:53;11:22;12:12;13:52;14:25;14:55;15:35;16:14;17:48;19:12;19:54;20:44
22;ДК Орфей (на высадку);07:25;08:02;09:09;09:54;11:23;12:13;13:53;14:26;14:56;15:36;16:15;17:49;19:13;19:55;20:45
23;с/о Березняки;05:57;06:35;07:30;08:11;09:41;10:31;12:05;12:54;14:02;14:41;15:30;16:18;17:41;18:28;19:18;20:08
