1;с/о Березняки;06:27;07:20;08:13;09:21;10:16;11:11;12:06;13:04;14:16;15:14;15:59;16:33;17:27;18:21;19:20;20:25
2;ДК Орфей (на посадку);06:29;07:22;08:15;09:23;10:18;11:13;12:08;13:06;14:18;15:16;16:01;16:35;17:29;18:23;19:22;20:27
3;ул. Семена Шахлина;06:29;07:22;08:15;09:23;10:18;11:13;12:08;13:06;14:18;15:16;16:01;16:35;17:29;18:23;19:22;20:27
4;ул. Омутинская;06:31;07:24;08:17;09:25;10:20;11:15;12:10;13:08;14:20;15:18;16:03;16:37;17:31;18:25;19:24;20:29
5;ул. Заводоуковская;06:31;07:25;08:18;09:25;10:20;11:15;12:10;13:08;14:20;15:18;16:03;16:37;17:32;18:26;19:24;20:29
6;ул. Клубничная;06:36;07:31;08:24;09:30;10:25;11:20;12:15;13:13;14:25;15:23;16:08;16:42;17:38;18:32;19:29;20:34
7;Парк Пограничников;06:38;07:32;08:25;09:32;10:27;11:22;12:17;13:15;14:27;15:25;16:10;16:44;17:39;18:33;19:31;20:36
8;Детский сад №127;06:40;07:35;08:28;09:34;10:29;11:24;12:19;13:17;14:29;15:27;16:12;16:46;17:42;18:36;19:33;20:38
9;Биофак;06:41;07:36;08:29;09:35;10:30;11:25;12:20;13:18;14:30;15:28;16:13;16:47;17:43;18:37;19:34;20:39
10;ул. Магистральная;06:42;07:37;08:30;09:36;10:31;11:26;12:21;13:19;14:31;15:29;16:14;16:48;17:44;18:38;19:35;20:40
11;ул. Павлова;06:44;07:39;08:32;09:38;10:33;11:28;12:23;13:21;14:33;15:31;16:16;16:50;17:46;18:40;19:37;20:42
12;ул. Тимуровцев;06:45;07:40;08:33;09:39;10:34;11:29;12:24;13:22;14:34;15:32;16:17;16:51;17:47;18:41;19:38;20:43
13;Автоколонна №1228;06:45;07:40;08:33;09:39;10:34;11:29;12:24;13:22;14:34;15:32;16:17;16:51;17:47;18:41;19:38;20:43
14;Школа №9;06:47;07:42;08:35;09:41;10:36;11:31;12:26;13:24;14:36;15:34;16:19;16:53;17:49;18:43;19:40;20:45
15;микрорайон Югра;06:48;07:44;08:37;09:42;10:37;11:32;12:27;13:25;14:37;15:35;16:21;16:55;17:51;18:45;19:42;20:46
16;Детский сад №121;06:50;07:45;08:38;09:44;10:39;11:34;12:29;13:27;14:39;15:37;16:23;16:57;17:53;18:47;19:44;20:48
17;ул. Сосьвинская;06:51;07:47;08:40;09:46;10:41;11:36;12:31;13:29;14:41;15:39;16:25;16:59;17:55;18:49;19:46;20:49
18;проезд Юганский;06:53;07:49;08:42;09:47;10:42;11:37;12:32;13:30;14:42;15:40;16:27;17:01;17:57;18:51;19:48;20:51
19;Стоматологическая поликлиника №1;06:54;07:50;08:43;09:49;10:44;11:39;12:34;13:32;14:44;15:42;16:28;17:02;17:58;18:52;19:49;20:52
20;Сад Дружбы;06:58;07:54;08:47;09:52;10:47;11:42;12:37;13:35;14:47;15:45;16:32;17:06;18:02;18:56;19:53;20:56
21;парк им. Гагарина;07:02;07:59;08:52;09:57;10:52;11:47;12:42;13:40;14:52;15:50;16:37;17:11;18:07;19:01;19:58;21:00
22;Западно-сибирский медицинский центр;07:05;08:01;08:54;09:59;10:54;11:49;12:44;13:42;14:54;15:52;16:40;17:14;18:10;19:04;20:01;21:03
23;"Школа №48 им. генерала Карбышева";07:07;08:04;08:57;10:02;10:57;11:52;12:47;13:45;14:57;15:55;16:43;17:17;18:13;19:07;20:04;21:05
24;ул. Судоремонтная;07:08;08:05;08:58;10:02;10:57;11:52;12:47;13:45;14:57;15:55;16:44;17:18;18:14;19:08;20:04;21:05
25;ул. Мусоргского;07:10;08:07;09:00;10:04;10:59;11:54;12:49;13:47;14:59;15:57;16:46;17:20;18:16;19:10;20:06;21:07
26;Тюмень Сити Молл;07:12;08:09;09:02;10:06;11:01;11:56;12:51;13:49;15:01;15:59;16:48;17:22;18:18;19:12;20:08;21:09
27;ЖК Звездный городок (для высадки);07:14;08:11;09:04;10:08;11:03;11:58;12:53;13:51;15:03;16:01;16:50;17:24;18:20;19:14;20:10;21:11
28;ЖК Звездный городок (для посадки);06:30;07:19;08:15;09:11;10:13;11:13;12:15;12:58;13:56;15:08;16:08;16:56;17:41;18:26;19:22;20:18;21:14
