1;ЖК Звездный городок (для высадки);07:10;07:44;08:19;08:58;09:33;10:12;10:48;11:27;12:06;12:46;13:26;14:06;14:46;15:26;16:06;16:46;17:26;18:02;18:36;19:12;19:42;20:14;20:44;21:30;22:16;23:02
2;Тюмень Сити Молл;05:51;06:27;07:01;07:35;08:14;08:53;09:32;10:12;10:52;11:32;12:12;12:52;13:32;14:12;14:52;15:32;16:03;16:34;17:05;17:37;18:09;18:41;19:13;19:57;20:51;22:12
3;ул. Мусоргского;05:53;06:29;07:03;07:37;08:16;08:55;09:34;10:14;10:54;11:34;12:14;12:54;13:34;14:14;14:54;15:34;16:05;16:36;17:07;17:39;18:11;18:43;19:14;19:58;20:52;22:13
4;ул. Судоремонтная;05:55;06:31;07:05;07:39;08:18;08:57;09:36;10:16;10:56;11:36;12:16;12:56;13:36;14:16;14:56;15:36;16:07;16:38;17:09;17:41;18:13;18:45;19:16;20:00;20:54;22:15
5;"Школа №48 им. генерала Карбышева";05:56;06:32;07:06;07:40;08:19;08:58;09:37;10:17;10:57;11:37;12:17;12:57;13:37;14:17;14:57;15:37;16:08;16:39;17:10;17:42;18:14;18:46;19:17;20:01;20:55;22:16
6;Западно-сибирский медицинский центр;05:57;06:33;07:07;07:41;08:20;08:59;09:38;10:18;10:58;11:38;12:18;12:58;13:38;14:18;14:58;15:38;16:09;16:40;17:11;17:43;18:15;18:47;19:18;20:02;20:56;22:17
7;парк им. Гагарина;05:59;06:35;07:09;07:43;08:22;09:01;09:40;10:20;11:00;11:40;12:20;13:00;13:40;14:20;15:00;15:40;16:11;16:42;17:13;17:45;18:17;18:49;19:20;20:04;20:58;22:18
8;Студенческий городок;06:09;06:45;07:19;07:54;08:33;09:11;09:50;10:30;11:10;11:50;12:30;13:10;13:50;14:30;15:10;15:50;16:21;16:52;17:24;17:56;18:28;19:00;19:30;20:14;21:08;22:27
9;Областная больница №2;06:12;06:48;07:22;07:59;08:38;09:14;09:53;10:33;11:13;11:53;12:33;13:13;13:53;14:33;15:13;15:53;16:24;16:55;17:29;18:01;18:33;19:03;19:33;20:17;21:10;22:29
10;Тюменский индустриальный университет;06:14;06:50;07:24;08:01;08:40;09:16;09:55;10:35;11:15;11:55;12:35;13:15;13:55;14:35;15:15;15:55;16:26;16:57;17:31;18:03;18:35;19:05;19:35;20:19;21:12;22:31
11;ул. Рижская;06:18;06:54;07:28;08:05;08:45;09:20;09:59;10:39;11:19;11:59;12:39;13:19;13:59;14:39;15:19;15:59;16:30;17:01;17:35;18:08;18:40;19:10;19:39;20:23;21:16;22:34
12;Площадь Памяти;06:22;06:58;07:32;08:09;08:50;09:25;10:04;10:44;11:24;12:04;12:44;13:24;14:04;14:44;15:24;16:04;16:35;17:06;17:40;18:13;18:45;19:15;19:43;20:27;21:20;22:38
13;м-н Буратино;06:24;07:00;07:34;08:11;08:52;09:27;10:06;10:46;11:26;12:06;12:46;13:26;14:06;14:46;15:26;16:06;16:37;17:08;17:42;18:15;18:47;19:17;19:45;20:29;21:22;22:40
14;ДК Строитель;06:27;07:03;07:37;08:14;08:55;09:30;10:09;10:49;11:29;12:09;12:49;13:29;14:09;14:49;15:29;16:09;16:40;17:11;17:45;18:18;18:50;19:20;19:48;20:32;21:25;22:43
15;ул. Пермякова;06:31;07:07;07:41;08:18;08:59;09:34;10:13;10:53;11:33;12:13;12:53;13:33;14:13;14:53;15:33;16:13;16:44;17:15;17:49;18:22;18:54;19:24;19:51;20:35;21:28;22:46
16;мкр. Тюменский;
17;Сквер Депутатов;
18;Театр Ангажемент;
19;Моторостроителей;
20;Поликлиника;06:52;07:28;08:05;08:42;09:23;09:55;10:34;11:14;11:54;12:34;13:14;13:54;14:34;15:14;15:54;16:34;17:05;17:40;18:14;18:47;19:19;19:49;20:13;20:57;21:47;23:05
21;Восточный 2;
22;Восточный 3;06:55;07:31;08:08;08:45;09:26;09:58;10:37;11:17;11:57;12:37;13:17;13:57;14:37;15:17;15:57;16:37;17:08;17:43;18:17;18:50;19:22;19:52;20:16;21:00;21:49;23:07
23;ул. Теплотехников;06:56;07:32;08:09;08:46;09:27;09:59;10:38;11:18;11:58;12:38;13:18;13:58;14:38;15:18;15:58;16:38;17:09;17:44;18:18;18:51;19:23;19:53;20:17;21:01;21:50;23:08
24;ТЭЦ №2;06:57;07:33;08:10;08:47;09:28;10:00;10:39;11:19;11:59;12:39;13:19;13:59;14:39;15:19;15:59;16:39;17:10;17:45;18:19;18:52;19:24;19:54;20:18;21:02;21:52;23:10
25;ул. Боровская;
26;ст. Войновка;06:59;07:35;08:12;08:49;09:30;10:02;10:41;11:21;12:01;12:41;13:21;14:01;14:41;15:21;16:01;16:41;17:12;17:47;18:21;18:54;19:26;19:56;20:20;21:04;21:53;23:11
27;ул. Таллинская;06:03;06:35;07:10;07:45;08:20;08:59;09:38;10:17;10:56;11:36;12:16;12:56;13:36;14:16;14:56;15:36;16:16;16:51;17:24;17:57;18:30;19:06;19:42;20:28;21:14;22:00
