1;ЖК "Правобережный" (для посадки);07:08;08:08;09:48;11:41;12:39;14:56;16:01;17:17;18:21;20:13;21:29
2;Детский сад №100;07:11;08:11;09:50;11:43;12:41;14:58;16:03;17:20;18:24;20:15;21:31
3;ул. Харьковская;07:14;08:14;09:52;11:45;12:43;15:00;16:05;17:23;18:27;20:17;21:33
4;Травматология;07:16;08:16;09:54;11:47;12:45;15:02;16:07;17:25;18:29;20:19;21:35
5;Областная больница №2;07:18;08:18;09:56;11:49;12:47;15:04;16:09;17:27;18:31;20:21;21:37
6;Тюменский индустриальный университет;07:20;08:20;09:58;11:51;12:49;15:06;16:11;17:29;18:33;20:23;21:39
7;ул. Рижская;07:25;08:25;10:01;11:54;12:52;15:09;16:14;17:34;18:36;20:26;21:42
8;Площадь Памяти;07:30;08:30;10:05;11:58;12:56;15:13;16:18;17:39;18:40;20:30;21:46
9;Театральный центр Космос;07:31;08:31;10:06;11:59;12:57;15:14;16:19;17:40;18:41;20:31;21:47
10;Школа №17;07:33;08:33;10:08;12:01;12:59;15:16;16:21;17:42;18:42;20:32;21:48
11;Кросно;07:36;08:36;10:10;12:03;13:01;15:18;16:23;17:45;18:45;20:35;21:51
12;ул. Воровского;07:39;08:39;10:13;12:06;13:04;15:21;16:26;17:48;18:47;20:37;21:53
13;з-д Электрон;07:42;08:42;10:15;12:08;13:06;15:23;16:28;17:51;18:50;20:40;21:56
14;ЖБИ;07:44;08:44;10:17;12:10;13:08;15:25;16:30;17:53;18:51;20:41;21:57
15;Рабочий поселок;07:46;08:46;10:19;12:12;13:10;15:27;16:32;17:55;18:53;20:43;21:59
16;Управление Росгвардии;07:48;08:48;10:21;12:14;13:12;15:29;16:34;17:57;18:55;20:45;22:01
17;Старый Тобольский тракт;07:50;08:50;10:23;12:16;13:14;15:31;16:36;18:00;18:58;20:47;22:03
18;завод Металлургический;07:51;08:51;10:24;12:17;13:15;15:32;16:37;18:02;19:00;20:48;22:04
19;2 км Старого Тобольского тракта;07:53;08:53;10:26;12:19;13:17;15:34;16:39;18:04;19:02;20:50;22:06
20;з-д Моторный;07:55;08:55;10:28;12:21;13:19;15:36;16:41;18:06;19:04;20:52;22:08
21;Проезд до ул. Вологодская;07:56;08:56;10:29;12:22;13:20;15:37;16:42;18:08;19:06;20:53;22:09
22;Поворот на конно-спортивную базу;07:57;08:57;10:30;12:23;13:21;15:38;16:43;18:08;19:06;20:54;22:10
23;3 км Старого Тобольского тракта;07:59;08:59;10:32;12:25;13:23;15:40;16:45;18:11;19:09;20:55;22:11
24;4-й км. Старого Тобольского тракта;08:00;09:00;10:33;12:26;13:24;15:41;16:46;18:12;19:10;20:56;22:12
25;мкр. Антипино;08:02;09:02;10:35;12:28;13:26;15:43;16:48;18:14;19:12;20:58;22:14
26;ДК Поиск;08:03;09:03;10:36;12:29;13:27;15:44;16:49;18:15;19:13;20:59;22:15
27;Школа №32;08:06;09:06;10:39;12:32;13:30;15:47;16:52;18:18;19:16;21:01;22:17
28;ул. Вологодская;06:12;06:51;08:19;09:32;10:55;12:40;13:39;15:55;17:07;18:38;20:09;21:41
