1;Мебельная фабрика;06:41;07:07;07:33;08:03;08:40;08:40;09:21;10:01;10:38;11:15;11:52;11:52;12:32;13:12;13:57;14:35;15:10;15:10;15:42;16:24;17:03;17:41;18:29;19:03;19:37;20:14
2;Центр татарской культуры;06:43;07:09;07:35;08:05;08:42;08:42;09:23;10:03;10:40;11:17;11:54;11:54;12:34;13:14;13:59;14:37;15:12;15:12;15:44;16:26;17:05;17:43;18:31;19:05;19:39;20:16
3;ул. Щербакова;06:45;07:11;07:37;08:07;08:44;08:44;09:25;10:05;10:42;11:19;11:56;11:56;12:36;13:16;14:01;14:39;15:14;15:14;15:46;16:28;17:07;17:45;18:33;19:07;19:41;20:18
4;ул. Астраханская;06:47;07:13;07:39;08:09;08:46;08:46;09:27;10:07;10:44;11:21;11:58;11:58;12:38;13:18;14:03;14:41;15:16;15:16;15:48;16:30;17:09;17:47;18:35;19:09;19:43;20:20
5;I Заречный микрорайон;06:49;07:15;07:41;08:11;08:48;08:48;09:29;10:09;10:46;11:23;12:00;12:00;12:40;13:20;14:05;14:43;15:18;15:18;15:50;16:32;17:12;17:50;18:38;19:11;19:45;20:22
6;СК Здоровье;05:54;06:18;06:18;06:50;07:16;07:42;08:12;08:49;08:49;09:30;10:10;10:47;11:24;12:01;12:01;12:41;13:21;14:06;14:44;15:19;15:19;15:51;16:33;17:13;17:51;18:39;19:12;19:46;20:23
7;Городская поликлиника №1;05:55;06:19;06:19;06:51;07:17;07:43;08:13;08:50;08:50;09:31;10:11;10:48;11:25;12:02;12:02;12:42;13:22;14:07;14:45;15:20;15:20;15:52;16:34;17:14;17:52;18:40;19:13;19:47;20:24
8;Филиал библиотеки им.  А.С. Пушкина;05:57;06:21;06:21;06:53;07:19;07:45;08:15;08:52;08:52;09:33;10:13;10:50;11:27;12:04;12:04;12:44;13:24;14:09;14:47;15:22;15:22;15:54;16:36;17:16;17:54;18:42;19:15;19:49;20:26
9;ул. Муравленко;05:59;06:23;06:23;06:55;07:21;07:47;08:17;08:54;08:54;09:35;10:15;10:52;11:29;12:06;12:06;12:46;13:26;14:11;14:49;15:24;15:24;15:56;16:38;17:18;17:56;18:44;19:17;19:51;20:28
10;озеро Алебашево;06:00;06:24;06:24;06:56;07:22;07:48;08:18;08:55;08:55;09:36;10:16;10:53;11:30;12:07;12:07;12:47;13:27;14:12;14:50;15:25;15:25;15:57;16:39;17:20;17:58;18:46;19:18;19:52;20:29
11;Алебашевский базар;06:02;06:26;06:26;06:58;07:24;07:50;08:20;08:57;08:57;09:38;10:18;10:55;11:32;12:09;12:09;12:49;13:29;14:14;14:52;15:27;15:27;15:59;16:41;17:22;18:00;18:48;19:20;19:54;20:31
12;ул. Циолковского;06:07;06:31;06:31;07:03;07:29;07:55;08:25;09:02;09:02;09:43;10:23;11:00;11:37;12:14;12:14;12:54;13:34;14:19;14:57;15:32;15:32;16:04;16:46;17:27;18:05;18:53;19:24;19:58;20:35
13;ул. Профсоюзная;06:08;06:32;06:32;07:04;07:30;07:56;08:26;09:03;09:03;09:44;10:24;11:01;11:38;12:15;12:15;12:55;13:35;14:20;14:58;15:33;15:33;16:05;16:47;17:29;18:07;18:55;19:25;19:59;20:36
14;ул. М. Горького;06:11;06:35;06:35;07:07;07:33;07:59;08:29;09:06;09:06;09:47;10:27;11:04;11:41;12:18;12:18;12:58;13:38;14:23;15:01;15:36;15:36;16:08;16:50;17:32;18:10;18:58;19:28;20:02;20:39
15;Родильный дом №2;06:14;06:38;06:38;07:10;07:36;08:02;08:32;09:09;09:09;09:50;10:30;11:07;11:44;12:21;12:21;13:01;13:41;14:26;15:04;15:39;15:39;16:11;16:53;17:35;18:13;19:01;19:31;20:05;20:42
16;Школа №37;06:15;06:39;06:39;07:11;07:37;08:03;08:33;09:10;09:10;09:51;10:31;11:08;11:45;12:22;12:22;13:02;13:42;14:27;15:05;15:40;15:40;16:12;16:54;17:37;18:15;19:03;19:32;20:06;20:43
17;ул. Фабричная;06:17;06:41;06:41;07:13;07:39;08:05;08:35;09:12;09:12;09:53;10:33;11:10;11:47;12:24;12:24;13:04;13:44;14:29;15:07;15:42;15:42;16:14;16:56;17:40;18:18;19:06;19:34;20:08;20:45
18;ул. Холодильная;06:19;06:43;06:43;07:15;07:41;08:07;08:37;09:14;09:14;09:55;10:35;11:12;11:49;12:26;12:26;13:06;13:46;14:31;15:09;15:44;15:44;16:16;16:58;17:42;18:20;19:08;19:36;20:10;20:47
19;Площадь Памяти;06:23;06:47;06:47;07:19;07:45;08:11;08:41;09:18;09:18;09:59;10:39;11:16;11:53;12:30;12:30;13:10;13:50;14:35;15:13;15:48;15:48;16:20;17:02;17:47;18:25;19:13;19:40;20:14;20:51
20;Театральный центр Космос;06:24;06:48;06:48;07:20;07:46;08:12;08:42;09:19;09:19;10:00;10:40;11:17;11:54;12:31;12:31;13:11;13:51;14:36;15:14;15:49;15:49;16:21;17:03;17:48;18:26;19:14;19:41;20:15;20:52
21;Школа №17;06:26;06:50;06:50;07:22;07:48;08:14;08:44;09:21;09:21;10:02;10:42;11:19;11:56;12:33;12:33;13:13;13:53;14:38;15:16;15:51;15:51;16:23;17:05;17:50;18:28;19:16;19:42;20:16;20:53
22;Кросно;06:29;06:53;06:53;07:25;07:51;08:17;08:47;09:24;09:24;10:05;10:45;11:22;11:59;12:36;12:36;13:16;13:56;14:41;15:19;15:54;15:54;16:26;17:08;17:53;18:31;19:19;19:45;20:19;20:56
23;ул. Воровского;06:31;06:55;06:55;07:27;07:53;08:19;08:49;09:26;09:26;10:07;10:47;11:24;12:01;12:38;12:38;13:18;13:58;14:43;15:21;15:56;15:56;16:28;17:10;17:55;18:33;19:21;19:47;20:21;20:58
