1;с.Нижняя Тавда АС;07:00;09:00;09:50;10:55;13:05;14:32;15:00;15:30;15:45;17:10;18:05;19:00;21:32
2;с.Черепаново пов.;07:20;09:20;10:11;15:20;15:50;17:31;19:22
3;д.Сосновка пов.;07:24;09:24;10:15;15:24;15:54;17:35;19:26
4;д.Крысова пов.;07:26;09:26;10:17;15:26;15:56;17:37;19:28
5;п.Березовка пов.;07:31;09:31;10:22;15:31;16:01;17:42;19:33
6;д.Малый Хутор пов.;07:39;09:38;10:29;15:39;16:09;17:49;19:40
7;с.Иска пов.;07:44;09:43;10:34;15:44;16:14;17:54;19:45
8;с.Велижаны пов.;07:48;09:47;10:37;15:48;16:18;17:57;19:49
9;д.Малые Велижаны пов.;07:55;09:53;10:45;15:55;16:25;18:05;19:57
10;д.Московка пов.;07:59;09:57;10:49;15:59;16:29;18:09;20:01
11;п.Карагандинский пов.;08:04;10:01;10:54;16:04;16:34;18:14;20:06
12;с.Тюнево пов.;08:08;10:05;10:58;16:08;16:38;18:18;20:10
13;г.Тюмень АВ;08:50;09:05;11:00;11:02;11:55;12:30;13:40;16:00;17:05;17:35;19:15;19:30;21:07
