1;с/о Русское поле;07:33;08:54;10:14;11:55;13:11;14:29;14:29;15:45;17:10;18:46;19:44
2;п. ММС;07:41;09:02;10:22;12:03;13:19;14:37;15:53;17:18;18:54;19:52
3;Школа №45;07:42;09:03;10:23;12:04;13:20;14:38;15:54;17:19;18:55;19:53
4;сквер Мелиораторов;07:44;09:05;10:25;12:06;13:22;14:40;15:56;17:21;18:57;19:55
5;ул. Буровиков;07:45;09:06;10:26;12:07;13:23;14:41;15:57;17:22;18:58;19:56
6;МПАТП № 2;07:49;09:10;10:30;12:11;13:27;14:45;16:01;17:26;19:02;20:00
7;ул. Велижанская;07:51;09:12;10:32;12:13;13:29;14:47;16:03;17:28;19:04;20:02
8;микрорайон Югра;07:52;09:13;10:33;12:14;13:30;14:48;16:04;17:29;19:05;20:03
9;Школа №9;07:54;09:15;10:35;12:16;13:32;14:50;16:06;17:31;19:07;20:05
10;ул.Сеченова;07:56;09:17;10:37;12:18;13:34;14:52;16:08;17:33;19:09;20:07
11;II Заречный микрорайон;07:58;09:19;10:39;12:20;13:36;14:54;16:10;17:35;19:11;20:09
12;СК Здоровье;07:59;09:20;10:40;12:21;13:37;14:55;16:11;17:36;19:12;20:10
13;Городская поликлиника №1;08:01;09:22;10:42;12:23;13:39;14:57;16:13;17:38;19:14;20:12
14;Филиал библиотеки им.  А.С. Пушкина;08:02;09:23;10:43;12:24;13:40;14:58;16:14;17:39;19:15;20:13
15;ул. Муравленко;08:04;09:25;10:45;12:26;13:42;15:00;16:16;17:41;19:17;20:15
16;озеро Алебашево;08:05;09:26;10:46;12:27;13:43;15:01;16:17;17:42;19:18;20:16
17;Алебашевский базар;08:06;09:27;10:47;12:28;13:44;15:02;16:18;17:43;19:19;20:17
18;ул. Циолковского;08:11;09:32;10:52;12:33;13:49;15:07;16:23;17:48;19:24;20:22
19;ул. Профсоюзная;08:13;09:34;10:54;12:35;13:51;15:09;16:25;17:50;19:26;20:24
20;ул. М. Горького;08:17;09:38;10:58;12:39;13:55;15:13;16:29;17:54;19:30;20:28
21;Прокуратура Тюменской области;08:20;09:41;11:01;12:42;13:58;15:16;16:32;17:57;19:33;20:31
22;Тюменский индустриальный университет;08:25;09:46;11:06;12:47;14:03;15:21;16:37;18:02;19:38;20:36
23;ул. Рижская;08:27;09:48;11:08;12:49;14:05;15:23;16:39;18:04;19:40;20:38
24;Площадь Памяти;08:30;09:51;11:11;12:52;14:08;15:26;16:42;18:07;19:43;20:41
25;Кардиоцентр;08:31;09:52;11:12;12:53;14:09;15:27;16:43;18:08;19:44;20:42
26;ул. 30 лет Победы;08:35;09:56;11:16;12:57;14:13;15:31;16:47;18:12;19:48;20:46
27;ул. Валерии Гнаровской;08:36;09:57;11:17;12:58;14:14;15:32;16:48;18:13;19:49;20:47
28;Сквер Победы;08:37;09:58;11:18;12:59;14:15;15:33;16:49;18:14;19:50;20:48
29;ул. Депутатская;08:38;09:59;11:19;13:00;14:16;15:34;16:50;18:15;19:51;20:49
30;VI микрорайон;08:40;10:01;11:21;13:02;14:18;15:36;16:52;18:17;19:53;20:51
31;проезд 9 Мая;08:41;10:02;11:22;13:03;14:19;15:37;16:53;18:18;19:54;20:52
32;V мкр.;08:44;10:05;11:25;13:06;14:22;15:40;16:56;18:21;19:57;20:55
33;мкр. Тюменский;08:47;10:08;11:28;13:09;14:25;15:43;16:59;18:24;20:00;20:58
34;Современник;08:51;10:12;11:32;13:13;14:29;15:47;17:03;18:28;20:04;21:02
35;ул. Олимпийская;08:52;10:13;11:33;13:14;14:30;15:48;17:04;18:29;20:05;21:03
36;проезд Монтажников;08:56;10:17;11:37;13:18;14:34;15:52;17:08;18:33;20:09;21:07
37;мкр. Восточный;08:56;10:17;11:37;13:18;14:34;15:52;17:08;18:33;20:09;21:07
38;Школа №63;08:59;10:20;11:40;13:21;14:37;15:55;17:11;18:36;20:12;21:10
39;ул. Моторостроителей;09:00;10:21;11:41;13:22;14:38;15:56;17:12;18:37;20:13;21:11
40;Поликлиника;09:01;10:22;11:42;13:23;14:39;15:57;17:13;18:38;20:14;21:12
41;сквер Десантников;09:03;10:24;11:44;13:25;14:41;15:59;17:15;18:40;20:16;21:14
42;Восточный 3;
43;ТЭЦ №2;
