1;з-д Медоборудования;05:28;06:26;07:14;08:09;09:04;10:00;11:14;12:10;13:14;14:25;16:06;17:15;18:14;19:36;21:02
2;м-н Буратино;05:32;06:30;07:18;08:13;09:08;10:04;11:18;12:14;13:18;14:29;16:10;17:19;18:18;19:40;21:06
3;г-ца Восток;05:35;06:33;07:21;08:16;09:11;10:07;11:21;12:17;13:21;14:32;16:13;17:22;18:21;19:43;21:09
4;Газпром;05:37;06:35;07:23;08:18;09:13;10:09;11:23;12:19;13:23;14:34;16:15;17:24;18:23;19:45;21:11
5;ул. Холодильная;05:39;06:37;07:26;08:21;09:16;10:12;11:26;12:22;13:26;14:37;16:18;17:27;18:26;19:48;21:14
6;Тюменский драматический театр;05:41;06:39;07:28;08:23;09:18;10:14;11:28;12:24;13:28;14:39;16:20;17:29;18:28;19:50;21:16
7;ул. М. Тореза;05:47;06:45;07:36;08:31;09:26;10:22;11:36;12:32;13:36;14:47;16:28;17:37;18:36;19:58;21:24
8;Сквер Железнодорожников;05:49;06:47;07:39;08:33;09:28;10:24;11:38;12:34;13:38;14:49;16:30;17:41;18:40;20:02;21:27
9;ул. Рабочая;05:52;06:50;07:42;08:36;09:31;10:27;11:41;12:37;13:41;14:52;16:33;17:44;18:43;20:05;21:30
10;ул. Молодогвардейцев;05:53;06:51;07:44;08:38;09:33;10:29;11:43;12:39;13:43;14:54;16:35;17:46;18:45;20:06;21:31
11;м-н Пышма;05:55;06:53;07:46;08:40;09:35;10:31;11:45;12:41;13:45;14:56;16:38;17:49;18:48;20:08;21:33
12;Школа №69;05:57;06:55;07:48;08:43;09:38;10:34;11:48;12:44;13:48;14:59;16:42;17:53;18:52;20:11;21:36
13;Автокемпинг;05:58;06:56;07:49;08:44;09:39;10:35;11:49;12:45;13:49;15:00;16:43;17:54;18:53;20:12;21:37
14;поворот на больничный комплекс Нефтяник;06:02;07:00;07:55;08:48;09:43;10:39;11:53;12:49;13:53;15:04;16:50;18:01;19:00;20:16;21:41
15;д. Патрушева;06:04;07:02;07:58;08:50;09:45;10:41;11:55;12:51;13:55;15:06;16:53;18:04;19:03;20:18;21:43
16;поворот на с/о Дорожник;06:05;07:03;07:59;08:51;09:46;10:42;11:56;12:52;13:56;15:07;16:54;18:05;19:04;20:19;21:44
17;Кордон;06:10;07:09;08:05;08:57;09:52;10:48;12:02;12:58;14:02;15:13;17:00;18:11;19:10;20:25;21:50
18;озеро Большой Тараскуль;07:24;08:20;09:12;10:07;11:03;12:17;13:13;14:17;15:28;17:15;18:26;19:25;20:40;22:05
19;ул. Сказочная;07:25;08:21;09:13;10:08;11:04;12:18;13:14;14:18;15:29;17:16;18:27;19:26;20:41;22:06
20;озеро Большой Тараскуль;07:25;08:21;09:13;10:08;11:04;12:18;13:14;14:18;15:29;17:16;18:27;19:26;20:41;22:06
21;санаторий Тараскуль;06:23;07:31;08:27;09:19;10:14;11:10;12:24;13:20;14:24;15:35;17:22;18:33;19:32;20:47;22:12
22;ул. Анатолия Секисова;
23;Тараскуль (для посадки);06:27;07:40;08:37;09:53;10:50;11:48;12:34;13:33;14:56;15:42;17:32;19:13;19:58;21:08;22:22
