1;г.Тюмень АВ;08:50
2;д.Патрушева пов.;09:00
3;с.Червишево;09:21
4;с.Леваши пов.;09:34
5;с.Шорохово;10:08
6;п.Зерновой пов.;10:15
7;п.Ишимский пов.;10:20
8;с.Исетское АС;10:50;16:00
9;с.Солобоево пов.;10:58
10;д.Малыши пов.;11:03
11;д.Ботники пов.;11:07
12;с.Красногорское пов.;11:14
13;д.Лога пов.;11:20
14;с.Минино;11:25
15;д.Онуфриево пов.;11:32
16;с.Верхний Ингал;11:45;14:51
17;д.Нифаки;11:50
18;с.Ингалинское;11:58;14:38
19;д.Лыково пов.;12:07
20;д.Коклягина пов.;12:13
21;с.Суерка пов.;12:24
22;д.Тютрина пов.;12:28
23;с.Бызово;12:38
24;с.Упорово АС;13:50
