1;Областная научная библиотека;06:02;06:28;06:47;07:06;07:25;07:45;08:05;08:25;08:45;09:08;09:31;09:54;10:17;10:42;11:06;11:30;11:54;12:18;12:42;13:04;13:26;13:48;14:10;14:32;14:56;15:20;15:40;16:00;16:22;16:42;17:02;17:02;17:22;17:22;17:42;17:42;18:01;18:01;18:20;18:20;18:40;18:40;19:00;19:00;19:20;19:39;19:58;20:17;20:36;20:55;21:15
2;ул. Первомайская;06:06;06:32;06:51;07:10;07:29;07:49;08:09;08:29;08:49;09:12;09:35;09:58;10:21;10:46;11:10;11:34;11:58;12:22;12:46;13:08;13:30;13:52;14:14;14:36;15:00;15:24;15:44;16:04;16:26;16:46;17:06;17:26;17:46;18:05;18:24;18:44;19:04;19:24;19:43;20:02;20:21;20:40;20:59;21:19
3;ул. Дзержинского;06:09;06:35;06:54;07:13;07:32;07:52;08:12;08:32;08:52;09:15;09:38;10:01;10:24;10:49;11:13;11:37;12:01;12:25;12:49;13:11;13:33;13:55;14:17;14:39;15:03;15:27;15:47;16:07;16:29;16:49;17:09;17:29;17:49;18:08;18:27;18:47;19:07;19:27;19:46;20:05;20:24;20:43;21:02;21:22
4;ул. 2-я Луговая;06:11;06:37;06:56;07:15;07:34;07:54;08:14;08:34;08:54;09:17;09:40;10:03;10:26;10:51;11:15;11:39;12:03;12:27;12:51;13:13;13:35;13:57;14:19;14:41;15:05;15:29;15:49;16:09;16:31;16:51;17:11;17:31;17:51;18:10;18:29;18:49;19:09;19:29;19:48;20:07;20:26;20:45;21:04;21:24
5;ул. Мысовская;06:13;06:39;06:58;07:17;07:36;07:56;08:16;08:36;08:56;09:19;09:42;10:05;10:28;10:53;11:17;11:41;12:05;12:29;12:53;13:15;13:37;13:59;14:21;14:43;15:07;15:31;15:51;16:11;16:33;16:53;17:13;17:33;17:53;18:12;18:31;18:51;19:11;19:31;19:50;20:09;20:28;20:47;21:06;21:26
6;ул. Астраханская;06:13;06:39;06:58;07:17;07:36;07:56;08:16;08:36;08:56;09:19;09:42;10:05;10:28;10:53;11:17;11:41;12:05;12:29;12:53;13:15;13:37;13:59;14:21;14:43;15:07;15:31;15:51;16:11;16:33;16:53;17:13;17:33;17:53;18:12;18:31;18:51;19:11;19:31;19:50;20:09;20:28;20:47;21:06;21:26
7;I Заречный микрорайон;06:15;06:41;07:00;07:19;07:38;07:58;08:18;08:38;08:58;09:21;09:44;10:07;10:30;10:55;11:19;11:43;12:07;12:31;12:55;13:17;13:39;14:01;14:23;14:45;15:09;15:33;15:53;16:13;16:35;16:55;17:15;17:35;17:55;18:14;18:33;18:53;19:13;19:33;19:52;20:11;20:30;20:49;21:08;21:28
8;II Заречный микрорайон;06:17;06:43;07:02;07:21;07:40;08:00;08:20;08:40;09:00;09:23;09:46;10:09;10:32;10:57;11:21;11:45;12:09;12:33;12:57;13:19;13:41;14:03;14:25;14:47;15:11;15:35;15:55;16:15;16:37;16:57;17:17;17:37;17:57;18:16;18:35;18:55;19:15;19:35;19:54;20:13;20:32;20:51;21:10;21:30
9;ул.Сеченова;06:19;06:45;07:04;07:23;07:42;08:02;08:22;08:42;09:02;09:25;09:48;10:11;10:34;10:59;11:23;11:47;12:11;12:35;12:59;13:21;13:43;14:05;14:27;14:49;15:13;15:37;15:57;16:17;16:39;16:59;17:19;17:39;17:59;18:18;18:37;18:57;19:17;19:37;19:56;20:15;20:34;20:53;21:12;21:32
10;ул. Ачинская;06:19;06:45;07:04;07:23;07:42;08:02;08:22;08:42;09:02;09:25;09:48;10:11;10:34;10:59;11:23;11:47;12:11;12:35;12:59;13:21;13:43;14:05;14:27;14:49;15:13;15:37;15:57;16:17;16:39;16:59;17:19;17:39;17:59;18:18;18:37;18:57;19:17;19:37;19:56;20:15;20:34;20:53;21:12;21:32
11;ул. Дружбы;06:21;06:47;07:06;07:25;07:44;08:04;08:24;08:44;09:04;09:27;09:50;10:13;10:36;11:01;11:25;11:49;12:13;12:37;13:01;13:23;13:45;14:07;14:29;14:51;15:15;15:39;15:59;16:19;16:41;17:01;17:21;17:41;18:01;18:20;18:39;18:59;19:19;19:39;19:58;20:17;20:36;20:55;21:14;21:34
12;ул. Ватутина;06:24;06:50;07:09;07:28;07:47;08:07;08:27;08:47;09:07;09:30;09:53;10:16;10:39;11:04;11:28;11:52;12:16;12:40;13:04;13:26;13:48;14:10;14:32;14:54;15:18;15:42;16:02;16:22;16:44;17:04;17:24;17:44;18:04;18:23;18:42;19:02;19:22;19:42;20:01;20:20;20:39;20:58;21:17;21:37
