1;6 км Старого Тобольского тракта;06:12;07:02;07:48;08:38;09:26;10:26;11:17;12:13;13:09;14:19;15:23;16:26;17:02;18:15;19:16;20:16;20:54;22:00;22:37
2;Нефтеперерабатывающий завод;06:14;07:04;07:51;08:40;09:28;10:28;11:19;12:15;13:11;14:21;15:25;16:28;17:05;18:18;19:19;20:19;20:57;22:01;22:38
3;поворот на Антипино;06:18;07:08;07:57;08:44;09:32;10:32;11:23;12:19;13:15;14:25;15:29;16:32;17:11;18:23;19:24;20:24;21:02;22:05;22:42
4;4-й км. Старого Тобольского тракта;06:19;07:09;07:58;08:45;09:33;10:33;11:24;12:20;13:16;14:26;15:30;16:33;17:12;18:24;19:25;20:25;21:03;22:06;22:43
5;3 км Старого Тобольского тракта;06:20;07:10;07:59;08:46;09:34;10:34;11:25;12:21;13:17;14:27;15:31;16:34;17:13;18:25;19:26;20:26;21:04;22:07;22:44
6;Поворот на конно-спортивную базу;06:21;07:11;08:01;08:47;09:35;10:35;11:26;12:22;13:18;14:28;15:32;16:36;17:15;18:27;19:28;20:28;21:05;22:08;22:45
7;Проезд до ул. Вологодская;06:22;07:12;08:02;08:48;09:36;10:36;11:27;12:23;13:19;14:29;15:33;16:37;17:16;18:28;19:29;20:29;21:06;22:09;22:46
8;з-д Моторный;06:24;07:14;08:03;08:50;09:38;10:38;11:29;12:25;13:21;14:31;15:35;16:39;17:18;18:30;19:31;20:31;21:07;22:10;22:47
9;2 км Старого Тобольского тракта;06:24;07:14;08:04;08:50;09:38;10:38;11:29;12:25;13:21;14:31;15:35;16:40;17:19;18:31;19:32;20:32;21:08;22:11;22:48
10;завод Металлургический;06:27;07:17;08:07;08:53;09:41;10:41;11:32;12:28;13:24;14:34;15:38;16:44;17:23;18:35;19:36;20:36;21:11;22:14;22:51
11;Старый Тобольский тракт;06:29;07:19;08:09;08:55;09:43;10:43;11:34;12:30;13:26;14:36;15:40;16:46;17:25;18:37;19:38;20:38;21:12;22:15;22:52
12;Ялуторовский тракт (по требованию);06:30;07:20;08:11;08:56;09:44;10:44;11:35;12:31;13:27;14:37;15:41;16:47;17:26;18:38;19:39;20:39;21:13;22:16;22:53
13;Управление Росгвардии;06:31;07:21;08:12;08:57;09:45;10:45;11:36;12:32;13:28;14:38;15:42;16:48;17:27;18:39;19:40;20:40;21:14;22:17;22:54
14;Рабочий поселок;06:34;07:24;08:15;09:00;09:48;10:48;11:39;12:35;13:31;14:41;15:45;16:52;17:31;18:43;19:44;20:44;21:17;22:20;22:57
15;Тюменская домостроительная компания;06:35;07:25;08:16;09:01;09:49;10:49;11:40;12:36;13:32;14:42;15:46;16:53;17:32;18:44;19:45;20:45;21:18;22:21;22:58
16;з-д Электрон;06:36;07:26;08:17;09:02;09:50;10:50;11:41;12:37;13:33;14:43;15:47;16:55;17:34;18:45;19:46;20:46;21:19;22:22;22:59
17;ул. Воровского;06:39;07:29;08:20;09:05;09:53;10:53;11:44;12:40;13:36;14:46;15:50;16:58;17:37;18:48;19:49;20:49;21:22;22:25;23:02
18;Сибнипигазстрой;06:40;07:30;08:21;09:06;09:54;10:54;11:45;12:41;13:37;14:47;15:51;17:00;17:39;18:49;19:50;20:50;21:23;22:26;23:03
19;з-д Медоборудования;06:23;07:04;07:44;08:36;09:24;10:30;11:30;12:18;13:23;14:33;15:43;16:25;17:25;18:32;19:34;20:19;21:08;22:07;22:59
