1;ул. Энтузиастов;06:08;06:25;06:41;06:57;07:14;07:31;07:54;08:18;08:43;09:08;09:32;09:56;10:20;10:44;11:09;11:34;11:59;12:24;12:49;13:14;13:39;14:04;14:29;14:55;15:21;15:41;16:01;16:18;16:35;16:52;17:09;17:26;17:43;18:00;18:17;18:41;19:05;19:29;19:57;20:29
2;Детский сад №62;06:11;06:28;06:44;07:00;07:17;07:34;07:57;08:21;08:46;09:11;09:35;09:59;10:23;10:47;11:12;11:37;12:02;12:27;12:52;13:17;13:42;14:07;14:32;14:58;15:24;15:44;16:04;16:21;16:38;16:55;17:12;17:29;17:46;18:03;18:20;18:44;19:08;19:32;20:00;20:32
3;Центр русской культуры;06:14;06:31;06:47;07:03;07:20;07:37;08:00;08:24;08:49;09:14;09:38;10:02;10:26;10:50;11:15;11:40;12:05;12:30;12:55;13:20;13:45;14:10;14:35;15:01;15:27;15:47;16:07;16:24;16:41;16:58;17:15;17:32;17:49;18:06;18:23;18:47;19:11;19:35;20:03;20:35
4;ул. Домостроителей;06:14;06:31;06:47;07:03;07:20;07:38;08:01;08:25;08:50;09:15;09:39;10:03;10:27;10:51;11:16;11:41;12:06;12:31;12:56;13:21;13:46;14:11;14:36;15:02;15:28;15:48;16:08;16:25;16:42;16:59;17:16;17:33;17:50;18:07;18:24;18:48;19:12;19:36;20:04;20:36
5;ул. Губкина;06:16;06:33;06:49;07:05;07:22;07:40;08:03;08:27;08:52;09:17;09:41;10:05;10:29;10:53;11:18;11:43;12:08;12:33;12:58;13:23;13:48;14:13;14:38;15:04;15:30;15:50;16:10;16:27;16:44;17:01;17:18;17:35;17:52;18:09;18:26;18:50;19:14;19:38;20:06;20:38
6;ул. Элеваторная;06:17;06:34;06:50;07:06;07:23;07:42;08:05;08:29;08:54;09:19;09:43;10:07;10:31;10:55;11:20;11:45;12:10;12:35;13:00;13:25;13:50;14:15;14:40;15:06;15:32;15:52;16:12;16:29;16:46;17:03;17:20;17:37;17:54;18:11;18:28;18:52;19:16;19:40;20:08;20:40
7;ул. Гилевская;06:19;06:36;06:52;07:08;07:25;07:44;08:07;08:31;08:56;09:21;09:45;10:09;10:33;10:57;11:22;11:47;12:12;12:37;13:02;13:27;13:52;14:17;14:42;15:08;15:34;15:54;16:14;16:31;16:48;17:05;17:22;17:39;17:56;18:13;18:30;18:54;19:18;19:42;20:10;20:42
8;Барабинская;06:21;06:38;06:54;07:10;07:27;07:46;08:09;08:33;08:58;09:23;09:47;10:11;10:35;10:59;11:24;11:49;12:14;12:39;13:04;13:29;13:54;14:19;14:44;15:10;15:36;15:56;16:16;16:34;16:51;17:08;17:25;17:42;17:59;18:16;18:33;18:57;19:21;19:44;20:11;20:43
9;Областная ГИБДД;06:25;06:42;06:58;07:16;07:33;07:52;08:15;08:39;09:04;09:28;09:52;10:16;10:40;11:04;11:29;11:54;12:19;12:44;13:09;13:34;13:59;14:24;14:49;15:15;15:41;16:01;16:21;16:40;16:57;17:14;17:31;17:48;18:05;18:22;18:39;19:03;19:27;19:49;20:15;20:47
10;ул. Одесская;06:26;06:43;06:59;07:19;07:36;07:55;08:18;08:42;09:07;09:30;09:54;10:18;10:42;11:06;11:31;11:56;12:21;12:46;13:11;13:36;14:01;14:26;14:51;15:17;15:43;16:03;16:23;16:42;16:59;17:16;17:33;17:50;18:07;18:24;18:41;19:05;19:29;19:51;20:17;20:49
11;Областная больница №2;06:29;06:46;07:02;07:22;07:39;07:58;08:21;08:45;09:10;09:34;09:58;10:22;10:46;11:10;11:35;12:00;12:25;12:50;13:15;13:40;14:05;14:30;14:55;15:21;15:47;16:07;16:27;16:46;17:03;17:20;17:37;17:54;18:11;18:28;18:45;19:09;19:33;19:54;20:19;20:51
12;Тюменский индустриальный университет;06:31;06:48;07:04;07:25;07:42;08:01;08:24;08:48;09:13;09:36;10:00;10:24;10:48;11:12;11:37;12:02;12:27;12:52;13:17;13:42;14:07;14:32;14:57;15:23;15:49;16:09;16:29;16:49;17:06;17:23;17:40;17:57;18:14;18:31;18:48;19:12;19:36;19:56;20:21;20:53
13;ул. Рижская;06:33;06:50;07:07;07:28;07:45;08:04;08:27;08:51;09:15;09:38;10:02;10:26;10:50;11:14;11:39;12:04;12:29;12:54;13:19;13:44;14:09;14:34;14:59;15:25;15:51;16:11;16:31;16:53;17:10;17:27;17:44;18:01;18:18;18:35;18:52;19:16;19:38;19:58;20:23;20:55
14;Площадь Памяти;06:36;06:53;07:10;07:31;07:48;08:07;08:30;08:54;09:18;09:41;10:05;10:29;10:53;11:17;11:42;12:07;12:32;12:57;13:22;13:47;14:12;14:37;15:02;15:28;15:54;16:14;16:34;16:56;17:13;17:30;17:47;18:04;18:21;18:38;18:55;19:19;19:41;20:01;20:25;20:57
15;Площадь Памяти;06:38;06:55;07:13;07:34;07:51;08:10;08:33;08:57;09:20;09:43;10:07;10:31;10:55;11:19;11:44;12:09;12:34;12:59;13:24;13:49;14:14;14:39;15:04;15:30;15:56;16:16;16:36;17:00;17:17;17:34;17:51;18:08;18:25;18:42;18:59;19:23;19:43;20:03;20:27;20:59
16;ул. Таймырская;06:42;06:59;07:17;07:38;07:55;08:14;08:37;09:01;09:24;09:47;10:11;10:35;10:59;11:23;11:48;12:13;12:38;13:03;13:28;13:53;14:18;14:43;15:08;15:34;16:00;16:20;16:40;17:05;17:22;17:39;17:56;18:13;18:30;18:47;19:04;19:28;19:47;20:07;20:30;21:02
17;ул. Малыгина;06:43;07:00;07:19;07:40;07:57;08:16;08:39;09:03;09:26;09:49;10:13;10:37;11:01;11:25;11:50;12:15;12:40;13:05;13:30;13:55;14:20;14:45;15:10;15:36;16:02;16:22;16:42;17:07;17:24;17:41;17:58;18:15;18:32;18:49;19:06;19:30;19:48;20:08;20:31;21:03
18;ул. Шиллера;06:45;07:02;07:22;07:43;08:00;08:19;08:42;09:05;09:28;09:51;10:15;10:39;11:03;11:27;11:52;12:17;12:42;13:07;13:32;13:57;14:22;14:47;15:12;15:38;16:04;16:24;16:45;17:10;17:27;17:44;18:01;18:18;18:35;18:52;19:09;19:33;19:50;20:09;20:32;21:04
19;ул. М. Тореза;06:47;07:04;07:26;07:47;08:04;08:23;08:46;09:08;09:31;09:54;10:18;10:42;11:06;11:30;11:55;12:20;12:45;13:10;13:35;14:00;14:25;14:50;15:15;15:41;16:07;16:27;16:49;17:14;17:31;17:48;18:05;18:22;18:39;18:56;19:13;19:37;19:53;20:11;20:34;21:06
20;Сквер Железнодорожников;06:49;07:07;07:29;07:50;08:07;08:26;08:49;09:11;09:34;09:57;10:21;10:45;11:09;11:33;11:58;12:23;12:48;13:13;13:38;14:03;14:28;14:53;15:18;15:44;16:10;16:30;16:52;17:17;17:34;17:51;18:08;18:25;18:42;18:59;19:16;19:40;19:56;20:13;20:36;21:08
21;Универмаг;06:50;07:08;07:30;07:51;08:08;08:27;08:50;09:12;09:35;09:58;10:22;10:46;11:10;11:34;11:59;12:24;12:49;13:14;13:39;14:04;14:29;14:54;15:19;15:45;16:11;16:31;16:54;17:19;17:36;17:53;18:10;18:27;18:44;19:01;19:18;19:41;19:57;20:14;20:37;21:09
22;Университет путей сообщения;06:51;07:09;07:31;07:52;08:09;08:28;08:51;09:13;09:36;09:59;10:23;10:47;11:11;11:35;12:00;12:25;12:50;13:15;13:40;14:05;14:30;14:55;15:20;15:46;16:12;16:32;16:55;17:20;17:37;17:54;18:11;18:28;18:45;19:02;19:19;19:43;19:59;20:15;20:38;21:10
23;ул. Паровозная;06:53;07:11;07:33;07:54;08:11;08:30;08:53;09:15;09:38;10:01;10:25;10:49;11:13;11:37;12:02;12:27;12:52;13:17;13:42;14:07;14:32;14:57;15:22;15:48;16:14;16:34;16:58;17:23;17:40;17:57;18:14;18:31;18:48;19:05;19:22;19:45;20:01;20:17;20:40;21:12
24;Городская поликлиника №5;06:54;07:12;07:34;07:55;08:12;08:31;08:54;09:16;09:39;10:02;10:26;10:50;11:14;11:38;12:03;12:28;12:53;13:18;13:43;14:08;14:33;14:58;15:23;15:49;16:15;16:35;16:59;17:24;17:41;17:58;18:15;18:32;18:49;19:06;19:23;19:46;20:02;20:18;20:41;21:13
25;Администрация Тюменского района;06:55;07:14;07:36;07:57;08:14;08:33;08:56;09:18;09:41;10:04;10:28;10:52;11:16;11:40;12:05;12:30;12:55;13:20;13:45;14:10;14:35;15:00;15:25;15:51;16:17;16:37;17:01;17:26;17:43;18:00;18:17;18:34;18:51;19:08;19:25;19:48;20:04;20:19;20:42;21:14
26;Спортцентр Энерго;06:56;07:15;07:37;07:58;08:15;08:34;08:57;09:19;09:42;10:05;10:29;10:53;11:17;11:41;12:06;12:31;12:56;13:21;13:46;14:11;14:36;15:01;15:26;15:52;16:18;16:38;17:02;17:27;17:44;18:01;18:18;18:35;18:52;19:09;19:26;19:48;20:04;20:19;20:42;21:14
27;Универсальный рынок;06:57;07:16;07:38;07:59;08:16;08:35;08:58;09:20;09:43;10:06;10:30;10:54;11:18;11:42;12:07;12:32;12:57;13:22;13:47;14:12;14:37;15:02;15:27;15:53;16:19;16:39;17:03;17:28;17:45;18:02;18:19;18:36;18:53;19:10;19:27;19:50;20:06;20:21;20:44;21:16
28;ул. Московский тракт;06:58;07:17;07:39;08:00;08:17;08:36;08:59;09:21;09:44;10:07;10:31;10:55;11:19;11:43;12:08;12:33;12:58;13:23;13:48;14:13;14:38;15:03;15:28;15:54;16:20;16:40;17:04;17:29;17:46;18:03;18:20;18:37;18:54;19:11;19:28;19:51;20:07;20:22;20:45;21:17
29;ул. Кремлёвская;07:02;07:21;07:43;08:04;08:21;08:40;09:03;09:25;09:48;10:11;10:35;10:59;11:23;11:47;12:12;12:37;13:02;13:27;13:52;14:17;14:42;15:07;15:32;15:58;16:24;16:44;17:08;17:33;17:50;18:07;18:24;18:41;18:58;19:15;19:32;19:54;20:10;20:25;20:48;21:20
