1;ул. Энтузиастов;06:40;06:57;07:14;07:33;07:52;08:15;08:38;09:04;09:27;09:51;10:15;10:40;11:06;11:32;11:58;12:24;12:50;13:16;13:42;14:10;14:38;15:06;15:31;15:53;16:15;16:37;16:59;17:21;17:43;18:11;18:50;19:29;20:08;20:48;21:22
2;Детский сад №62;06:43;07:00;07:17;07:36;07:55;08:18;08:41;09:07;09:30;09:54;10:18;10:43;11:09;11:35;12:01;12:27;12:53;13:19;13:45;14:13;14:41;15:09;15:34;15:56;16:18;16:40;17:02;17:24;17:46;18:14;18:53;19:32;20:11;20:51;21:25
3;Центр русской культуры;06:46;07:03;07:20;07:39;07:58;08:21;08:44;09:10;09:33;09:57;10:21;10:46;11:12;11:38;12:04;12:30;12:56;13:22;13:48;14:16;14:44;15:12;15:37;15:59;16:21;16:43;17:05;17:27;17:49;18:17;18:56;19:35;20:14;20:54;21:28
4;ул. Домостроителей;06:46;07:03;07:20;07:39;07:58;08:21;08:44;09:10;09:33;09:57;10:21;10:46;11:12;11:38;12:04;12:30;12:56;13:22;13:48;14:16;14:44;15:12;15:37;15:59;16:21;16:43;17:05;17:27;17:49;18:17;18:56;19:35;20:14;20:54;21:28
5;ул. Губкина;06:49;07:06;07:23;07:42;08:01;08:24;08:47;09:13;09:36;10:00;10:24;10:49;11:15;11:41;12:07;12:33;12:59;13:25;13:51;14:19;14:47;15:15;15:40;16:02;16:24;16:46;17:08;17:30;17:52;18:20;18:59;19:38;20:17;20:57;21:31
6;ул. Элеваторная;06:50;07:08;07:25;07:44;08:03;08:26;08:49;09:15;09:38;10:02;10:26;10:51;11:17;11:43;12:09;12:35;13:01;13:27;13:53;14:21;14:49;15:17;15:42;16:04;16:26;16:48;17:10;17:32;17:54;18:22;19:01;19:39;20:18;20:58;21:32
7;ул. Гилевская;06:51;07:09;07:26;07:45;08:04;08:27;08:50;09:16;09:39;10:03;10:27;10:52;11:18;11:44;12:10;12:36;13:02;13:28;13:54;14:22;14:50;15:18;15:43;16:05;16:27;16:49;17:11;17:33;17:55;18:23;19:02;19:40;20:19;20:59;21:33
8;Барабинская;06:53;07:11;07:28;07:47;08:06;08:29;08:52;09:18;09:41;10:05;10:29;10:54;11:20;11:46;12:12;12:38;13:04;13:30;13:56;14:24;14:52;15:20;15:45;16:07;16:29;16:51;17:13;17:35;17:57;18:25;19:04;19:42;20:21;21:01;21:35
9;Областная ГИБДД;06:56;07:15;07:32;07:51;08:10;08:33;08:56;09:22;09:45;10:09;10:33;10:58;11:24;11:50;12:16;12:42;13:08;13:34;14:00;14:28;14:56;15:24;15:49;16:11;16:33;16:55;17:17;17:39;18:01;18:29;19:08;19:45;20:24;21:04;21:38
10;з-д Приборостроительный;06:58;07:18;07:35;07:54;08:13;08:36;08:59;09:25;09:48;10:12;10:36;11:01;11:27;11:53;12:19;12:45;13:11;13:37;14:03;14:31;14:59;15:27;15:52;16:14;16:36;16:58;17:20;17:42;18:04;18:32;19:11;19:47;20:26;21:06;21:40
