1;ул. Федюнинского;06:17;06:35;06:53;07:12;07:31;07:51;08:22;08:50;09:11;09:33;09:55;10:17;10:41;11:09;11:41;12:11;12:32;13:04;13:22;13:40;14:14;14:40;14:56;15:12;15:42;15:58;16:14;16:34;17:06;17:32;17:57;18:25;18:57;19:20;20:00;20:40;21:20
2;мкр. Южный;06:17;06:35;06:53;07:12;07:32;07:52;08:23;08:51;09:12;09:33;09:55;10:17;10:41;11:09;11:41;12:11;12:32;13:04;13:22;13:40;14:14;14:40;14:56;15:12;15:42;15:58;16:14;16:34;17:06;17:32;17:57;18:25;18:57;19:20;20:00;20:40;21:20
3;Школа №69;06:20;06:38;06:56;07:15;07:39;07:59;08:30;08:58;09:19;09:37;09:59;10:21;10:45;11:13;11:45;12:15;12:36;13:08;13:26;13:44;14:18;14:44;15:00;15:16;15:46;16:02;16:18;16:38;17:10;17:36;18:01;18:29;19:01;19:24;20:03;20:43;21:23
4;Городская юношеская библиотека;06:22;06:40;06:58;07:17;07:43;08:03;08:34;09:02;09:23;09:39;10:01;10:23;10:47;11:15;11:47;12:17;12:38;13:10;13:28;13:46;14:20;14:46;15:02;15:18;15:48;16:04;16:20;16:40;17:12;17:38;18:03;18:31;19:03;19:26;20:05;20:45;21:25
5;ул. Папанинцев;06:24;06:42;07:00;07:19;07:46;08:06;08:37;09:05;09:26;09:41;10:03;10:25;10:49;11:17;11:49;12:19;12:40;13:12;13:30;13:48;14:22;14:48;15:04;15:20;15:50;16:06;16:22;16:42;17:14;17:40;18:05;18:33;19:05;19:28;20:07;20:47;21:27
6;ул. Рабочая;06:25;06:43;07:01;07:20;07:47;08:08;08:39;09:07;09:28;09:43;10:05;10:27;10:51;11:19;11:51;12:21;12:42;13:14;13:32;13:50;14:24;14:50;15:06;15:22;15:52;16:08;16:24;16:44;17:16;17:42;18:07;18:35;19:06;19:29;20:08;20:48;21:28
7;Сквер Железнодорожников;06:28;06:46;07:04;07:23;07:50;08:13;08:43;09:11;09:32;09:47;10:09;10:31;10:55;11:23;11:55;12:25;12:46;13:18;13:36;13:54;14:28;14:54;15:10;15:26;15:56;16:12;16:28;16:48;17:21;17:47;18:12;18:40;19:09;19:32;20:11;20:51;21:31
8;ул. М. Тореза;06:33;06:51;07:09;07:28;07:55;08:21;08:49;09:17;09:38;09:53;10:15;10:37;11:01;11:29;12:01;12:31;12:52;13:24;13:42;14:00;14:34;15:00;15:16;15:32;16:02;16:18;16:34;16:54;17:29;17:55;18:20;18:48;19:14;19:37;20:16;20:56;21:36
9;Сквер Немцова;06:36;06:54;07:12;07:31;07:58;08:24;08:52;09:20;09:41;09:56;10:18;10:40;11:04;11:32;12:04;12:34;12:55;13:27;13:45;14:03;14:37;15:03;15:19;15:35;16:05;16:21;16:37;16:57;17:32;17:58;18:23;18:51;19:17;19:40;20:19;20:59;21:39
10;м-н Океан;06:38;06:56;07:14;07:33;08:00;08:26;08:54;09:22;09:43;09:58;10:20;10:42;11:06;11:34;12:06;12:36;12:57;13:29;13:47;14:05;14:39;15:05;15:21;15:37;16:07;16:23;16:39;16:59;17:34;18:00;18:25;18:53;19:19;19:42;20:21;21:01;21:41
11;Площадь Борцов Революции;06:39;06:57;07:15;07:34;08:03;08:29;08:57;09:25;09:46;10:01;10:23;10:45;11:09;11:37;12:09;12:39;13:00;13:32;13:50;14:08;14:42;15:08;15:24;15:40;16:10;16:26;16:42;17:02;17:37;18:03;18:28;18:56;19:20;19:43;20:22;21:02;21:42
12;Набережная;06:41;06:59;07:17;07:36;08:04;08:30;08:58;09:26;09:47;10:02;10:24;10:46;11:10;11:38;12:10;12:40;13:01;13:33;13:51;14:09;14:43;15:09;15:25;15:41;16:11;16:27;16:43;17:03;17:38;18:04;18:29;18:57;19:22;19:45;20:24;21:04;21:44
13;Строительный институт ТИУ;06:43;07:01;07:19;07:38;08:07;08:33;09:01;09:29;09:50;10:05;10:27;10:49;11:13;11:41;12:13;12:43;13:04;13:36;13:54;14:12;14:46;15:12;15:28;15:44;16:14;16:30;16:46;17:06;17:41;18:07;18:32;19:00;19:24;19:47;20:26;21:06;21:46
14;Детский сад №55;06:44;07:02;07:20;07:39;08:08;08:34;09:02;09:30;09:51;10:06;10:28;10:50;11:14;11:42;12:14;12:44;13:05;13:37;13:55;14:13;14:47;15:13;15:29;15:45;16:15;16:31;16:47;17:07;17:42;18:08;18:33;19:01;19:25;19:48;20:27;21:07;21:47
15;ул. Полевая;06:46;07:04;07:22;07:41;08:10;08:36;09:04;09:32;09:53;10:08;10:30;10:52;11:16;11:44;12:16;12:46;13:07;13:39;13:57;14:15;14:49;15:15;15:31;15:47;16:17;16:33;16:49;17:09;17:44;18:10;18:35;19:03;19:27;19:50;20:29;21:09;21:49
16;ул. Болотникова;06:48;07:06;07:24;07:43;08:12;08:38;09:06;09:34;09:55;10:10;10:32;10:54;11:18;11:46;12:18;12:48;13:09;13:41;13:59;14:17;14:51;15:17;15:33;15:49;16:19;16:35;16:51;17:11;17:46;18:12;18:37;19:05;19:29;19:52;20:31;21:11;21:51
17;Дом Обороны;06:50;07:08;07:26;07:45;08:15;08:41;09:09;09:37;09:58;10:13;10:35;10:57;11:21;11:49;12:21;12:51;13:12;13:44;14:02;14:20;14:54;15:20;15:36;15:52;16:22;16:38;16:54;17:14;17:49;18:15;18:40;19:08;19:31;19:54;20:33;21:13;21:53
18;з-д Сибнефтегазмаш;06:53;07:11;07:29;07:48;08:18;08:44;09:12;09:40;10:01;10:16;10:38;11:00;11:24;11:52;12:24;12:54;13:15;13:47;14:05;14:23;14:57;15:23;15:39;15:55;16:25;16:41;16:57;17:17;17:52;18:18;18:43;19:11;19:34;19:57;20:36;21:16;21:56
19;з-д Аккумуляторный;06:54;07:12;07:30;07:49;08:19;08:45;09:13;09:41;10:02;10:17;10:39;11:01;11:25;11:53;12:25;12:55;13:16;13:48;14:06;14:24;14:58;15:24;15:40;15:56;16:26;16:42;16:58;17:18;17:53;18:19;18:44;19:12;19:35;19:58;20:37;21:17;21:57
20;ул. Авторемонтная;06:55;07:13;07:31;07:50;08:20;08:46;09:14;09:42;10:03;10:18;10:40;11:02;11:26;11:54;12:26;12:56;13:17;13:49;14:07;14:25;14:59;15:25;15:41;15:57;16:27;16:43;16:59;17:19;17:54;18:20;18:45;19:13;19:36;19:59;20:38;21:18;21:58
21;ТЭМЗ;06:56;07:14;07:32;07:51;08:21;08:47;09:15;09:43;10:04;10:19;10:41;11:03;11:27;11:55;12:27;12:57;13:18;13:50;14:08;14:26;15:00;15:26;15:42;15:58;16:28;16:44;17:00;17:21;17:56;18:22;18:47;19:14;19:37;20:00;20:39;21:19;21:59
22;Школа №51;06:58;07:16;07:34;07:53;08:23;08:49;09:17;09:45;10:06;10:21;10:43;11:05;11:29;11:57;12:29;12:59;13:20;13:52;14:10;14:28;15:02;15:28;15:44;16:00;16:30;16:46;17:02;17:23;17:58;18:24;18:49;19:16;19:39;20:02;20:41;21:21;22:01
23;Сельхозтехника;06:59;07:17;07:35;07:54;08:24;08:50;09:18;09:46;10:07;10:22;10:44;11:06;11:30;11:58;12:30;13:00;13:21;13:53;14:11;14:29;15:03;15:29;15:45;16:01;16:31;16:47;17:03;17:24;17:59;18:25;18:50;19:17;19:40;20:03;20:42;21:22;22:02
24;ул. Троицкая;07:07;07:25;07:43;08:03;08:33;08:59;09:27;09:55;10:16;10:31;10:53;11:15;11:39;12:07;12:39;13:09;13:30;14:02;14:20;14:38;15:12;15:38;15:54;16:10;16:40;16:56;17:12;17:35;18:10;18:36;19:01;19:25;19:48;20:11;20:50;21:30;22:10
25;Учхоз;07:08;07:26;07:44;08:04;08:34;09:00;09:28;09:56;10:17;10:32;10:54;11:16;11:40;12:08;12:40;13:10;13:31;14:03;14:21;14:39;15:13;15:39;15:55;16:11;16:41;16:57;17:13;17:36;18:11;18:37;19:02;19:26;19:49;20:12;20:51;21:31;22:11
