1;ЖК Звездный городок (для посадки);06:01;06:27;07:09;07:51;08:31;09:13;09:58;10:43;11:28;12:14;13:00;13:50;14:55;15:44;16:16;16:44;17:34;18:30;19:20;20:14;21:16;22:10
2;улица Сиреневая;06:02;06:28;07:10;07:52;08:32;09:14;09:59;10:44;11:29;12:15;13:01;13:51;14:56;15:45;16:17;16:45;17:35;18:31;19:21;20:15;21:17;22:11
3;ул. Центральная;06:03;06:29;07:11;07:54;08:33;09:15;10:00;10:45;11:30;12:16;13:02;13:52;14:57;15:46;16:18;16:46;17:36;18:32;19:22;20:16;21:18;22:12
4;ул. Надира Сагдеева;06:05;06:31;07:13;07:55;08:35;09:17;10:02;10:47;11:32;12:18;13:04;13:54;14:59;15:48;16:20;16:48;17:38;18:34;19:24;20:18;21:19;22:13
5;с/о Аленький цветок;06:07;06:33;07:15;07:58;08:37;09:19;10:04;10:49;11:34;12:20;13:06;13:56;15:01;15:50;16:22;16:50;17:40;18:36;19:26;20:20;21:21;22:15
6;д. Матмасы;06:09;06:35;07:17;08:00;08:39;09:21;10:06;10:51;11:36;12:22;13:08;13:58;15:03;15:52;16:24;16:52;17:42;18:38;19:28;20:22;21:23;22:17
7;Детский сад №149;06:09;06:35;07:18;08:01;08:40;09:22;10:07;10:52;11:37;12:23;13:09;13:59;15:04;15:53;16:25;16:53;17:43;18:39;19:29;20:23;21:23;22:17
8;ул. Топчева;06:13;06:39;07:23;08:06;08:44;09:26;10:11;10:56;11:41;12:27;13:13;14:03;15:08;15:57;16:29;16:57;17:47;18:43;19:33;20:27;21:27;22:21
9;сквер Корабельный;06:15;06:41;07:25;08:08;08:46;09:28;10:13;10:58;11:43;12:29;13:15;14:05;15:10;15:59;16:31;17:00;17:50;18:45;19:35;20:29;21:29;22:23
10;ул. Беляева;06:17;06:43;07:27;08:10;08:48;09:30;10:15;11:00;11:45;12:31;13:17;14:07;15:12;16:01;16:33;17:02;17:52;18:47;19:37;20:31;21:30;22:24
11;ул. Судоремонтная;06:18;06:44;07:29;08:12;08:49;09:31;10:16;11:01;11:46;12:32;13:18;14:08;15:13;16:02;16:34;17:03;17:53;18:48;19:38;20:32;21:31;22:25
12;"Школа №48 им. генерала Карбышева";06:19;06:45;07:30;08:13;08:50;09:32;10:17;11:02;11:47;12:33;13:19;14:09;15:14;16:03;16:35;17:04;17:54;18:49;19:39;20:33;21:32;22:26
13;Западно-сибирский медицинский центр;06:20;06:46;07:32;08:15;08:52;09:33;10:18;11:03;11:48;12:34;13:20;14:10;15:15;16:04;16:36;17:06;17:56;18:51;19:40;20:34;21:33;22:27
14;парк им. Гагарина;06:22;06:48;07:35;08:18;08:55;09:35;10:20;11:05;11:50;12:36;13:22;14:12;15:17;16:06;16:38;17:09;17:59;18:54;19:43;20:37;21:35;22:29
15;Геологоразведка;06:25;06:51;07:42;08:25;09:02;09:39;10:24;11:09;11:54;12:40;13:26;14:16;15:21;16:10;16:42;17:16;18:06;19:01;19:47;20:41;21:38;22:32
16;Рынок "Северный";06:26;06:52;07:42;08:25;09:02;09:40;10:25;11:10;11:55;12:41;13:27;14:17;15:22;16:11;16:43;17:16;18:06;19:01;19:48;20:42;21:39;22:33
17;ул. Ватутина;06:27;06:53;07:44;08:27;09:04;09:41;10:26;11:11;11:56;12:42;13:28;14:18;15:23;16:12;16:44;17:18;18:08;19:03;19:49;20:43;21:40;22:34
18;ул. Сеченова;06:28;06:54;07:46;08:28;09:05;09:42;10:27;11:12;11:57;12:43;13:29;14:19;15:24;16:13;16:45;17:20;18:10;19:05;19:51;20:45;21:41;22:35
19;озеро Алебашево;06:30;06:56;07:49;08:31;09:08;09:45;10:30;11:15;12:00;12:46;13:32;14:22;15:27;16:16;16:48;17:24;18:14;19:08;19:54;20:48;21:43;22:37
20;Алебашевский базар;06:32;06:58;07:51;08:32;09:09;09:46;10:31;11:16;12:01;12:47;13:33;14:23;15:28;16:17;16:49;17:25;18:15;19:10;19:56;20:50;21:45;22:39
21;ул. Циолковского;06:36;07:02;07:57;08:37;09:14;09:51;10:36;11:21;12:06;12:52;13:38;14:28;15:33;16:22;16:54;17:32;18:22;19:16;20:02;20:56;21:49;22:43
22;ул. Профсоюзная;06:37;07:03;07:59;08:38;09:15;09:52;10:37;11:22;12:07;12:53;13:39;14:29;15:34;16:23;16:55;17:35;18:25;19:18;20:04;20:58;21:50;22:44
23;Спорткомплекс Строймаш;06:41;07:07;08:04;08:42;09:19;09:56;10:41;11:26;12:11;12:57;13:43;14:33;15:38;16:27;16:59;17:41;18:31;19:23;20:09;21:03;21:53;22:47
