1;ул. Таллинская;06:40;06:59;07:17;07:35;07:54;08:13;08:38;09:03;09:33;10:02;10:31;11:00;11:29;11:58;12:27;13:02;13:37;14:12;14:47;15:22;15:56;16:30;16:59;17:27;17:50;18:14;18:38;19:02;19:23;19:47;20:14;20:56
2;ст. Войновка;06:41;07:00;07:18;07:36;07:55;08:14;08:39;09:04;09:34;10:03;10:32;11:01;11:30;11:59;12:28;13:03;13:38;14:13;14:48;15:23;15:57;16:31;17:00;17:28;17:51;18:15;18:39;19:03;19:24;19:48;20:15;20:57
3;ул. Боровская;06:42;07:01;07:19;07:37;07:56;08:15;08:40;09:05;09:35;10:04;10:33;11:02;11:31;12:00;12:29;13:04;13:39;14:14;14:49;15:24;15:58;16:32;17:01;17:29;17:52;18:16;18:40;19:04;19:25;19:49;20:16;20:58
4;ТЭЦ №2;06:44;07:03;07:21;07:39;07:58;08:17;08:42;09:07;09:37;10:06;10:35;11:04;11:33;12:02;12:31;13:06;13:41;14:16;14:51;15:26;16:00;16:34;17:03;17:31;17:54;18:18;18:42;19:06;19:27;19:50;20:17;20:59
5;ул. Теплотехников;06:45;07:04;07:22;07:40;07:59;08:18;08:43;09:08;09:38;10:07;10:36;11:05;11:34;12:03;12:32;13:07;13:42;14:17;14:52;15:27;16:01;16:35;17:04;17:32;17:55;18:19;18:43;19:07;19:28;19:51;20:18;21:00
6;Восточный 3;06:47;07:06;07:24;07:42;08:01;08:20;08:45;09:10;09:40;10:09;10:38;11:07;11:36;12:05;12:34;13:09;13:44;14:19;14:54;15:29;16:03;16:37;17:06;17:34;17:57;18:21;18:45;19:09;19:30;19:52;20:19;21:01
7;сквер Десантников;06:49;07:08;07:26;07:44;08:03;08:22;08:47;09:12;09:42;10:11;10:40;11:09;11:38;12:07;12:36;13:11;13:46;14:21;14:56;15:31;16:05;16:39;17:08;17:36;17:59;18:23;18:47;19:11;19:32;19:54;20:21;21:03
8;Поликлиника;06:50;07:09;07:27;07:45;08:04;08:23;08:48;09:13;09:43;10:12;10:41;11:10;11:39;12:08;12:37;13:12;13:47;14:22;14:57;15:32;16:06;16:40;17:09;17:37;18:00;18:24;18:48;19:12;19:33;19:55;20:22;21:04
9;ул. Моторостроителей;06:51;07:10;07:28;07:46;08:05;08:24;08:49;09:14;09:44;10:13;10:42;11:11;11:40;12:09;12:38;13:13;13:48;14:23;14:58;15:33;16:07;16:41;17:10;17:38;18:01;18:25;18:49;19:13;19:34;19:56;20:23;21:05
10;Детский сад №141;06:53;07:13;07:31;07:49;08:08;08:27;08:52;09:16;09:46;10:15;10:44;11:13;11:42;12:11;12:40;13:15;13:50;14:25;15:00;15:35;16:09;16:43;17:13;17:41;18:04;18:28;18:52;19:16;19:35;19:57;20:24;21:06
11;ул. Воровского;06:58;07:19;07:37;07:55;08:14;08:33;08:58;09:21;09:51;10:20;10:49;11:18;11:47;12:16;12:45;13:20;13:55;14:30;15:05;15:40;16:14;16:48;17:19;17:47;18:10;18:34;18:58;19:22;19:40;20:02;20:29;21:11
12;Сибнипигазстрой;06:59;07:20;07:38;07:56;08:15;08:34;08:59;09:22;09:52;10:21;10:50;11:19;11:48;12:17;12:46;13:21;13:56;14:31;15:06;15:41;16:15;16:49;17:20;17:48;18:11;18:35;18:59;19:23;19:41;20:03;20:30;21:12
13;з-д Медоборудования;07:01;07:23;07:41;07:59;08:18;08:37;09:02;09:24;09:54;10:23;10:52;11:21;11:50;12:19;12:48;13:23;13:58;14:33;15:08;15:43;16:17;16:51;17:23;17:51;18:14;18:38;19:02;19:26;19:43;20:05;20:32;21:14
14;ДК Строитель;07:04;07:26;07:44;08:02;08:21;08:40;09:05;09:27;09:57;10:26;10:55;11:24;11:53;12:22;12:51;13:26;14:01;14:36;15:11;15:46;16:20;16:54;17:26;17:54;18:17;18:41;19:05;19:29;19:46;20:08;20:35;21:17
15;м-н Буратино;07:05;07:27;07:45;08:03;08:22;08:41;09:06;09:28;09:58;10:27;10:56;11:25;11:54;12:23;12:52;13:27;14:02;14:37;15:12;15:47;16:21;16:55;17:27;17:55;18:18;18:42;19:06;19:30;19:47;20:09;20:36;21:18
16;Театральный центр Космос;07:07;07:29;07:47;08:05;08:24;08:43;09:08;09:30;10:00;10:29;10:58;11:27;11:56;12:25;12:54;13:29;14:04;14:39;15:14;15:49;16:23;16:57;17:29;17:57;18:20;18:44;19:08;19:32;19:48;20:10;20:37;21:19
17;Газпром;07:11;07:33;07:51;08:09;08:28;08:47;09:12;09:34;10:04;10:33;11:02;11:31;12:00;12:29;12:58;13:33;14:08;14:43;15:18;15:53;16:27;17:01;17:33;18:01;18:24;18:48;19:12;19:36;19:52;20:14;20:41;21:23
18;ул. Холодильная;07:14;07:36;07:54;08:12;08:31;08:50;09:15;09:37;10:07;10:36;11:05;11:34;12:03;12:32;13:01;13:36;14:11;14:46;15:21;15:56;16:30;17:04;17:36;18:04;18:27;18:51;19:15;19:39;19:55;20:17;20:44;21:26
