1;ОБИЛ (Центр нейрохирургии);06:23;07:59;09:40;11:43;13:21;15:52;17:48;19:47;21:19
2;Радиологический центр;06:24;08:00;09:41;11:44;13:22;15:53;17:49;19:48;21:20
3;"Госпиталь "Мать и дитя";06:24;08:01;09:42;11:45;13:23;15:54;17:50;19:48;21:20
4;Многопрофильный клинический центр;06:26;08:02;09:43;11:46;13:24;15:55;17:51;19:50;21:22
5;ул. П. Артамонова;06:30;08:07;09:48;11:51;13:29;16:00;17:56;19:54;21:26
6;ул. Е. Богдановича;06:32;08:09;09:50;11:53;13:31;16:02;17:58;19:56;21:28
7;III микрорайон;06:35;08:13;09:53;11:56;13:34;16:05;18:01;19:59;21:31
8;Торговый центр;06:36;08:15;09:54;11:57;13:35;16:06;18:02;20:00;21:32
9;ул. Пермякова;06:38;08:17;09:56;11:59;13:37;16:08;18:04;20:02;21:34
10;Кросно;06:41;08:20;09:59;12:02;13:40;16:11;18:09;20:05;21:37
11;ул. Воровского;06:43;08:23;10:01;12:04;13:42;16:13;18:12;20:07;21:39
12;з-д Электрон;06:45;08:26;10:03;12:06;13:44;16:15;18:15;20:09;21:41
13;ЖБИ;06:47;08:28;10:05;12:08;13:46;16:17;18:17;20:11;21:43
14;Рабочий поселок;06:49;08:30;10:07;12:10;13:48;16:19;18:19;20:13;21:45
15;ул. Чекистов;06:51;08:32;10:09;12:12;13:50;16:21;18:21;20:15;21:47
16;УМ Газстрой;06:52;08:33;10:10;12:13;13:51;16:22;18:22;20:16;21:48
17;ул. Пригородная;06:54;08:35;10:12;12:15;13:53;16:24;18:24;20:18;21:50
18;д. Гилева;06:55;08:36;10:13;12:16;13:54;16:25;18:25;20:19;21:51
19;ул. Владимира Высоцкого;06:56;08:37;10:14;12:17;13:55;16:26;18:26;20:20;21:52
20;ул.Тополиная;06:57;08:38;10:15;12:18;13:56;16:27;18:27;20:21;21:53
21;ул. Быковская;06:58;08:39;10:16;12:19;13:57;16:28;18:28;20:22;21:54
22;ул. Быковская;07:10;08:52;10:54;12:33;15:04;16:57;18:37;20:31;22:06
