1;з-д Медоборудования;06:00;06:12;06:24;06:36;06:47;06:57;07:10;07:24;07:38;07:54;08:10;08:26;08:43;09:01;09:19;09:37;10:02;10:27;10:52;11:17;11:43;12:09;12:35;13:01;13:27;13:53;14:19;14:42;15:05;15:28;15:51;16:14;16:37;16:55;17:13;17:31;17:49;18:07;18:25;18:43;19:01;19:19;19:37;19:55;20:15;20:37;20:59;21:21;21:43;22:05
2;м-н Буратино;06:04;06:16;06:28;06:40;06:51;07:01;07:14;07:28;07:42;07:58;08:14;08:30;08:47;09:05;09:23;09:41;10:06;10:31;10:56;11:21;11:47;12:13;12:39;13:05;13:31;13:57;14:23;14:46;15:09;15:32;15:55;16:18;16:41;16:59;17:17;17:35;17:53;18:11;18:29;18:47;19:05;19:23;19:41;19:59;20:19;20:41;21:03;21:25;21:47;22:09
3;г-ца Восток;06:07;06:19;06:31;06:43;06:54;07:04;07:17;07:31;07:45;08:01;08:17;08:33;08:50;09:08;09:26;09:44;10:09;10:34;10:59;11:24;11:50;12:16;12:42;13:08;13:34;14:00;14:26;14:49;15:12;15:35;15:58;16:21;16:44;17:02;17:20;17:38;17:56;18:14;18:32;18:50;19:08;19:26;19:44;20:02;20:22;20:44;21:06;21:28;21:50;22:12
4;Газпром;06:10;06:22;06:34;06:46;06:57;07:07;07:20;07:34;07:48;08:04;08:20;08:36;08:53;09:11;09:29;09:47;10:12;10:37;11:02;11:27;11:53;12:19;12:45;13:11;13:37;14:03;14:29;14:52;15:15;15:38;16:01;16:24;16:47;17:05;17:23;17:41;17:59;18:17;18:35;18:53;19:11;19:29;19:47;20:05;20:25;20:47;21:09;21:31;21:53;22:15
5;ул. Холодильная;06:13;06:25;06:37;06:49;07:00;07:11;07:24;07:38;07:52;08:08;08:24;08:40;08:57;09:14;09:32;09:50;10:15;10:40;11:05;11:30;11:56;12:22;12:48;13:14;13:40;14:06;14:32;14:55;15:18;15:41;16:04;16:27;16:50;17:08;17:26;17:44;18:02;18:20;18:38;18:56;19:14;19:32;19:50;20:08;20:28;20:50;21:12;21:34;21:56;22:18
6;Тюменский драматический театр;06:15;06:27;06:39;06:51;07:02;07:12;07:25;07:39;07:53;08:09;08:25;08:41;08:58;09:16;09:34;09:52;10:17;10:42;11:07;11:32;11:58;12:24;12:50;13:16;13:42;14:08;14:34;14:57;15:20;15:43;16:06;16:29;16:52;17:10;17:28;17:46;18:04;18:22;18:40;18:58;19:16;19:34;19:52;20:10;20:30;20:52;21:14;21:36;21:58;22:20
7;ул. М. Горького;06:16;06:28;06:40;06:52;07:03;07:14;07:27;07:41;07:55;08:11;08:27;08:43;09:00;09:17;09:35;09:53;10:18;10:43;11:08;11:33;11:59;12:25;12:51;13:17;13:43;14:09;14:35;14:58;15:21;15:44;16:07;16:30;16:53;17:11;17:29;17:47;18:05;18:23;18:41;18:59;19:17;19:35;19:53;20:11;20:31;20:53;21:15;21:37;21:59;22:21
8;ул. М. Тореза;06:22;06:34;06:46;06:58;07:09;07:21;07:34;07:48;08:02;08:18;08:34;08:50;09:07;09:23;09:41;09:59;10:24;10:49;11:14;11:39;12:05;12:31;12:57;13:23;13:49;14:15;14:41;15:04;15:27;15:50;16:13;16:36;16:59;17:17;17:35;17:53;18:11;18:29;18:47;19:05;19:23;19:41;19:59;20:17;20:37;20:59;21:21;21:43;22:05;22:27
9;Сквер Железнодорожников;06:24;06:36;06:48;07:00;07:11;07:23;07:36;07:50;08:04;08:20;08:36;08:52;09:09;09:25;09:43;10:01;10:26;10:51;11:16;11:41;12:07;12:33;12:59;13:25;13:51;14:17;14:43;15:06;15:29;15:52;16:15;16:38;17:01;17:19;17:37;17:55;18:13;18:31;18:49;19:07;19:25;19:43;20:01;20:19;20:39;21:01;21:23;21:45;22:07;22:29
10;Сквер Комсомольский;06:26;06:38;06:50;07:02;07:13;07:25;07:38;07:52;08:06;08:22;08:38;08:54;09:11;09:27;09:45;10:03;10:28;10:53;11:18;11:43;12:09;12:35;13:01;13:27;13:53;14:19;14:45;15:08;15:31;15:54;16:17;16:40;17:03;17:21;17:39;17:57;18:15;18:33;18:51;19:09;19:27;19:45;20:03;20:21;20:41;21:03;21:25;21:47;22:09;22:31
11;ул. Калинина;06:28;06:40;06:52;07:04;07:15;07:27;07:40;07:54;08:08;08:24;08:40;08:56;09:13;09:29;09:47;10:05;10:30;10:55;11:20;11:45;12:11;12:37;13:03;13:29;13:55;14:21;14:47;15:10;15:33;15:56;16:19;16:42;17:05;17:23;17:41;17:59;18:17;18:35;18:53;19:11;19:29;19:47;20:05;20:23;20:43;21:05;21:27;21:49;22:11;22:33
12;ул. 9 Января;06:30;06:42;06:54;07:06;07:17;07:29;07:42;07:56;08:10;08:26;08:42;08:58;09:15;09:31;09:49;10:07;10:32;10:57;11:22;11:47;12:13;12:39;13:05;13:31;13:57;14:23;14:49;15:12;15:35;15:58;16:21;16:44;17:07;17:25;17:43;18:02;18:20;18:37;18:55;19:13;19:31;19:49;20:07;20:25;20:45;21:07;21:29;21:51;22:13;22:35
13;Сквер Авиаторов;06:31;06:43;06:55;07:07;07:18;07:30;07:43;07:57;08:11;08:27;08:43;08:59;09:16;09:32;09:50;10:08;10:33;10:58;11:23;11:48;12:14;12:40;13:06;13:32;13:58;14:24;14:50;15:13;15:36;15:59;16:22;16:45;17:08;17:26;17:44;18:03;18:21;18:38;18:56;19:14;19:32;19:50;20:08;20:26;20:46;21:08;21:30;21:52;22:14;22:36
14;Лицей №34;06:33;06:45;06:57;07:09;07:20;07:32;07:45;07:59;08:13;08:29;08:45;09:01;09:18;09:34;09:52;10:10;10:35;11:00;11:25;11:50;12:16;12:42;13:08;13:34;14:00;14:26;14:52;15:15;15:38;16:01;16:24;16:47;17:10;17:28;17:46;18:05;18:23;18:40;18:58;19:16;19:34;19:52;20:10;20:28;20:48;21:10;21:32;21:54;22:16;22:38
15;аэропорт "Плеханово";06:44;06:56;07:08;07:20;07:31;07:43;07:56;08:10;08:26;08:43;09:00;09:18;09:36;09:54;10:12;10:30;10:55;11:20;11:45;12:10;12:35;13:00;13:25;13:50;14:15;14:40;15:05;15:30;15:55;16:20;16:44;17:03;17:22;17:41;18:00;18:19;18:38;18:57;19:16;19:35;19:54;20:13;20:32;20:51;21:10;21:30;21:50;22:10;22:30;22:50
