1;Центральный рынок 2;06:27;08:18;10:45;12:32;15:22;17:40;19:29;21:05
2;Сквер Немцова;06:33;08:24;10:51;12:38;15:28;17:46;19:35;21:11
3;м-н Океан;06:35;08:26;10:53;12:40;15:30;17:48;19:37;21:13
4;Площадь Борцов Революции;06:36;08:28;10:55;12:42;15:32;17:50;19:39;21:15
5;Набережная;06:38;08:29;10:56;12:43;15:33;17:51;19:40;21:16
6;Строительный институт ТИУ;06:40;08:32;10:59;12:46;15:36;17:54;19:43;21:19
7;Детский сад №55;06:41;08:33;11:00;12:47;15:37;17:55;19:44;21:20
8;ул. Полевая;06:42;08:34;11:01;12:48;15:38;17:56;19:45;21:21
9;ул. Болотникова;06:43;08:36;11:03;12:50;15:40;17:58;19:47;21:23
10;Дом Обороны;06:46;08:39;11:06;12:53;15:43;18:01;19:50;21:26
11;з-д Сибнефтегазмаш;06:47;08:40;11:07;12:54;15:44;18:02;19:51;21:27
12;з-д Аккумуляторный;06:48;08:41;11:08;12:55;15:45;18:03;19:52;21:28
13;ул. Авторемонтная;06:49;08:43;11:10;12:57;15:47;18:05;19:54;21:30
14;ТЭМЗ;06:51;08:45;11:12;12:59;15:49;18:07;19:56;21:32
15;Школа №51;06:52;08:46;11:13;13:00;15:50;18:08;19:57;21:33
16;Сельхозтехника;06:53;08:47;11:14;13:01;15:51;18:09;19:58;21:34
17;д. Плеханова;07:04;09:00;11:27;13:14;16:04;18:22;20:11;21:47
18;ул. Анатолия Секисова;07:05;09:01;11:28;13:15;16:05;18:23;20:12
19;с/о Лесник;07:10;09:06;11:33;13:20;16:10;18:28;20:17
